['CO', 299, 'BO', 5, 'comm', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18368285795869155, 21.232130765914917]
['CO', 214, 'BO', 6, 'mkdir', 'codeblocks', 'O2', 'O0', 0.20647480681207497, 20.907437562942505]
['CO', 391, 'BO', 12, 'link', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19734783027893765, 128.94602346420288]
['CO', 137, 'BO', 5, 'chown', 'libgeany.so.0.0.0', 'O1', 'O1', 0.1801184659135544, 23.599570274353027]
['BO', 5, 'CO', 358, 'libgeany.so.0.0.0', 'whoami', 'O1', 'O0', 0.18318927920069783, 21.5994234085083]
['BO', 6, 'CO', 103, 'codeblocks', 'ln', 'O0', 'O3', 0.20248183465417213, 21.75767207145691]
['UO', 78, 'BO', 5, 'elfedit', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18225806451612903, 21.419689893722534]
['CO', 266, 'BO', 12, 'df', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19559059996754535, 137.74367308616638]
['BO', 12, 'UO', 56, 'libgeany.so.0.0.0', 'elfedit', 'O0', 'O3', 0.19721629313411593, 126.18462944030762]
['BO', 5, 'UO', 48, 'libgeany.so.0.0.0', 'ranlib', 'O1', 'O3', 0.13781290093631426, 30.23111915588379]
['BO', 5, 'CO', 59, 'libgeany.so.0.0.0', 'tsort', 'O1', 'O3', 0.18339587984735484, 21.575647354125977]
['CO', 41, 'BO', 12, 'echo', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19782168374349884, 127.19471645355225]
['BO', 12, 'UO', 29, 'libgeany.so.0.0.0', 'as', 'O0', 'O2', 0.16212671241951293, 160.70321321487427]
['CO', 350, 'BO', 12, 'sha1sum', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19660226515656232, 125.55728459358215]
['BO', 12, 'CO', 94, 'libgeany.so.0.0.0', 'rm', 'O0', 'O3', 0.19611330892772794, 126.73909091949463]
['BO', 6, 'CO', 168, 'codeblocks', 'tty', 'O0', 'O1', 0.20760788690476195, 19.191689014434814]
['CO', 336, 'BO', 12, 'tee', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19683837800198534, 123.44492483139038]
['CO', 218, 'BO', 5, 'users', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18409516851434193, 19.850391626358032]
['CO', 59, 'BO', 5, 'tsort', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18339587984735484, 20.476733922958374]
['BO', 12, 'UO', 81, 'libgeany.so.0.0.0', 'diff3', 'O0', 'O0', 0.1956093275952432, 127.96088790893555]
['CO', 193, 'BO', 6, 'pathchk', 'codeblocks', 'O1', 'O0', 0.20745244603112623, 19.509873628616333]
['BO', 6, 'CO', 87, 'codeblocks', 'id', 'O0', 'O3', 0.20676684763475328, 19.506549835205078]
['BO', 12, 'CO', 247, 'libgeany.so.0.0.0', 'paste', 'O0', 'O2', 0.1978685823697921, 118.80942940711975]
['CO', 86, 'BO', 5, 'timeout', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18268911548494193, 20.57572650909424]
['BO', 12, 'UO', 66, 'libgeany.so.0.0.0', 'nm', 'O0', 'O0', 0.15979466908960682, 155.9040539264679]
