['BO', 5, 'UO', 62, 'libgeany.so.0.0.0', 'diff3', 'O1', 'O3', 0.18173796580792567, 21.611051082611084]
['BO', 5, 'CO', 412, 'libgeany.so.0.0.0', 'tac', 'O1', 'O0', 0.18162868918470798, 21.6876118183136]
['CO', 383, 'BO', 5, 'readlink', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18119523170442886, 23.097841262817383]
['BO', 5, 'CO', 332, 'libgeany.so.0.0.0', 'mkfifo', 'O1', 'O0', 0.1775674662668666, 23.314539432525635]
['BO', 6, 'UO', 50, 'codeblocks', 'strings', 'O0', 'O3', 0.15498271480212789, 28.573002815246582]
['CO', 292, 'BO', 12, 'vdir', 'libgeany.so.0.0.0', 'O2', 'O0', 0.1939866631415058, 138.1636607646942]
['CO', 71, 'BO', 6, 'readlink', 'codeblocks', 'O3', 'O0', 0.20634744287671736, 20.345524072647095]
['BO', 6, 'CO', 82, 'codeblocks', 'shuf', 'O0', 'O3', 0.20480017696504937, 20.109705448150635]
['BO', 6, 'CO', 312, 'codeblocks', 'sha384sum', 'O0', 'O0', 0.2047458002993846, 20.6012544631958]
['BO', 12, 'CO', 271, 'libgeany.so.0.0.0', 'logname', 'O0', 'O2', 0.19800700962338125, 125.61574602127075]
['CO', 180, 'BO', 12, 'md5sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.19722516620098274, 127.88363432884216]
['BO', 6, 'CO', 141, 'codeblocks', 'truncate', 'O0', 'O1', 0.20716435658281007, 20.194703578948975]
['CO', 124, 'BO', 6, 'mkfifo', 'codeblocks', 'O1', 'O0', 0.20743701775587986, 20.571850299835205]
['CO', 304, 'BO', 5, 'fold', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18409058425574487, 21.59349226951599]
['CO', 287, 'BO', 12, 'link', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19803222692507605, 127.54681420326233]
['CO', 400, 'BO', 6, 'shred', 'codeblocks', 'O0', 'O0', 0.20201797835259583, 22.146820783615112]
['CO', 366, 'BO', 12, 'true', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19741546861322534, 127.82931232452393]
['CO', 178, 'BO', 5, 'unexpand', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18318518166405218, 21.700211763381958]
['CO', 231, 'BO', 5, 'pr', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18136976802824, 21.556036472320557]
['UO', 74, 'BO', 12, 'ld', 'libgeany.so.0.0.0', 'O0', 'O0', 0.1468299803262042, 200.58784794807434]
['BO', 12, 'CO', 89, 'libgeany.so.0.0.0', 'pathchk', 'O0', 'O3', 0.19759502398303763, 126.63891100883484]
['CO', 139, 'BO', 5, 'base32', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18306266339222055, 21.454022645950317]
['BO', 6, 'CO', 401, 'codeblocks', 'pathchk', 'O0', 'O0', 0.20626496186464272, 20.689388751983643]
['UO', 20, 'BO', 12, 'diff', 'libgeany.so.0.0.0', 'O1', 'O0', 0.193150845520354, 136.33026266098022]
['CO', 406, 'BO', 5, 'rm', 'libgeany.so.0.0.0', 'O0', 'O1', 0.17810682344111584, 23.05087900161743]
