['BO', 6, 'CO', 241, 'codeblocks', 'chown', 'O0', 'O2', 0.20391153959375918, 20.554300785064697]
['CO', 144, 'BO', 5, 'sync', 'libgeany.so.0.0.0', 'O1', 'O1', 0.1836605144970085, 21.625810384750366]
['CO', 184, 'BO', 5, 'uname', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18386333687903855, 21.668423414230347]
['CO', 42, 'BO', 5, 'sum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.1829644512648515, 21.672574996948242]
['BO', 5, 'CO', 179, 'libgeany.so.0.0.0', 'mv', 'O1', 'O1', 0.1742693126755347, 23.85680341720581]
['CO', 21, 'BO', 6, 'mktemp', 'codeblocks', 'O3', 'O0', 0.20593619972260746, 20.67300319671631]
['BO', 12, 'CO', 251, 'libgeany.so.0.0.0', 'chroot', 'O0', 'O2', 0.19743758943598788, 134.29431676864624]
['BO', 5, 'CO', 23, 'libgeany.so.0.0.0', 'pr', 'O1', 'O3', 0.18114608402938348, 22.06871461868286]
['CO', 187, 'BO', 5, 'csplit', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18150701137277792, 22.41682744026184]
['CO', 28, 'BO', 5, 'factor', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18195574049555518, 21.94008994102478]
['BO', 6, 'UO', 18, 'codeblocks', 'diff3', 'O0', 'O1', 0.20466068103464163, 20.86766290664673]
['CO', 342, 'BO', 5, 'expand', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18245830564258358, 21.606149435043335]
['CO', 280, 'BO', 12, 'head', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19745435406272938, 132.58518862724304]
['CO', 272, 'BO', 5, 'tty', 'libgeany.so.0.0.0', 'O2', 'O1', 0.1845591158463863, 21.546713829040527]
['BO', 5, 'UO', 50, 'libgeany.so.0.0.0', 'strings', 'O1', 'O3', 0.1401876886187936, 30.198619604110718]
['CO', 382, 'BO', 6, 'b2sum', 'codeblocks', 'O0', 'O0', 0.20371837629673306, 21.962387800216675]
['CO', 24, 'BO', 6, 'tee', 'codeblocks', 'O3', 'O0', 0.206886965546639, 20.62680220603943]
['BO', 5, 'UO', 65, 'libgeany.so.0.0.0', 'sdiff', 'O1', 'O3', 0.1817422283876663, 21.386978149414062]
['CO', 209, 'BO', 12, 'touch', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19646369780959283, 129.0677661895752]
['CO', 223, 'BO', 12, 'join', 'libgeany.so.0.0.0', 'O2', 'O0', 0.1971919685856116, 129.42377257347107]
['CO', 266, 'BO', 5, 'df', 'libgeany.so.0.0.0', 'O2', 'O1', 0.17952215219640677, 23.040876626968384]
['CO', 170, 'BO', 12, 'runcon', 'libgeany.so.0.0.0', 'O1', 'O0', 0.1977572618111113, 128.59224200248718]
['CO', 1, 'BO', 6, 'touch', 'codeblocks', 'O3', 'O0', 0.20446055609738145, 21.011664628982544]
['BO', 12, 'CO', 137, 'libgeany.so.0.0.0', 'chown', 'O0', 'O1', 0.19585779156052718, 136.32455968856812]
['CO', 31, 'BO', 12, 'date', 'libgeany.so.0.0.0', 'O3', 'O0', 0.1964065397430499, 129.53778886795044]
