['BO', 5, 'UO', 74, 'libgeany.so.0.0.0', 'ld', 'O1', 'O0', 0.0944254039308946, 42.511749267578125]
['BO', 12, 'CO', 238, 'libgeany.so.0.0.0', 'expand', 'O0', 'O2', 0.19770607829899622, 127.73855352401733]
['BO', 5, 'CO', 375, 'libgeany.so.0.0.0', 'logname', 'O1', 'O0', 0.18326010753882027, 21.54670739173889]
['BO', 12, 'CO', 113, 'libgeany.so.0.0.0', 'du', 'O0', 'O1', 0.19413450937155452, 136.29774594306946]
['CO', 219, 'BO', 5, 'groups', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18406719913619263, 21.686471462249756]
['CO', 277, 'BO', 6, 'who', 'codeblocks', 'O2', 'O0', 0.20676161863432363, 20.400399208068848]
['BO', 12, 'UO', 43, 'libgeany.so.0.0.0', 'find', 'O0', 'O2', 0.1856311069949098, 144.66237902641296]
['CO', 111, 'BO', 6, 'fmt', 'codeblocks', 'O1', 'O0', 0.20657860561760233, 20.391356945037842]
['BO', 12, 'CO', 146, 'libgeany.so.0.0.0', 'sum', 'O0', 'O1', 0.19716180666197336, 127.99703621864319]
['UO', 13, 'BO', 5, 'addr2line', 'libgeany.so.0.0.0', 'O1', 'O1', 0.13528072113352152, 32.65978026390076]
['BO', 6, 'UO', 29, 'codeblocks', 'as', 'O0', 'O2', 0.12944960686204432, 32.70831513404846]
['CO', 241, 'BO', 6, 'chown', 'codeblocks', 'O2', 'O0', 0.20391153959375918, 20.72599148750305]
['BO', 5, 'CO', 22, 'libgeany.so.0.0.0', 'pwd', 'O1', 'O3', 0.18333438925494172, 21.111153602600098]
['CO', 35, 'BO', 12, 'base32', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19746516454195073, 127.22807383537292]
['BO', 5, 'UO', 77, 'libgeany.so.0.0.0', 'ar', 'O1', 'O0', 0.11315388777731639, 37.77993702888489]
['CO', 384, 'BO', 5, 'head', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18154137414214722, 22.160704612731934]
['CO', 199, 'BO', 12, 'sha224sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.1971602404013606, 129.15393924713135]
['CO', 414, 'BO', 6, 'mknod', 'codeblocks', 'O0', 'O0', 0.19952247293405756, 22.771896600723267]
['CO', 320, 'BO', 5, 'dir', 'libgeany.so.0.0.0', 'O0', 'O1', 0.17088015699020342, 25.48311686515808]
['CO', 281, 'BO', 5, 'hostid', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18462150127226462, 21.12866187095642]
['CO', 121, 'BO', 5, 'stdbuf', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18266734215692482, 21.751517057418823]
['CO', 253, 'BO', 5, 'split', 'libgeany.so.0.0.0', 'O2', 'O1', 0.1820435881238156, 21.889121294021606]
['CO', 206, 'BO', 6, 'mknod', 'codeblocks', 'O1', 'O0', 0.20711883928737296, 20.546570777893066]
['CO', 309, 'BO', 12, 'rmdir', 'libgeany.so.0.0.0', 'O2', 'O0', 0.1977281664329542, 128.7635214328766]
['BO', 6, 'CO', 48, 'codeblocks', 'ls', 'O0', 'O3', 0.19799421756414892, 22.245312213897705]
['CO', 231, 'BO', 6, 'pr', 'codeblocks', 'O2', 'O0', 0.20472731295401747, 20.483622312545776]
