['BO', 12, 'CO', 199, 'libgeany.so.0.0.0', 'sha224sum', 'O0', 'O1', 0.1971602404013606, 127.0031156539917]
['CO', 268, 'BO', 12, 'base64', 'libgeany.so.0.0.0', 'O2', 'O0', 0.1976704503301432, 131.42426013946533]
['BO', 5, 'CO', 203, 'libgeany.so.0.0.0', 'sort', 'O1', 'O1', 0.1756364708255116, 23.90344500541687]
['CO', 268, 'BO', 5, 'base64', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18386717881972003, 21.09205961227417]
['CO', 412, 'BO', 12, 'tac', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19652888280353775, 129.33155798912048]
['CO', 357, 'BO', 12, 'split', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19566340843989016, 137.81128787994385]
['CO', 361, 'BO', 6, 'nice', 'codeblocks', 'O0', 'O0', 0.2062655432240823, 20.676652431488037]
['BO', 5, 'CO', 151, 'libgeany.so.0.0.0', 'numfmt', 'O1', 'O1', 0.182223346082119, 21.46154284477234]
['UO', 71, 'BO', 6, 'c++filt', 'codeblocks', 'O0', 'O0', 0.12604375477711605, 35.125911474227905]
['CO', 324, 'BO', 12, 'ptx', 'libgeany.so.0.0.0', 'O0', 'O0', 0.1954279897317872, 137.79930973052979]
['CO', 399, 'BO', 6, 'id', 'codeblocks', 'O0', 'O0', 0.20489788374457074, 21.1107177734375]
['CO', 255, 'BO', 12, 'numfmt', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19721868239338525, 129.25548028945923]
['BO', 5, 'UO', 54, 'libgeany.so.0.0.0', 'addr2line', 'O1', 'O3', 0.13993197559934456, 30.051848888397217]
['CO', 396, 'BO', 5, 'vdir', 'libgeany.so.0.0.0', 'O0', 'O1', 0.17088015699020342, 25.05483841896057]
['BO', 6, 'CO', 345, 'codeblocks', 'chown', 'O0', 'O0', 0.20101376079636946, 21.99079990386963]
['CO', 224, 'BO', 6, 'dirname', 'codeblocks', 'O2', 'O0', 0.2083962211414836, 20.539642333984375]
['BO', 6, 'CO', 125, 'codeblocks', 'mktemp', 'O0', 'O1', 0.2057152375488146, 20.734825372695923]
['BO', 12, 'CO', 293, 'libgeany.so.0.0.0', '[', 'O0', 'O2', 0.19744255003706446, 125.58405780792236]
['CO', 145, 'BO', 5, 'echo', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18390001429274716, 21.668210744857788]
['CO', 264, 'BO', 6, 'cut', 'codeblocks', 'O2', 'O0', 0.20722511144130762, 20.382646322250366]
['BO', 5, 'CO', 388, 'libgeany.so.0.0.0', 'md5sum', 'O1', 'O0', 0.18184690733865239, 21.835137128829956]
['UO', 62, 'BO', 12, 'diff3', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19663889155878245, 127.90094804763794]
['CO', 151, 'BO', 12, 'numfmt', 'libgeany.so.0.0.0', 'O1', 'O0', 0.19690216345085965, 128.50569772720337]
['BO', 5, 'CO', 207, 'libgeany.so.0.0.0', 'ln', 'O1', 'O1', 0.1792966116311523, 23.154698371887207]
['BO', 12, 'CO', 145, 'libgeany.so.0.0.0', 'echo', 'O0', 'O1', 0.1977040153758246, 128.0906093120575]
