['UO', 26, 'CO', 378, 'nm', 'runcon', 'O2', 'O0', 0.8694659170765987, 1.303053617477417]
['BO', 83, 'CO', 303, 'lua', 'sha224sum', 'O2', 'O2', 0.8307508939213349, 0.5022082328796387]
['CO', 172, 'UO', 83, 'yes', 'diff', 'O1', 'O0', 0.6552574776441566, 0.20616507530212402]
['BO', 21, 'CO', 303, 'cp', 'sha224sum', 'O1', 'O2', 0.5200901239203906, 0.12196612358093262]
['UO', 23, 'BO', 7, 'cmp', 'sort', 'O2', 'O0', 0.5559481743227326, 0.22182321548461914]
['BO', 18, 'CO', 165, 'libvlc.so.12.0.0', 'cksum', 'O1', 'O1', 0.769831965611567, 0.540926456451416]
['UO', 9, 'CO', 221, 'strings', 'printenv', 'O1', 'O2', 0.9224023385596598, 1.3191936016082764]
['UO', 87, 'CO', 35, 'find', 'base32', 'O0', 'O3', 0.8148000531420221, 0.7636997699737549]
['CO', 410, 'UO', 39, 'sleep', 'size', 'O0', 'O2', 0.8800718132854578, 1.4015674591064453]
['CO', 157, 'UO', 26, 'chmod', 'nm', 'O1', 'O2', 0.8147863903811716, 1.5975496768951416]
['CO', 247, 'UO', 20, 'paste', 'diff', 'O2', 'O1', 0.6202712348322627, 0.13541889190673828]
['CO', 16, 'BO', 56, 'dirname', 'libvlc.so.12.0.0', 'O3', 'O3', 0.7834419317746263, 0.5532734394073486]
['UO', 17, 'CO', 180, 'objdump', 'md5sum', 'O1', 'O1', 0.920455179338428, 2.665567398071289]
['CO', 259, 'BO', 52, 'realpath', 'svn', 'O2', 'O3', 0.7749256534668962, 0.7266364097595215]
['CO', 234, 'UO', 59, 'kill', 'locate', 'O2', 'O3', 0.5870139675349189, 0.1303117275238037]
['BO', 42, 'CO', 263, 'cmp', 'cp', 'O1', 'O2', 0.43500738552437224, 0.12261271476745605]
['CO', 202, 'UO', 56, 'sleep', 'elfedit', 'O1', 'O3', 0.16000000000000003, 0.03690314292907715]
['CO', 105, 'UO', 84, 'touch', 'sdiff', 'O1', 'O0', 0.06882946076282337, 0.10318899154663086]
['CO', 63, 'UO', 75, 'logname', 'gprof', 'O3', 'O0', 0.9347764652687504, 3.2785255908966064]
['CO', 69, 'BO', 52, 'who', 'svn', 'O3', 'O3', 0.7428659097882786, 0.7141737937927246]
['CO', 41, 'UO', 35, 'echo', 'gprof', 'O3', 'O2', 0.9039824502193723, 1.3817477226257324]
['CO', 263, 'UO', 76, 'cp', 'addr2line', 'O2', 'O0', 0.7888833910605311, 4.441805839538574]
['CO', 219, 'UO', 38, 'groups', 'elfedit', 'O2', 'O2', 0.17992277992277994, 0.035738229751586914]
['CO', 185, 'BO', 24, 'cat', 'cluster', 'O1', 'O3', 0.6224582701062216, 0.16150617599487305]
['CO', 14, 'BO', 80, 'stty', 'ssh', 'O3', 'O3', 0.8887776804704116, 2.0928471088409424]
['CO', 281, 'UO', 66, 'hostid', 'nm', 'O2', 'O0', 0.9466541331296634, 3.2274417877197266]
['UO', 7, 'CO', 300, 'ranlib', 'sha512sum', 'O1', 'O2', 0.8952973947239062, 1.515610933303833]
['CO', 261, 'UO', 38, 'chmod', 'elfedit', 'O2', 'O2', 0.18160919540229892, 0.05402350425720215]
['BO', 75, 'CO', 0, 'gvmap', 'sha384sum', 'O1', 'O3', 0.5878194671016856, 0.16370844841003418]
['CO', 181, 'BO', 67, 'env', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9411992637799089, 7.83467435836792]
['BO', 70, 'CO', 158, 'diff', 'true', 'O3', 'O1', 0.6245954692556634, 0.1083674430847168]
['CO', 411, 'UO', 56, 'sort', 'elfedit', 'O0', 'O3', 0.5786650774731824, 0.19668817520141602]
['UO', 43, 'BO', 8, 'find', 'cp', 'O2', 'O0', 0.24495256628557527, 0.9691381454467773]
['BO', 32, 'CO', 174, 'ruby', 'b2sum', 'O2', 'O1', 0.9704864644819866, 20.234071969985962]
['CO', 56, 'BO', 25, 'cut', 'dot', 'O3', 'O3', 0.5614213197969543, 0.021007299423217773]
['UO', 19, 'CO', 8, 'cmp', 'dir', 'O1', 'O3', 0.47186744908526057, 0.13777804374694824]
['CO', 69, 'BO', 23, 'who', 'git', 'O3', 'O2', 0.9669002127285856, 9.92278003692627]
['CO', 277, 'UO', 45, 'who', 'strip', 'O2', 'O3', 0.8916868932038835, 1.5299739837646484]
['UO', 9, 'CO', 12, 'strings', 'ptx', 'O1', 'O3', 0.8059577300715594, 1.4372153282165527]
['BO', 65, 'CO', 336, 'gvmap', 'tee', 'O0', 'O0', 0.6852565402555263, 0.2794785499572754]
['UO', 49, 'BO', 64, 'c++filt', 'dot', 'O3', 'O0', 0.956411753259389, 0.9220337867736816]
['CO', 40, 'BO', 57, 'sync', 'libvlccore.so.9.0.0', 'O3', 'O3', 0.9502015083197, 6.173807859420776]
['UO', 54, 'CO', 296, 'addr2line', 'shred', 'O3', 'O2', 0.8236293712548073, 1.1367568969726562]
['CO', 62, 'BO', 75, 'printf', 'gvmap', 'O3', 'O1', 0.5715823466092572, 0.1744976043701172]
['BO', 48, 'CO', 103, 'libvlccore.so.9.0.0', 'ln', 'O0', 'O3', 0.9184981684981685, 15.292598962783813]
['CO', 210, 'BO', 0, 'stat', 'codeblocks', 'O2', 'O1', 0.9372623574144486, 20.56540870666504]
['BO', 6, 'UO', 45, 'codeblocks', 'strip', 'O0', 'O3', 0.6199238385377, 50.95008587837219]
['BO', 21, 'UO', 70, 'cp', 'ranlib', 'O1', 'O0', 0.7900477164280846, 4.727810621261597]
['CO', 368, 'UO', 23, 'cut', 'cmp', 'O0', 'O2', 0.12369230769230766, 0.05829358100891113]
['CO', 136, 'UO', 70, 'expr', 'ranlib', 'O1', 'O0', 0.9007693165347307, 3.5834529399871826]
['UO', 54, 'CO', 255, 'addr2line', 'numfmt', 'O3', 'O2', 0.8615904318451566, 1.10740065574646]
['CO', 288, 'BO', 22, 'uname', 'perl', 'O2', 'O0', 0.970711558921084, 5.18293023109436]
['CO', 54, 'BO', 2, 'true', 'perl', 'O3', 'O1', 0.9709799560462838, 3.464608907699585]
['CO', 357, 'UO', 51, 'split', 'objcopy', 'O0', 'O3', 0.819375547125766, 1.841522455215454]
['CO', 232, 'UO', 44, 'tee', 'nm', 'O2', 'O3', 0.8905082893058845, 1.1883063316345215]
['CO', 249, 'UO', 49, 'echo', 'c++filt', 'O2', 'O3', 0.914865250928483, 1.0560493469238281]
['BO', 54, 'CO', 367, 'lua', 'cp', 'O3', 'O0', 0.3659079413252402, 0.8589589595794678]
['UO', 86, 'CO', 94, 'xargs', 'rm', 'O0', 'O3', 0.21921097770154374, 0.14617657661437988]
['CO', 302, 'BO', 49, 'rm', 'svn', 'O2', 'O0', 0.6732524867148113, 0.9780399799346924]
['BO', 45, 'UO', 4, 'diff', 'strip', 'O2', 'O1', 0.7137816114487355, 2.782721519470215]
['UO', 45, 'CO', 121, 'strip', 'stdbuf', 'O3', 'O1', 0.8882495457298607, 1.3456873893737793]
['BO', 67, 'CO', 70, 'libSDL2-2.0.so.0.16.0', 'b2sum', 'O1', 'O3', 0.913404620966202, 6.9376115798950195]
['BO', 1, 'CO', 201, 'ssh', 'uniq', 'O2', 'O1', 0.8977151799687011, 1.910421371459961]
['CO', 377, 'UO', 69, 'false', 'as', 'O0', 'O0', 0.9530932152686371, 5.404660701751709]
['BO', 13, 'CO', 72, 'ruby', 'head', 'O1', 'O3', 0.9754386498866282, 17.132484197616577]
['CO', 234, 'BO', 15, 'kill', 'diff', 'O2', 'O0', 0.660377358490566, 0.2032794952392578]
['CO', 280, 'UO', 86, 'head', 'xargs', 'O2', 'O0', 0.41222030981067126, 0.11787271499633789]
['BO', 63, 'CO', 398, 'cluster', 'timeout', 'O0', 'O0', 0.6282127913927077, 0.3047010898590088]
