['BO', 62, 'CO', 145, 'bash', 'echo', 'O1', 'O1', 0.9543505674653215, 3.602627992630005]
['BO', 52, 'CO', 148, 'svn', 'seq', 'O3', 'O1', 0.7721518987341772, 0.6284501552581787]
['CO', 220, 'UO', 32, 'ptx', 'strings', 'O2', 'O2', 0.8183409170458523, 1.5245635509490967]
['CO', 58, 'BO', 15, 'df', 'diff', 'O3', 'O0', 0.3079150579150579, 0.2917766571044922]
['BO', 77, 'CO', 296, 'libSDL2-2.0.so.0.16.0', 'shred', 'O3', 'O2', 0.9112710911136108, 7.057172536849976]
['CO', 268, 'UO', 40, 'base64', 'objdump', 'O2', 'O2', 0.9328632204673932, 2.5866520404815674]
['BO', 62, 'CO', 285, 'bash', 'env', 'O1', 'O2', 0.9564888065982158, 3.554527521133423]
['UO', 14, 'CO', 199, 'ar', 'sha224sum', 'O1', 'O1', 0.8817309256547909, 1.5504014492034912]
['BO', 26, 'CO', 239, 'gvmap', 'date', 'O3', 'O2', 0.47162022703818374, 0.18178892135620117]
['UO', 38, 'BO', 5, 'elfedit', 'libgeany.so.0.0.0', 'O2', 'O1', 0.97136220447386, 44.47663879394531]
['CO', 276, 'BO', 31, 'yes', 'bash', 'O2', 'O2', 0.96153050672182, 3.982659339904785]
['UO', 50, 'CO', 236, 'strings', 'factor', 'O3', 'O2', 0.8323245098924925, 1.0832030773162842]
['BO', 9, 'CO', 188, 'git', 'vdir', 'O0', 'O1', 0.9208279332164366, 10.00230097770691]
['BO', 15, 'CO', 314, 'diff', 'stat', 'O0', 'O0', 0.25525946704067315, 0.32773447036743164]
['CO', 348, 'BO', 37, 'pinky', 'gvmap', 'O0', 'O2', 0.5327956989247312, 0.20417380332946777]
['CO', 0, 'UO', 33, 'sha384sum', 'objcopy', 'O3', 'O2', 0.8862622658340767, 1.7444965839385986]
['BO', 11, 'CO', 305, 'ssh', 'uniq', 'O1', 'O2', 0.9092280613527784, 1.9741230010986328]
['UO', 86, 'CO', 237, 'xargs', 'nproc', 'O0', 'O2', 0.5152354570637119, 0.11016106605529785]
['UO', 22, 'CO', 397, 'diff3', '[', 'O2', 'O0', 0.09259259259259256, 0.0699923038482666]
['UO', 31, 'CO', 386, 'c++filt', 'unexpand', 'O2', 'O0', 0.8578387154970233, 1.2494354248046875]
['BO', 71, 'UO', 6, 'libSDL2-2.0.so.0.16.0', 'as', 'O0', 'O1', 0.26587909643616237, 21.247769355773926]
['BO', 15, 'CO', 315, 'diff', 'unlink', 'O0', 'O0', 0.6251892219194671, 0.20003461837768555]
['CO', 367, 'BO', 65, 'cp', 'gvmap', 'O0', 'O0', 0.16849315068493154, 0.6636719703674316]
['CO', 34, 'BO', 72, 'tail', 'make', 'O3', 'O2', 0.5959731543624162, 0.3780794143676758]
