['BO', 34, 'CO', 78, 'cp', 'chcon', 'O2', 'O3', 0.2585055643879173, 0.13793349266052246]
['CO', 223, 'UO', 10, 'join', 'objcopy', 'O2', 'O1', 0.890979883192732, 2.03163743019104]
['CO', 278, 'BO', 62, 'b2sum', 'bash', 'O2', 'O1', 0.9365238035736598, 4.262973308563232]
['UO', 54, 'CO', 403, 'addr2line', 'comm', 'O3', 'O0', 0.8551542170867074, 1.117295265197754]
['UO', 47, 'CO', 25, 'as', 'chgrp', 'O3', 'O3', 0.8632332878581174, 2.031499147415161]
['CO', 124, 'BO', 3, 'mkfifo', 'openssl', 'O1', 'O1', 0.9502006645665214, 12.177021741867065]
['CO', 390, 'BO', 56, 'chcon', 'libvlc.so.12.0.0', 'O0', 'O3', 0.5015197568389058, 0.8338329792022705]
['CO', 390, 'UO', 71, 'chcon', 'c++filt', 'O0', 'O0', 0.8189402480270574, 4.145999908447266]
['BO', 43, 'CO', 19, 'diff', 'dd', 'O1', 'O3', 0.28504024424091035, 0.1759037971496582]
['BO', 9, 'CO', 155, 'git', 'realpath', 'O0', 'O1', 0.9684753310676198, 8.744314193725586]
['CO', 311, 'UO', 73, 'ln', 'objcopy', 'O2', 'O0', 0.8764976958525346, 4.82233452796936]
['BO', 42, 'CO', 34, 'cmp', 'tail', 'O1', 'O3', 0.22897669706180346, 0.05961966514587402]
['UO', 64, 'CO', 317, 'diff', 'basename', 'O3', 'O0', 0.5499142367066895, 0.12183785438537598]
['CO', 379, 'BO', 58, 'nohup', 'svn', 'O0', 'O1', 0.7710191082802548, 0.7826054096221924]
['CO', 338, 'UO', 20, 'kill', 'diff', 'O0', 'O1', 0.5073041168658698, 0.16518640518188477]
['CO', 200, 'BO', 53, 'fold', 'bash', 'O1', 'O0', 0.9542180703130572, 5.635204315185547]
['BO', 50, 'CO', 358, 'perl', 'whoami', 'O2', 'O0', 0.9621301062644871, 3.293081045150757]
['UO', 67, 'CO', 357, 'strip', 'split', 'O0', 'O0', 0.8796890184645286, 4.022293329238892]
['UO', 13, 'CO', 108, 'addr2line', 'test', 'O1', 'O1', 0.8698336477448122, 1.4097347259521484]
['BO', 64, 'CO', 156, 'dot', 'sha256sum', 'O0', 'O1', 0.5436382754994742, 0.02549433708190918]
['CO', 111, 'UO', 59, 'fmt', 'locate', 'O1', 'O3', 0.5075161059413028, 0.14125728607177734]
['UO', 55, 'CO', 2, 'ar', 'stat', 'O3', 'O3', 0.7904211395540875, 1.337958812713623]
['CO', 189, 'UO', 27, '[', 'strip', 'O1', 'O2', 0.8801126259632484, 1.8304595947265625]
['CO', 219, 'BO', 69, 'groups', 'cmp', 'O2', 'O3', 0.16168582375478924, 0.036958932876586914]
['BO', 82, 'CO', 213, 'cp', 'basename', 'O3', 'O2', 0.6205813040062844, 0.09588289260864258]
['CO', 192, 'BO', 83, 'shred', 'lua', 'O1', 'O2', 0.7314629258517034, 0.7359964847564697]
['UO', 20, 'CO', 296, 'diff', 'shred', 'O1', 'O2', 0.3943488943488944, 0.1765913963317871]
['BO', 55, 'CO', 131, 'make', 'wc', 'O1', 'O1', 0.6929368029739778, 0.3285343647003174]
['CO', 207, 'UO', 69, 'ln', 'as', 'O1', 'O0', 0.895409150731594, 6.671212673187256]
['CO', 227, 'BO', 73, 'dd', 'cluster', 'O2', 'O1', 0.42864542864542865, 0.2040565013885498]
['CO', 353, 'UO', 84, 'echo', 'sdiff', 'O0', 'O0', 0.33036707452725245, 0.07391858100891113]
['BO', 63, 'CO', 313, 'cluster', 'touch', 'O0', 'O0', 0.5273678311227349, 0.3549926280975342]
['BO', 58, 'CO', 299, 'svn', 'comm', 'O1', 'O2', 0.8020090732339599, 0.634735107421875]
['UO', 76, 'CO', 253, 'addr2line', 'split', 'O0', 'O2', 0.8956826137689615, 2.979867696762085]
['UO', 17, 'CO', 105, 'objdump', 'touch', 'O1', 'O1', 0.8806948541461815, 2.998467206954956]
['CO', 32, 'UO', 68, 'expr', 'readelf', 'O3', 'O0', 0.8125943497951261, 0.7912201881408691]
['CO', 187, 'BO', 29, 'csplit', 'libvlc.so.12.0.0', 'O1', 'O2', 0.6537610619469026, 0.7057533264160156]
['UO', 32, 'CO', 291, 'strings', 'csplit', 'O2', 'O2', 0.8443241324221177, 1.291259765625]
['CO', 191, 'BO', 39, 'id', 'codeblocks', 'O1', 'O3', 0.9619993854348049, 18.045161962509155]
['UO', 79, 'CO', 283, 'size', 'mv', 'O0', 'O2', 0.7567524029425978, 3.631967067718506]
['CO', 184, 'BO', 3, 'uname', 'openssl', 'O1', 'O1', 0.9515481279958544, 12.370001554489136]
['CO', 355, 'UO', 16, 'chroot', 'size', 'O0', 'O1', 0.853443151906258, 1.7574493885040283]
['BO', 59, 'UO', 51, 'libgeany.so.0.0.0', 'objcopy', 'O3', 'O3', 0.670482787795463, 49.904524087905884]
['CO', 365, 'UO', 19, 'chmod', 'cmp', 'O0', 'O1', 0.2866666666666666, 0.08990216255187988]
['BO', 34, 'CO', 282, 'cp', 'unexpand', 'O2', 'O2', 0.5347551342812006, 0.10491514205932617]
['BO', 79, 'CO', 403, 'bash', 'comm', 'O3', 'O0', 0.9376664056382146, 3.4342362880706787]
['CO', 125, 'UO', 64, 'mktemp', 'diff', 'O1', 'O3', 0.4659312134977287, 0.14674067497253418]
['BO', 57, 'UO', 54, 'libvlccore.so.9.0.0', 'addr2line', 'O3', 'O3', 0.41818286836481255, 10.648851871490479]
['UO', 6, 'CO', 382, 'as', 'b2sum', 'O1', 'O0', 0.8849504843335678, 2.815253734588623]
['BO', 16, 'CO', 76, 'make', 'md5sum', 'O0', 'O3', 0.7446085922907115, 0.31737828254699707]
