['UO', 76, 'CO', 409, 'addr2line', 'uniq', 'O0', 'O0', 0.8922602061615514, 2.95731520652771]
['CO', 237, 'UO', 16, 'nproc', 'size', 'O2', 'O1', 0.9082087595069499, 1.4991061687469482]
['CO', 266, 'BO', 33, 'df', 'sort', 'O2', 'O2', 0.17186544342507648, 0.1739656925201416]
['UO', 59, 'CO', 57, 'locate', 'od', 'O3', 'O3', 0.3337515683814304, 0.1471996307373047]
['CO', 246, 'BO', 80, 'sha1sum', 'ssh', 'O2', 'O3', 0.921344024436808, 1.9938874244689941]
['UO', 46, 'BO', 37, 'readelf', 'gvmap', 'O3', 'O2', 0.3452914798206278, 0.5599346160888672]
['BO', 43, 'CO', 23, 'diff', 'pr', 'O1', 'O3', 0.33157740708223593, 0.16373801231384277]
['CO', 329, 'UO', 57, 'stdbuf', 'size', 'O0', 'O3', 0.8481012658227848, 1.3177003860473633]
['BO', 23, 'CO', 43, 'git', 'chroot', 'O2', 'O3', 0.9696294559099438, 8.513731479644775]
['BO', 47, 'CO', 136, 'libvlc.so.12.0.0', 'expr', 'O0', 'O1', 0.7156367193869232, 0.8011171817779541]
['CO', 331, 'BO', 21, 'dd', 'cp', 'O0', 'O1', 0.18604651162790697, 0.19957566261291504]
['CO', 195, 'BO', 28, 'comm', 'ruby', 'O1', 'O0', 0.9784157395337557, 19.978907823562622]
['BO', 27, 'CO', 62, 'perl', 'printf', 'O3', 'O3', 0.9530491726597673, 3.0789005756378174]
['CO', 400, 'UO', 80, 'shred', 'objdump', 'O0', 'O0', 0.8993389771541227, 7.048524379730225]
['UO', 32, 'CO', 97, 'strings', 'uniq', 'O2', 'O3', 0.8425671483024555, 1.2246348857879639]
['BO', 27, 'CO', 255, 'perl', 'numfmt', 'O3', 'O2', 0.9556219080237698, 3.1156952381134033]
['CO', 59, 'BO', 46, 'tsort', 'ruby', 'O3', 'O3', 0.9778448223319315, 19.085289239883423]
['CO', 180, 'UO', 35, 'md5sum', 'gprof', 'O1', 'O2', 0.8811270423474491, 1.4870710372924805]
['BO', 10, 'CO', 224, 'openssl', 'dirname', 'O3', 'O2', 0.9602649006622517, 9.879558086395264]
['BO', 47, 'CO', 168, 'libvlc.so.12.0.0', 'tty', 'O0', 'O1', 0.8101484294097342, 0.7413368225097656]
['BO', 3, 'CO', 258, 'openssl', 'dircolors', 'O1', 'O2', 0.9468401326842717, 10.083260536193848]
['BO', 46, 'CO', 394, 'ruby', 'shuf', 'O3', 'O0', 0.9601926939398058, 18.459994316101074]
['UO', 33, 'BO', 54, 'objcopy', 'lua', 'O2', 'O3', 0.31534778355557846, 2.8125]
['CO', 131, 'UO', 50, 'wc', 'strings', 'O1', 'O3', 0.8493662806601623, 1.2796826362609863]
['CO', 5, 'BO', 41, 'basename', 'libSDL2-2.0.so.0.16.0', 'O3', 'O2', 0.9406662724226296, 7.412447690963745]
['CO', 358, 'BO', 39, 'whoami', 'codeblocks', 'O0', 'O3', 0.9676930583733532, 16.97064971923828]
['CO', 12, 'UO', 32, 'ptx', 'strings', 'O3', 'O2', 0.7982175305009951, 1.462857961654663]
['UO', 50, 'CO', 331, 'strings', 'dd', 'O3', 'O0', 0.7549537077096132, 1.2578434944152832]
['BO', 68, 'CO', 360, 'git', 'ls', 'O3', 'O0', 0.894683411039254, 10.332708835601807]
['CO', 209, 'UO', 52, 'touch', 'ld', 'O2', 'O3', 0.8810321518838535, 2.6244781017303467]
