['CO', 240, 'UO', 5, 'expr', 'readelf', 'O2', 'O1', 0.7670017740981667, 0.41522836685180664]
['CO', 365, 'UO', 41, 'chmod', 'locate', 'O0', 'O2', 0.25434173669467786, 0.2289271354675293]
['UO', 55, 'CO', 309, 'ar', 'rmdir', 'O3', 'O2', 0.900587358639432, 1.1389634609222412]
['CO', 271, 'UO', 47, 'logname', 'as', 'O2', 'O3', 0.9456283017747967, 2.0504331588745117]
['CO', 64, 'UO', 45, 'tty', 'strip', 'O3', 'O3', 0.9115573267933783, 1.3709168434143066]
['UO', 2, 'CO', 243, 'find', 'base32', 'O1', 'O2', 0.8040149710785982, 0.4634389877319336]
['BO', 71, 'UO', 63, 'libSDL2-2.0.so.0.16.0', 'cmp', 'O0', 'O3', 0.9366386554621848, 8.48136854171753]
['UO', 26, 'CO', 90, 'nm', 'tr', 'O2', 'O3', 0.8617793718834748, 1.2270631790161133]
['CO', 110, 'BO', 58, 'mkdir', 'svn', 'O1', 'O1', 0.736455893832943, 0.7900667190551758]
['BO', 41, 'CO', 242, 'libSDL2-2.0.so.0.16.0', 'tail', 'O2', 'O2', 0.8968337984794533, 6.9691481590271]
['UO', 76, 'BO', 76, 'addr2line', 'openssl', 'O0', 'O2', 0.32055892325079627, 30.2553927898407]
['CO', 105, 'UO', 52, 'touch', 'ld', 'O1', 'O3', 0.8722283975896565, 2.748213052749634]
['UO', 48, 'CO', 87, 'ranlib', 'id', 'O3', 'O3', 0.8689768123437634, 1.1302642822265625]
['CO', 176, 'UO', 69, 'head', 'as', 'O1', 'O0', 0.9384030719290606, 5.646815776824951]
['UO', 4, 'BO', 69, 'strip', 'cmp', 'O1', 'O3', 0.8912526141198529, 1.7071218490600586]
['CO', 186, 'BO', 49, 'shuf', 'svn', 'O1', 'O0', 0.7064628214037526, 0.9918954372406006]
['UO', 32, 'BO', 26, 'strings', 'gvmap', 'O2', 'O3', 0.5696699645041915, 1.637221097946167]
['CO', 397, 'UO', 37, '[', 'ar', 'O0', 'O2', 0.8489214624802198, 1.6011600494384766]
['CO', 103, 'BO', 29, 'ln', 'libvlc.so.12.0.0', 'O3', 'O2', 0.5266916014960897, 0.7194676399230957]
['UO', 6, 'CO', 24, 'as', 'tee', 'O1', 'O3', 0.9175337186897881, 2.433419942855835]
['CO', 9, 'BO', 49, 'du', 'svn', 'O3', 'O0', 0.5391162848917261, 1.089106798171997]
['UO', 20, 'CO', 290, 'diff', 'shuf', 'O1', 'O2', 0.4178638351030606, 0.1593797206878662]
['CO', 206, 'BO', 58, 'mknod', 'svn', 'O1', 'O1', 0.7993852127487462, 0.7498335838317871]
['CO', 316, 'UO', 2, 'test', 'find', 'O0', 'O1', 0.7178490443796566, 0.6295766830444336]
['CO', 349, 'BO', 3, 'truncate', 'openssl', 'O0', 'O1', 0.9372427983539094, 12.389343023300171]
['UO', 49, 'BO', 58, 'c++filt', 'svn', 'O3', 'O1', 0.30408607659792497, 2.9371049404144287]
['UO', 51, 'BO', 63, 'objcopy', 'cluster', 'O3', 'O0', 0.5070082165297245, 2.1995701789855957]
['UO', 27, 'CO', 12, 'strip', 'ptx', 'O2', 'O3', 0.8315288003464704, 1.6716609001159668]
['BO', 29, 'UO', 35, 'libvlc.so.12.0.0', 'gprof', 'O2', 'O2', 0.4341637010676156, 3.5132334232330322]
['CO', 114, 'UO', 60, 'users', 'xargs', 'O1', 'O3', 0.3638703036541431, 0.08853673934936523]
['CO', 14, 'BO', 26, 'stty', 'gvmap', 'O3', 'O3', 0.5273990911520984, 0.17479467391967773]
['UO', 13, 'CO', 370, 'addr2line', 'df', 'O1', 'O0', 0.7240670461733081, 1.81193208694458]
['CO', 135, 'UO', 32, 'date', 'strings', 'O1', 'O2', 0.8061712299000434, 1.6293373107910156]
['UO', 36, 'CO', 349, 'addr2line', 'truncate', 'O2', 'O0', 0.8689463790170978, 1.2346930503845215]
['CO', 60, 'BO', 61, 'base64', 'git', 'O3', 'O1', 0.9723662837348572, 9.256661653518677]
['CO', 318, 'UO', 41, 'mkdir', 'locate', 'O0', 'O2', 0.11644004944375774, 0.28597569465637207]
['BO', 41, 'CO', 303, 'libSDL2-2.0.so.0.16.0', 'sha224sum', 'O2', 'O2', 0.9371341433420237, 6.868723154067993]
['CO', 193, 'UO', 42, 'pathchk', 'xargs', 'O1', 'O2', 0.39711384286477824, 0.08078861236572266]
['CO', 283, 'BO', 12, 'mv', 'libgeany.so.0.0.0', 'O2', 'O0', 0.8440268405775248, 53.922194480895996]
['CO', 56, 'BO', 30, 'cut', 'libvlccore.so.9.0.0', 'O3', 'O2', 0.9400182968060141, 6.847142457962036]
['CO', 217, 'UO', 51, 'du', 'objcopy', 'O2', 'O3', 0.7528816418330053, 2.0835163593292236]
['UO', 25, 'CO', 89, 'sdiff', 'pathchk', 'O2', 'O3', 0.27956337174044876, 0.044629812240600586]
['BO', 31, 'CO', 81, 'bash', 'cat', 'O2', 'O3', 0.9437612723397278, 3.5083138942718506]
['UO', 26, 'CO', 406, 'nm', 'rm', 'O2', 'O0', 0.748582696573823, 1.5659418106079102]
['UO', 72, 'CO', 4, 'strings', 'test', 'O0', 'O3', 0.9125007360301478, 2.836524486541748]
['BO', 36, 'CO', 119, 'cluster', 'join', 'O2', 'O1', 0.5185710235327474, 0.17009568214416504]
['BO', 79, 'CO', 383, 'bash', 'readlink', 'O3', 'O0', 0.9291310957782716, 3.526468515396118]
