['UV', 80, 'CV', 102, 'objcopy', 'uptime', 'V0', 'V3', 0.8795692830830264, 1.4433379173278809]
['CV', 177, 'BV', 0, 'test', 'bash', 'V0', 'V2', 0.9597453828223059, 3.053352117538452]
['CV', 256, 'UV', 7, 'sort', 'nm', 'V0', 'V2', 0.8429667519181586, 1.4137530326843262]
['CV', 177, 'BV', 30, 'test', 'bash', 'V0', 'V0', 0.955247682647264, 2.651632785797119]
['CV', 269, 'BV', 67, 'du', 'cluster', 'V1', 'V0', 0.3886215680724596, 0.17015933990478516]
['CV', 141, 'BV', 21, 'false', 'cp', 'V3', 'V1', 0.35765550239234445, 0.04526567459106445]
['BV', 45, 'CV', 108, 'svn', 'chgrp', 'V3', 'V3', 0.6914344685242518, 0.8089256286621094]
['UV', 26, 'CV', 53, 'ranlib', 'tty', 'V3', 'V2', 0.9177608845888044, 1.1735930442810059]
['BV', 69, 'CV', 12, 'gvmap', 'stty', 'V0', 'V2', 0.5566917293233082, 0.12989163398742676]
['UV', 74, 'CV', 288, 'strip', 'expr', 'V0', 'V1', 0.8277762468999724, 1.4732537269592285]
['CV', 99, 'UV', 13, 'stty', 'strings', 'V3', 'V2', 0.8445686342996856, 1.366692066192627]
['CV', 137, 'UV', 75, 'cksum', 'readelf', 'V3', 'V0', 0.6389288799308955, 0.10741424560546875]
['BV', 40, 'CV', 330, 'lua', 'csplit', 'V2', 'V1', 0.6373401534526855, 0.4818708896636963]
['CV', 26, 'BV', 33, 'date', 'openssl', 'V2', 'V0', 0.965394521189417, 7.86354398727417]
['BV', 36, 'CV', 283, 'libvlc.so', 'kill', 'V2', 'V1', 0.8275322643723113, 0.37246060371398926]
['UV', 10, 'CV', 9, 'as', 'users', 'V2', 'V2', 0.9359085397540273, 1.9695775508880615]
['UV', 85, 'CV', 80, 'elfedit', 'uniq', 'V0', 'V2', 0.14644970414201186, 0.03105473518371582]
['UV', 36, 'CV', 133, 'objdump', 'cut', 'V3', 'V3', 0.9123565703742144, 2.150540351867676]
['UV', 37, 'CV', 48, 'locate', 'df', 'V3', 'V2', 0.2982131854590264, 0.14823055267333984]
['CV', 343, 'BV', 37, 'sort', 'geany', 'V1', 'V1', 0.9570025759717999, 30.923356533050537]
['UV', 9, 'CV', 309, 'readelf', 'df', 'V2', 'V1', 0.6627011896431071, 0.14069104194641113]
['UV', 49, 'CV', 330, 'xargs', 'csplit', 'V1', 'V1', 0.2921960072595282, 0.05705690383911133]
['BV', 33, 'CV', 62, 'openssl', 'unexpand', 'V0', 'V2', 0.9754312474995882, 6.969340085983276]
['UV', 0, 'CV', 309, 'locate', 'df', 'V2', 'V1', 0.2970345162858532, 0.0705718994140625]
['UV', 29, 'CV', 304, 'objcopy', 'chmod', 'V3', 'V1', 0.8749722899578808, 1.4669075012207031]
['UV', 57, 'CV', 82, 'strings', 'sort', 'V1', 'V2', 0.7437443964463282, 1.3205726146697998]
['BV', 75, 'CV', 77, 'cmp', 'nl', 'V2', 'V2', 0.2821997105643994, 0.05383872985839844]
['UV', 75, 'BV', 44, 'readelf', 'make', 'V0', 'V0', 0.18600261361986348, 0.3864552974700928]
['BV', 32, 'CV', 213, 'perl', 'whoami', 'V0', 'V0', 0.9694804920319567, 2.316486358642578]
['CV', 168, 'BV', 32, 'sleep', 'perl', 'V3', 'V0', 0.9488037476995148, 2.772064685821533]
['BV', 61, 'CV', 36, 'cmp', 'chroot', 'V0', 'V2', 0.2861538461538462, 0.01996159553527832]
['BV', 64, 'CV', 47, 'openssl', 'od', 'V2', 'V2', 0.901659496004917, 5.810532808303833]
['BV', 24, 'UV', 32, 'git', 'addr2line', 'V0', 'V3', 0.5528665967061444, 8.913161039352417]
['UV', 84, 'CV', 159, 'ar', 'id', 'V0', 'V3', 0.868691225951169, 1.1464126110076904]
['UV', 73, 'BV', 59, 'nm', 'make', 'V0', 'V1', 0.41528464089893724, 1.815661907196045]
['BV', 48, 'CV', 248, 'gvmap', 'pathchk', 'V3', 'V0', 0.7679491063314148, 0.12388896942138672]
['BV', 39, 'CV', 84, 'svn', 'rmdir', 'V1', 'V2', 0.7833725774316247, 0.4429762363433838]
['BV', 45, 'CV', 27, 'svn', 'expr', 'V3', 'V2', 0.654467440686522, 0.8028955459594727]
['UV', 49, 'CV', 6, 'xargs', 'fmt', 'V1', 'V2', 0.17384843982169396, 0.029018402099609375]
['CV', 289, 'BV', 15, 'chown', 'libvlccore.so', 'V1', 'V3', 0.9219097140155992, 5.0479724407196045]
['CV', 105, 'UV', 73, 'pwd', 'nm', 'V3', 'V0', 0.871783295711061, 1.2207350730895996]
['CV', 108, 'UV', 6, 'chgrp', 'sdiff', 'V3', 'V2', 0.13667117726657652, 0.06649112701416016]
['CV', 90, 'BV', 29, 'test', 'perl', 'V3', 'V3', 0.9475467702082598, 3.5126984119415283]
['BV', 61, 'CV', 149, 'cmp', 'unexpand', 'V0', 'V3', 0.34208059981255856, 0.021654844284057617]
['CV', 298, 'UV', 85, 'seq', 'elfedit', 'V1', 'V0', 0.2339656729900632, 0.025281667709350586]
['CV', 233, 'BV', 34, 'head', 'svn', 'V0', 'V0', 0.7913655010744286, 0.43251752853393555]
['CV', 200, 'UV', 70, 'date', 'locate', 'V0', 'V0', 0.4209815398469159, 0.07917118072509766]
['BV', 76, 'CV', 99, 'diff', 'stty', 'V2', 'V3', 0.4305867265149086, 0.11418652534484863]
['CV', 119, 'UV', 86, 'paste', 'size', 'V3', 'V0', 0.8936136327440676, 1.1498806476593018]
['BV', 55, 'CV', 37, 'codeblocks', 'seq', 'V3', 'V2', 0.9678813118167621, 13.118213891983032]
['BV', 23, 'UV', 62, 'diff', 'ar', 'V3', 'V1', 0.66808698207464, 2.0377306938171387]
['CV', 91, 'BV', 12, 'basename', 'sort', 'V3', 'V2', 0.4561960962324103, 0.06650066375732422]
['BV', 0, 'CV', 279, 'bash', 'pwd', 'V2', 'V1', 0.9587795152112549, 2.856341600418091]
['CV', 170, 'UV', 76, 'tac', 'as', 'V3', 'V0', 0.9041422943774621, 2.214259624481201]
['UV', 58, 'BV', 76, 'objcopy', 'diff', 'V1', 'V2', 0.7220178337594313, 1.9314441680908203]
['BV', 79, 'UV', 63, 'bash', 'elfedit', 'V3', 'V1', 0.9427521681548254, 3.0914955139160156]
['CV', 204, 'UV', 34, 'pinky', 'elfedit', 'V0', 'V3', 0.17538461538461536, 0.03324246406555176]
['UV', 79, 'CV', 237, 'strings', 'mv', 'V0', 'V0', 0.7731688107114728, 1.157231330871582]
['UV', 37, 'BV', 14, 'locate', 'openssl', 'V3', 'V3', 0.7974048526361488, 11.30134391784668]
['BV', 6, 'CV', 131, 'libvlc.so', 'true', 'V0', 'V3', 0.7417661097852029, 0.2646174430847168]
['CV', 129, 'BV', 59, 'dircolors', 'make', 'V3', 'V1', 0.7157301186078164, 0.269838809967041]
['UV', 80, 'CV', 174, 'objcopy', 'touch', 'V0', 'V0', 0.9127676447264076, 1.3980069160461426]
['BV', 33, 'CV', 277, 'openssl', 'dd', 'V0', 'V1', 0.9626373626373627, 6.95752477645874]
