['CV', 301, 'UV', 59, 'ls', 'ld', 'V1', 'V1', 0.8426126073494187, 2.8439853191375732]
['UV', 31, 'CV', 306, 'gprof', 'cp', 'V3', 'V1', 0.8194567582816152, 1.386139154434204]
['BV', 20, 'CV', 206, 'sort', 'paste', 'V1', 'V0', 0.47901399067288475, 0.03947043418884277]
['CV', 47, 'BV', 72, 'od', 'perl', 'V2', 'V1', 0.94203089489806, 3.579658269882202]
['BV', 43, 'UV', 83, 'lua', 'addr2line', 'V0', 'V0', 0.29890473764645953, 2.8695383071899414]
['BV', 5, 'CV', 44, 'libvlccore.so', 'true', 'V0', 'V2', 0.9522575665692706, 3.4080100059509277]
['CV', 283, 'UV', 57, 'kill', 'strings', 'V1', 'V1', 0.9206049149338374, 1.2293016910552979]
['CV', 105, 'BV', 25, 'pwd', 'git', 'V3', 'V3', 0.9780110873672149, 12.92214035987854]
['BV', 77, 'CV', 282, 'perl', 'chgrp', 'V2', 'V1', 0.9488535586442646, 3.0452520847320557]
['CV', 304, 'BV', 32, 'chmod', 'perl', 'V1', 'V0', 0.9299146715267997, 3.2490005493164062]
['UV', 71, 'BV', 25, 'xargs', 'git', 'V0', 'V3', 0.9810173697270471, 13.226630687713623]
['UV', 80, 'CV', 59, 'objcopy', 'head', 'V0', 'V2', 0.9058975648301127, 1.4619498252868652]
['CV', 173, 'UV', 6, 'ln', 'sdiff', 'V3', 'V2', 0.2157183790421613, 0.08816075325012207]
['UV', 72, 'CV', 301, 'find', 'ls', 'V0', 'V1', 0.3491745872936468, 0.2348473072052002]
['BV', 34, 'UV', 51, 'svn', 'nm', 'V0', 'V1', 0.4095373481519773, 3.1548380851745605]
['CV', 74, 'BV', 31, 'pathchk', 'codeblocks', 'V2', 'V0', 0.9718964372648816, 13.74155068397522]
['BV', 47, 'CV', 149, 'dot', 'unexpand', 'V3', 'V3', 0.5287846481876333, 0.018936872482299805]
['UV', 58, 'CV', 96, 'objcopy', 'users', 'V1', 'V3', 0.9069189338489159, 1.5946786403656006]
['UV', 43, 'CV', 263, 'sdiff', 'unlink', 'V3', 'V1', 0.4773722627737227, 0.034238576889038086]
['BV', 69, 'CV', 170, 'gvmap', 'tac', 'V0', 'V3', 0.5343601895734598, 0.1409149169921875]
['BV', 81, 'CV', 159, 'dot', 'id', 'V1', 'V3', 0.5496957403651116, 0.021387577056884766]
['CV', 105, 'UV', 24, 'pwd', 'readelf', 'V3', 'V3', 0.7798478497127775, 0.3545820713043213]
['BV', 61, 'CV', 68, 'cmp', 'cat', 'V0', 'V2', 0.42692939244663375, 0.0280911922454834]
['CV', 73, 'UV', 38, 'shred', 'xargs', 'V2', 'V3', 0.18702798756108396, 0.10308337211608887]
['BV', 32, 'CV', 112, 'perl', 'expand', 'V0', 'V3', 0.9415760303371254, 2.5540342330932617]
['CV', 279, 'BV', 49, 'pwd', 'make', 'V1', 'V3', 0.82345039339858, 0.29846811294555664]
['BV', 40, 'CV', 141, 'lua', 'false', 'V2', 'V3', 0.842832469775475, 0.41074085235595703]
['UV', 9, 'CV', 131, 'readelf', 'true', 'V2', 'V3', 0.7354085603112841, 0.12809967994689941]
['UV', 37, 'CV', 95, 'locate', 'du', 'V3', 'V3', 0.1100987091875475, 0.23488831520080566]
['CV', 6, 'BV', 17, 'fmt', 'codeblocks', 'V2', 'V2', 0.9701548020498659, 15.489798784255981]
['BV', 56, 'UV', 6, 'ssh', 'sdiff', 'V3', 'V2', 0.8709513203945275, 1.8153595924377441]
['BV', 64, 'CV', 178, 'openssl', 'basename', 'V2', 'V0', 0.9591296338936219, 5.8599607944488525]
['UV', 35, 'BV', 50, 'size', 'sort', 'V3', 'V0', 0.838321776529448, 1.2580828666687012]
['BV', 63, 'CV', 340, 'ruby', 'fold', 'V0', 'V1', 0.9830627521021051, 12.122547388076782]
['CV', 76, 'BV', 22, 'comm', 'cmp', 'V2', 'V3', 0.16605166051660514, 0.03390955924987793]
['UV', 46, 'CV', 16, 'diff', 'dd', 'V1', 'V2', 0.4623059866962306, 0.1384902000427246]
['BV', 79, 'CV', 306, 'bash', 'cp', 'V3', 'V1', 0.9057876870206614, 3.517191171646118]
['BV', 48, 'UV', 55, 'gvmap', 'ranlib', 'V3', 'V1', 0.5911702873160477, 2.5063955783843994]
['CV', 23, 'BV', 58, 'wc', 'ruby', 'V2', 'V3', 0.7631917631917632, 0.014086008071899414]
['BV', 4, 'CV', 43, 'geany', 'chmod', 'V3', 'V2', 0.9679421783410855, 31.925602674484253]
['BV', 71, 'CV', 119, 'ruby', 'paste', 'V1', 'V3', 0.7578947368421053, 0.011283636093139648]
['BV', 70, 'UV', 85, 'ssh', 'elfedit', 'V0', 'V0', 0.9533156863419162, 4.317083358764648]
['BV', 27, 'CV', 61, 'libSDL2-2.0.so', 'ginstall', 'V1', 'V2', 0.8291818655549765, 5.295640468597412]
['UV', 86, 'CV', 152, 'size', 'env', 'V0', 'V3', 0.8963317384370016, 1.0382463932037354]
['UV', 57, 'CV', 208, 'strings', 'echo', 'V1', 'V0', 0.9369950068088969, 1.0856356620788574]
['CV', 105, 'BV', 11, 'pwd', 'bash', 'V3', 'V1', 0.9339319778532545, 3.361264228820801]
['CV', 196, 'BV', 51, 'kill', 'cp', 'V0', 'V0', 0.4408322496749024, 0.04267382621765137]
['CV', 335, 'BV', 44, 'pathchk', 'make', 'V1', 'V0', 0.8221521837010356, 0.20793795585632324]
['UV', 22, 'CV', 103, 'nm', 'dd', 'V3', 'V3', 0.7778520126941707, 1.3287043571472168]
['BV', 27, 'CV', 95, 'libSDL2-2.0.so', 'du', 'V1', 'V3', 0.8102656693319576, 5.468384027481079]
['UV', 4, 'CV', 71, 'cmp', '[', 'V2', 'V2', 0.17030567685589526, 0.03334641456604004]
['UV', 0, 'CV', 233, 'locate', 'head', 'V2', 'V0', 0.4267379679144385, 0.05666017532348633]
['CV', 224, 'UV', 42, 'cksum', 'diff', 'V0', 'V3', 0.7198325085649029, 0.09631514549255371]
['CV', 331, 'UV', 76, 'vdir', 'as', 'V1', 'V0', 0.8443750722626894, 2.715899705886841]
['CV', 226, 'BV', 63, 'logname', 'ruby', 'V0', 'V0', 0.9858124673445601, 12.696800231933594]
['UV', 9, 'CV', 188, 'readelf', 'dirname', 'V2', 'V0', 0.8169768034667346, 0.11385393142700195]
['UV', 40, 'CV', 160, 'diff3', 'shred', 'V3', 'V3', 0.08154897494305235, 0.06934833526611328]
['BV', 1, 'CV', 67, 'libSDL2-2.0.so', 'uname', 'V3', 'V2', 0.9563235160025532, 6.562233209609985]
['CV', 338, 'BV', 2, 'nl', 'cmp', 'V1', 'V1', 0.23921971252566732, 0.049851179122924805]
['UV', 62, 'CV', 164, 'ar', 'nl', 'V1', 'V3', 0.8796357615894039, 1.2823607921600342]
['BV', 65, 'CV', 97, 'ssh', 'ptx', 'V1', 'V3', 0.9234302211141001, 4.779011964797974]
['CV', 212, 'UV', 51, 'split', 'nm', 'V0', 'V1', 0.9095450959768604, 1.3358244895935059]
['BV', 30, 'CV', 292, 'bash', 'sha1sum', 'V0', 'V1', 0.9516490076108044, 2.598445415496826]
['CV', 310, 'UV', 75, 'tsort', 'readelf', 'V1', 'V0', 0.7332926457125419, 0.10423541069030762]
['CV', 333, 'UV', 24, 'id', 'readelf', 'V1', 'V3', 0.8516962843295638, 0.32327985763549805]
['CV', 29, 'BV', 75, 'tail', 'cmp', 'V2', 'V2', 0.15258082813386276, 0.05070161819458008]
['CV', 221, 'UV', 49, 'od', 'xargs', 'V0', 'V1', 0.1201137171286425, 0.033855438232421875]
['UV', 28, 'CV', 8, 'strings', 'du', 'V3', 'V2', 0.7273482959268496, 1.4135565757751465]
['CV', 344, 'BV', 35, 'tac', 'libvlccore.so', 'V1', 'V2', 0.8859191655801826, 5.519597768783569]
['UV', 56, 'BV', 2, 'c++filt', 'cmp', 'V1', 'V1', 0.8672910408199328, 1.1587750911712646]
['CV', 139, 'UV', 25, 'logname', 'as', 'V3', 'V3', 0.9333679773658987, 2.388368844985962]
['UV', 8, 'BV', 30, 'strip', 'bash', 'V2', 'V0', 0.22198640460151953, 8.945275783538818]
['CV', 27, 'BV', 75, 'expr', 'cmp', 'V2', 'V2', 0.30239099859353025, 0.05709385871887207]
['CV', 213, 'UV', 7, 'whoami', 'nm', 'V0', 'V2', 0.9353625783348254, 1.2649829387664795]
['UV', 1, 'CV', 22, 'xargs', 'kill', 'V2', 'V2', 0.40341221794166215, 0.05188727378845215]
['CV', 137, 'UV', 85, 'cksum', 'elfedit', 'V3', 'V0', 0.16920731707317072, 0.03103494644165039]
['CV', 298, 'UV', 38, 'seq', 'xargs', 'V1', 'V3', 0.5126146788990825, 0.0683598518371582]
['BV', 24, 'CV', 267, 'git', 'fmt', 'V0', 'V1', 0.9756409907087, 4.484629154205322]
['BV', 20, 'CV', 16, 'sort', 'dd', 'V1', 'V2', 0.1040767386091127, 0.06821131706237793]
['BV', 36, 'CV', 324, 'libvlc.so', 'mv', 'V2', 'V1', 0.5891329867516351, 0.553065299987793]
['BV', 40, 'CV', 190, 'lua', 'dd', 'V2', 'V0', 0.7838139016576124, 0.4510946273803711]
['CV', 7, 'BV', 22, 'dir', 'cmp', 'V2', 'V3', 0.36797634136037183, 0.09563517570495605]
['BV', 83, 'UV', 34, 'git', 'elfedit', 'V2', 'V3', 0.9708040654554017, 8.355682849884033]
['UV', 30, 'CV', 72, 'ld', 'id', 'V3', 'V2', 0.9312331233123312, 2.3040313720703125]
['CV', 75, 'BV', 81, 'tr', 'dot', 'V2', 'V1', 0.5099778270509978, 0.017159700393676758]
['CV', 103, 'UV', 60, 'dd', 'gprof', 'V3', 'V1', 0.7940266171463943, 1.639829158782959]
['CV', 323, 'UV', 5, 'unexpand', 'diff', 'V1', 'V2', 0.6822641509433962, 0.10178899765014648]
['UV', 13, 'BV', 79, 'strings', 'bash', 'V2', 'V3', 0.3712724105829004, 10.748571634292603]
['CV', 321, 'UV', 11, 'hostid', 'ranlib', 'V1', 'V2', 0.9380485286525555, 1.3384971618652344]
['UV', 14, 'CV', 202, 'objcopy', 'chown', 'V2', 'V0', 0.8861907548273844, 1.537541151046753]
['UV', 41, 'CV', 326, 'cmp', 'env', 'V3', 'V1', 0.3548387096774194, 0.026474475860595703]
['BV', 71, 'CV', 279, 'ruby', 'pwd', 'V1', 'V1', 0.6666666666666666, 0.008370399475097656]
['CV', 108, 'UV', 42, 'chgrp', 'diff', 'V3', 'V3', 0.3096476025418833, 0.15156269073486328]
['BV', 17, 'UV', 77, 'codeblocks', 'ranlib', 'V2', 'V0', 0.5502931419391183, 22.01281428337097]
['UV', 57, 'CV', 235, 'strings', 'ginstall', 'V1', 'V0', 0.7955061853067408, 1.3426952362060547]
['BV', 61, 'UV', 78, 'cmp', 'c++filt', 'V0', 'V0', 0.9318706697459584, 1.076505184173584]
['CV', 173, 'BV', 51, 'ln', 'cp', 'V3', 'V0', 0.16279069767441867, 0.0923163890838623]
