['UV', 11, 'CV', 9, 'ranlib', 'users', 'V2', 'V2', 0.906067529829906, 1.2524595260620117]
['UV', 51, 'CV', 299, 'nm', 'split', 'V1', 'V1', 0.9077057793345009, 1.150381326675415]
['CV', 138, 'UV', 63, 'printf', 'elfedit', 'V3', 'V1', 0.1568228105906313, 0.036124467849731445]
['CV', 219, 'BV', 13, 'cp', 'cp', 'V0', 'V2', 0.2185618136733971, 0.11012649536132812]
['UV', 42, 'CV', 120, 'diff', 'sync', 'V3', 'V3', 0.5638629283489096, 0.1021876335144043]
['CV', 228, 'BV', 48, 'false', 'gvmap', 'V0', 'V3', 0.8023471278567017, 0.13402175903320312]
['CV', 6, 'UV', 24, 'fmt', 'readelf', 'V2', 'V3', 0.8213888447481329, 0.3208281993865967]
['CV', 130, 'UV', 29, 'chmod', 'objcopy', 'V3', 'V3', 0.8397737983034873, 1.8315701484680176]
['UV', 34, 'CV', 10, 'elfedit', 'ptx', 'V3', 'V2', 0.38868236266005785, 0.07115983963012695]
['CV', 41, 'UV', 44, 'nice', 'diff3', 'V2', 'V1', 0.3164893617021276, 0.03724241256713867]
['CV', 53, 'UV', 45, 'tty', 'cmp', 'V2', 'V1', 0.24429967426710097, 0.029326438903808594]
['CV', 120, 'BV', 75, 'sync', 'cmp', 'V3', 'V2', 0.1613832853025936, 0.03629660606384277]
['UV', 72, 'CV', 64, 'find', 'md5sum', 'V0', 'V2', 0.6405188387893762, 0.15375137329101562]
['CV', 201, 'UV', 87, 'expr', 'objdump', 'V0', 'V0', 0.8411256230677014, 2.19979190826416]
['BV', 83, 'UV', 72, 'git', 'find', 'V2', 'V0', 0.8997219752993021, 9.836600065231323]
['UV', 7, 'CV', 190, 'nm', 'dd', 'V2', 'V0', 0.8655505695547118, 1.243283987045288]
['CV', 283, 'UV', 49, 'kill', 'xargs', 'V1', 'V1', 0.28163265306122454, 0.027583599090576172]
['CV', 192, 'BV', 34, 'pwd', 'svn', 'V0', 'V0', 0.8223370429252782, 0.4284861087799072]
['UV', 75, 'CV', 324, 'readelf', 'mv', 'V0', 'V1', 0.38256658595641646, 0.16237378120422363]
['UV', 12, 'CV', 165, 'c++filt', 'rm', 'V2', 'V3', 0.7834893617021277, 1.2475759983062744]
['BV', 72, 'CV', 213, 'perl', 'whoami', 'V1', 'V0', 0.9758059111319617, 2.6611523628234863]
['UV', 3, 'CV', 200, 'diff3', 'date', 'V2', 'V0', 0.21611721611721613, 0.046739816665649414]
['CV', 338, 'UV', 6, 'nl', 'sdiff', 'V1', 'V2', 0.13885119855269112, 0.06160879135131836]
['UV', 62, 'CV', 9, 'ar', 'users', 'V1', 'V2', 0.9067853543836076, 1.2307953834533691]
['BV', 10, 'UV', 2, 'gvmap', 'find', 'V2', 'V2', 0.11694435712040241, 0.44714927673339844]
['UV', 70, 'BV', 39, 'locate', 'svn', 'V0', 'V1', 0.5183987682832949, 0.7454071044921875]
['CV', 191, 'BV', 50, 'mkfifo', 'sort', 'V0', 'V0', 0.4136607828089025, 0.03089284896850586]
['CV', 72, 'BV', 65, 'id', 'ssh', 'V2', 'V1', 0.961656852248394, 5.086414337158203]
['CV', 246, 'BV', 35, 'id', 'libvlccore.so', 'V0', 'V2', 0.9567128846804194, 4.61799168586731]
['CV', 343, 'UV', 45, 'sort', 'cmp', 'V1', 'V1', 0.20945220193340497, 0.05770516395568848]
