['CO', 320, 'UO', 30, 'dir', 'ranlib', 'O0', 'O2', 0.5970074095388821, 2.683006525039673]
['CO', 79, 'BO', 82, 'link', 'cp', 'O3', 'O3', 0.5528791870530674, 0.10029745101928711]
['BO', 37, 'CO', 117, 'gvmap', 'printenv', 'O2', 'O1', 0.686483288967761, 0.1525859832763672]
['UO', 4, 'CO', 339, 'strip', 'wc', 'O1', 'O0', 0.8615843270868825, 1.9642956256866455]
['BO', 19, 'UO', 79, 'libvlccore.so.9.0.0', 'size', 'O1', 'O0', 0.2096885472107235, 17.196431636810303]
['UO', 33, 'BO', 70, 'objcopy', 'diff', 'O2', 'O3', 0.6982470226147465, 1.9576070308685303]
['BO', 13, 'CO', 361, 'ruby', 'nice', 'O1', 'O0', 0.9794449527294907, 17.841798782348633]
['CO', 197, 'UO', 50, 'nl', 'strings', 'O1', 'O3', 0.8717238833517903, 1.226881742477417]
['BO', 45, 'CO', 140, 'diff', 'pinky', 'O2', 'O1', 0.4903028240898264, 0.1389148235321045]
['BO', 74, 'UO', 37, 'dot', 'ar', 'O1', 'O2', 0.9602649006622517, 1.294861078262329]
['CO', 50, 'UO', 51, 'dircolors', 'objcopy', 'O3', 'O3', 0.8888299886406664, 1.5100452899932861]
['CO', 291, 'UO', 53, 'csplit', 'gprof', 'O2', 'O3', 0.8524314319367323, 1.3524682521820068]
['CO', 260, 'UO', 63, 'sha256sum', 'cmp', 'O2', 'O3', 0.09978463747307964, 0.03997349739074707]
['CO', 266, 'BO', 57, 'df', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.8945368539412973, 8.131131649017334]
['UO', 72, 'CO', 329, 'strings', 'stdbuf', 'O0', 'O0', 0.9016393442622951, 2.9525070190429688]
['UO', 45, 'CO', 198, 'strip', 'rm', 'O3', 'O1', 0.812236593518384, 1.5507173538208008]
['BO', 26, 'CO', 367, 'gvmap', 'cp', 'O3', 'O0', 0.14733333333333332, 0.4701685905456543]
['UO', 32, 'CO', 76, 'strings', 'md5sum', 'O2', 'O3', 0.8643459537053652, 1.2176504135131836]
['CO', 151, 'BO', 82, 'numfmt', 'cp', 'O1', 'O3', 0.41738234283751297, 0.1270742416381836]
['BO', 37, 'CO', 141, 'gvmap', 'truncate', 'O2', 'O1', 0.6475007223345853, 0.1607818603515625]
['CO', 97, 'UO', 64, 'uniq', 'diff', 'O3', 'O3', 0.4355555555555555, 0.12818598747253418]
['CO', 329, 'BO', 70, 'stdbuf', 'diff', 'O0', 'O3', 0.45788964181994185, 0.1440567970275879]
['BO', 24, 'UO', 31, 'cluster', 'c++filt', 'O3', 'O2', 0.588371375694016, 2.143314838409424]
['CO', 195, 'BO', 17, 'comm', 'codeblocks', 'O1', 'O2', 0.9630273919252239, 17.490986347198486]
['UO', 85, 'BO', 24, 'locate', 'cluster', 'O0', 'O3', 0.162375197057278, 0.4481630325317383]
['CO', 120, 'UO', 61, 'dirname', 'find', 'O1', 'O3', 0.8004021202705173, 0.43137431144714355]
['CO', 243, 'BO', 41, 'base32', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9431560248692391, 7.640442848205566]
['CO', 271, 'BO', 36, 'logname', 'cluster', 'O2', 'O2', 0.7081736909323116, 0.14629793167114258]
['CO', 367, 'BO', 7, 'cp', 'sort', 'O0', 'O0', 0.09169400794336036, 0.5313384532928467]
['CO', 173, 'BO', 33, 'who', 'sort', 'O1', 'O2', 0.4107669616519174, 0.13673901557922363]
['CO', 322, 'UO', 60, 'users', 'xargs', 'O0', 'O3', 0.3118492811105602, 0.09468340873718262]
['UO', 7, 'CO', 341, 'ranlib', 'nproc', 'O1', 'O0', 0.8854115729421352, 1.518934726715088]
['CO', 273, 'BO', 73, 'false', 'cluster', 'O2', 'O1', 0.7317765856737141, 0.14759206771850586]
['UO', 67, 'CO', 102, 'strip', 'mknod', 'O0', 'O3', 0.9320747178104085, 3.544265031814575]
['BO', 20, 'UO', 46, 'sort', 'readelf', 'O1', 'O3', 0.4934652962821977, 0.6135003566741943]
['UO', 73, 'BO', 59, 'objcopy', 'libgeany.so.0.0.0', 'O0', 'O3', 0.5315332783944932, 180.74420762062073]
['UO', 73, 'CO', 295, 'objcopy', 'id', 'O0', 'O2', 0.9346836709177294, 3.611753463745117]
['UO', 51, 'CO', 263, 'objcopy', 'cp', 'O3', 'O2', 0.7331575660861722, 1.7334461212158203]
['CO', 285, 'BO', 42, 'env', 'cmp', 'O2', 'O1', 0.1996879875195008, 0.0363306999206543]
['UO', 75, 'BO', 47, 'gprof', 'libvlc.so.12.0.0', 'O0', 'O0', 0.53108507022095, 5.827270746231079]
['BO', 26, 'CO', 50, 'gvmap', 'dircolors', 'O3', 'O3', 0.5934188510875628, 0.1478593349456787]
['CO', 49, 'UO', 58, 'nice', 'objdump', 'O3', 'O3', 0.9295635497181379, 2.226835250854492]
['UO', 87, 'BO', 0, 'find', 'codeblocks', 'O0', 'O1', 0.6936034498248136, 46.51931309700012]
['CO', 413, 'BO', 28, 'rmdir', 'ruby', 'O0', 'O0', 0.9783257801961289, 20.354654550552368]
['UO', 55, 'CO', 288, 'ar', 'uname', 'O3', 'O2', 0.9172267421294659, 1.1004102230072021]
['BO', 28, 'CO', 301, 'ruby', 'nl', 'O0', 'O2', 0.9819305464870857, 17.795884132385254]
['UO', 65, 'CO', 270, 'sdiff', 'printf', 'O3', 'O2', 0.21194029850746265, 0.049295902252197266]
['CO', 160, 'BO', 32, 'cut', 'ruby', 'O1', 'O2', 0.9754119267459063, 22.987147092819214]
['UO', 64, 'CO', 116, 'diff', 'ptx', 'O3', 'O1', 0.33985765124555156, 0.14952898025512695]
['BO', 32, 'CO', 173, 'ruby', 'who', 'O2', 'O1', 0.972761853009102, 20.680728673934937]
['UO', 14, 'BO', 70, 'ar', 'diff', 'O1', 'O3', 0.6738029798929553, 1.992063045501709]
['BO', 34, 'CO', 290, 'cp', 'shuf', 'O2', 'O2', 0.3523478260869566, 0.1401078701019287]
['UO', 23, 'CO', 186, 'cmp', 'shuf', 'O2', 'O1', 0.19271120927664276, 0.06954813003540039]
['UO', 65, 'CO', 140, 'sdiff', 'pinky', 'O3', 'O1', 0.15974985787379192, 0.06117057800292969]
['CO', 301, 'BO', 35, 'nl', 'make', 'O2', 'O3', 0.7774036662925552, 0.33562731742858887]
['UO', 77, 'CO', 112, 'ar', 'dir', 'O0', 'O1', 0.7841824458625379, 3.8929615020751953]
['CO', 292, 'BO', 11, 'vdir', 'ssh', 'O2', 'O1', 0.7724089635854342, 3.54911470413208]
['UO', 28, 'CO', 148, 'readelf', 'seq', 'O2', 'O1', 0.7743034055727555, 0.33602309226989746]
['BO', 47, 'CO', 48, 'libvlc.so.12.0.0', 'ls', 'O0', 'O3', 0.4564686737184702, 1.1218316555023193]
['UO', 84, 'CO', 1, 'sdiff', 'touch', 'O0', 'O3', 0.1351118760757315, 0.09153580665588379]
['BO', 23, 'UO', 47, 'git', 'as', 'O2', 'O3', 0.5091644204851752, 16.700234174728394]
['UO', 45, 'BO', 70, 'strip', 'diff', 'O3', 'O3', 0.6939371308303347, 1.752608299255371]
['UO', 59, 'CO', 398, 'locate', 'timeout', 'O3', 'O0', 0.3868949621336846, 0.17201900482177734]
['CO', 30, 'UO', 5, 'expand', 'readelf', 'O3', 'O1', 0.7909240676950726, 0.4126131534576416]
['CO', 304, 'UO', 27, 'fold', 'strip', 'O2', 'O2', 0.9179138321995465, 1.6764411926269531]
['BO', 48, 'CO', 233, 'libvlccore.so.9.0.0', 'chgrp', 'O0', 'O2', 0.9359963030355544, 15.020297765731812]
['BO', 34, 'CO', 229, 'cp', 'mktemp', 'O2', 'O2', 0.45108289768483945, 0.11906957626342773]
['CO', 276, 'UO', 45, 'yes', 'strip', 'O2', 'O3', 0.9281020487050637, 1.436997890472412]
['CO', 216, 'BO', 35, 'dir', 'make', 'O2', 'O3', 0.41799731383375616, 0.5074665546417236]
['UO', 86, 'CO', 272, 'xargs', 'tty', 'O0', 'O2', 0.5628571428571428, 0.10425853729248047]
['UO', 61, 'CO', 28, 'find', 'factor', 'O3', 'O3', 0.6599899006901195, 0.41139864921569824]
['CO', 264, 'BO', 80, 'cut', 'ssh', 'O2', 'O3', 0.9196337741607324, 2.005625009536743]
['CO', 291, 'BO', 24, 'csplit', 'cluster', 'O2', 'O3', 0.5083168875105724, 0.17505455017089844]
['BO', 52, 'CO', 115, 'svn', 'groups', 'O3', 'O1', 0.7965779467680608, 0.6057910919189453]
['CO', 311, 'UO', 33, 'ln', 'objcopy', 'O2', 'O2', 0.817621776504298, 2.1170520782470703]
['UO', 32, 'CO', 78, 'strings', 'chcon', 'O2', 'O3', 0.7929606625258799, 1.307008981704712]
['CO', 212, 'BO', 25, 'test', 'dot', 'O2', 'O3', 0.5138888888888888, 0.018940210342407227]
['BO', 81, 'CO', 285, 'sort', 'env', 'O3', 'O2', 0.6096640241600604, 0.0993356704711914]
['CO', 69, 'BO', 42, 'who', 'cmp', 'O3', 'O1', 0.11345319280843147, 0.046323299407958984]
['UO', 64, 'CO', 157, 'diff', 'chmod', 'O3', 'O1', 0.351270553064275, 0.1504836082458496]
['UO', 41, 'CO', 73, 'locate', 'hostid', 'O2', 'O3', 0.5997150997150997, 0.1306321620941162]
['BO', 59, 'CO', 300, 'libgeany.so.0.0.0', 'sha512sum', 'O3', 'O2', 0.979972732828734, 35.44064974784851]
['BO', 60, 'CO', 158, 'openssl', 'true', 'O0', 'O1', 0.9590909090909091, 12.192515134811401]
['CO', 415, 'UO', 49, 'ln', 'c++filt', 'O0', 'O3', 0.7248241550866358, 1.7045338153839111]
['BO', 16, 'CO', 56, 'make', 'cut', 'O0', 'O3', 0.7434244018326829, 0.32117366790771484]
['CO', 392, 'UO', 42, 'uname', 'xargs', 'O0', 'O2', 0.35336787564766836, 0.0908041000366211]
['UO', 13, 'CO', 319, 'addr2line', 'fmt', 'O1', 'O0', 0.8615332081270275, 1.4633572101593018]
['BO', 74, 'CO', 148, 'dot', 'seq', 'O1', 'O1', 0.5387840670859538, 0.023464441299438477]
['CO', 396, 'UO', 32, 'vdir', 'strings', 'O0', 'O2', 0.5753165036767492, 2.4722177982330322]
['BO', 31, 'CO', 110, 'bash', 'mkdir', 'O2', 'O1', 0.9311749134595806, 3.7751333713531494]
