['UV', 57, 'CV', 79, 'strings', 'fold', 'V1', 'V2', 0.9041499330655958, 1.2067885398864746]
['CV', 330, 'BV', 23, 'csplit', 'diff', 'V1', 'V3', 0.2351182386518076, 0.16565322875976562]
['BV', 20, 'UV', 76, 'sort', 'as', 'V1', 'V0', 0.869878670652365, 2.600951671600342]
['BV', 51, 'CV', 69, 'cp', 'csplit', 'V0', 'V2', 0.16969696969696968, 0.09014105796813965]
['CV', 146, 'UV', 22, 'head', 'nm', 'V3', 'V3', 0.8591893780573026, 1.404773473739624]
['CV', 269, 'BV', 57, 'du', 'svn', 'V1', 'V2', 0.6364240611498837, 0.681023120880127]
['CV', 338, 'BV', 75, 'nl', 'cmp', 'V1', 'V2', 0.23682864450127883, 0.05139660835266113]
['BV', 29, 'CV', 248, 'perl', 'pathchk', 'V3', 'V0', 0.9725429909549176, 3.0679824352264404]
['CV', 331, 'UV', 9, 'vdir', 'readelf', 'V1', 'V2', 0.46039503156180006, 0.23282957077026367]
['CV', 68, 'BV', 40, 'cat', 'lua', 'V2', 'V2', 0.762114537444934, 0.5217533111572266]
['UV', 15, 'CV', 281, 'ld', 'tee', 'V2', 'V1', 0.9465681748230225, 2.000152111053467]
['BV', 41, 'CV', 76, 'libvlccore.so', 'comm', 'V1', 'V2', 0.9356706336442586, 3.4389522075653076]
['CV', 115, 'UV', 7, 'chown', 'nm', 'V3', 'V2', 0.795101701951017, 1.602628231048584]
['CV', 185, 'UV', 25, 'printenv', 'as', 'V0', 'V3', 0.9604215456674473, 2.2465832233428955]
['CV', 275, 'UV', 47, 'dirname', 'sdiff', 'V1', 'V1', 0.44946236559139785, 0.035188913345336914]
['UV', 61, 'CV', 177, 'addr2line', 'test', 'V1', 'V0', 0.9194907656446119, 1.1301195621490479]
['CV', 341, 'UV', 62, 'uniq', 'ar', 'V1', 'V1', 0.9071056610112548, 1.3983302116394043]
['BV', 42, 'CV', 222, 'libvlc.so', 'df', 'V1', 'V0', 0.7019591496456857, 0.3399381637573242]
