['CO', 284, 'BO', 73, 'md5sum', 'cluster', 'O2', 'O1', 0.6338195891634415, 0.16645121574401855]
['CO', 180, 'BO', 12, 'md5sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9003671399988344, 41.56250882148743]
['CO', 247, 'BO', 26, 'paste', 'gvmap', 'O2', 'O3', 0.685486254803429, 0.15107965469360352]
['BO', 21, 'CO', 248, 'cp', 'sync', 'O1', 'O2', 0.607625099285147, 0.11008143424987793]
['BO', 68, 'CO', 193, 'git', 'pathchk', 'O3', 'O1', 0.9775135389686838, 8.47352910041809]
['BO', 71, 'CO', 45, 'libSDL2-2.0.so.0.16.0', 'split', 'O0', 'O3', 0.9104428151277909, 8.827571392059326]
['CO', 150, 'UO', 66, 'whoami', 'nm', 'O1', 'O0', 0.9347191404881466, 3.2089171409606934]
['CO', 291, 'UO', 40, 'csplit', 'objdump', 'O2', 'O2', 0.8995418098510882, 2.6953887939453125]
['BO', 35, 'UO', 29, 'make', 'as', 'O3', 'O2', 0.5606941795003024, 4.67344856262207]
['CO', 37, 'BO', 18, 'truncate', 'libvlc.so.12.0.0', 'O3', 'O1', 0.7531865585168018, 0.5952205657958984]
['BO', 2, 'CO', 205, 'perl', 'rmdir', 'O1', 'O1', 0.9652559600813159, 3.2057225704193115]
['BO', 30, 'CO', 214, 'libvlccore.so.9.0.0', 'mkdir', 'O2', 'O2', 0.9399267982176958, 6.112475156784058]
['UO', 3, 'CO', 112, 'nm', 'dir', 'O1', 'O1', 0.6848659731186878, 1.9275648593902588]
['CO', 76, 'UO', 9, 'md5sum', 'strings', 'O3', 'O1', 0.8697337813388473, 1.5518608093261719]
['UO', 74, 'BO', 21, 'ld', 'cp', 'O0', 'O1', 0.8405043341213554, 6.084449052810669]
['CO', 340, 'UO', 8, 'factor', 'c++filt', 'O0', 'O1', 0.7652952287098629, 2.0076723098754883]
['BO', 17, 'CO', 388, 'codeblocks', 'md5sum', 'O2', 'O0', 0.9550579230450972, 14.333436250686646]
['CO', 190, 'UO', 65, 'timeout', 'sdiff', 'O1', 'O3', 0.13105726872246692, 0.06393980979919434]
['BO', 47, 'CO', 350, 'libvlc.so.12.0.0', 'sha1sum', 'O0', 'O0', 0.7182085648904871, 0.8239870071411133]
['CO', 250, 'UO', 74, 'sum', 'ld', 'O2', 'O0', 0.9469823274424808, 5.9255592823028564]
['CO', 364, 'BO', 7, 'sha256sum', 'sort', 'O0', 'O0', 0.4939351198871651, 0.2550063133239746]
['UO', 29, 'CO', 310, 'as', 'mknod', 'O2', 'O2', 0.9388535031847134, 2.195460319519043]
['UO', 36, 'CO', 231, 'addr2line', 'pr', 'O2', 'O2', 0.820385386694568, 1.3064091205596924]
['BO', 8, 'CO', 328, 'cp', 'dirname', 'O0', 'O0', 0.6674609478422028, 0.2416529655456543]
['UO', 10, 'CO', 18, 'objcopy', 'uptime', 'O1', 'O3', 0.878249659815226, 1.7743446826934814]
['CO', 173, 'BO', 12, 'who', 'libgeany.so.0.0.0', 'O1', 'O0', 0.8970873409866584, 42.31313514709473]
['CO', 235, 'UO', 85, 'wc', 'locate', 'O2', 'O0', 0.6158940397350994, 0.28111743927001953]
['UO', 47, 'CO', 245, 'as', 'truncate', 'O3', 'O2', 0.9380358304262993, 1.8921098709106445]
['CO', 266, 'BO', 72, 'df', 'make', 'O2', 'O2', 0.5549009981999673, 0.427229642868042]
['CO', 280, 'BO', 44, 'head', 'cmp', 'O2', 'O2', 0.09116214335421013, 0.039832353591918945]
['UO', 71, 'CO', 353, 'c++filt', 'echo', 'O0', 'O0', 0.927248835264604, 2.8023128509521484]
['BO', 0, 'CO', 77, 'codeblocks', 'env', 'O1', 'O3', 0.9661043464657263, 13.9379563331604]
['UO', 2, 'CO', 391, 'find', 'link', 'O1', 'O0', 0.7912514777909136, 0.4906351566314697]
['CO', 365, 'BO', 17, 'chmod', 'codeblocks', 'O0', 'O2', 0.931779855894527, 21.485435247421265]
['UO', 80, 'CO', 155, 'objdump', 'realpath', 'O0', 'O1', 0.9363915819342634, 5.196860313415527]
['UO', 11, 'BO', 52, 'ld', 'svn', 'O1', 'O3', 0.48895899053627767, 4.896477937698364]
['CO', 35, 'BO', 45, 'base32', 'diff', 'O3', 'O2', 0.5151933701657458, 0.20891666412353516]
['UO', 57, 'CO', 86, 'size', 'timeout', 'O3', 'O3', 0.8501221830029867, 1.084975242614746]
['CO', 319, 'UO', 71, 'fmt', 'c++filt', 'O0', 'O0', 0.9042728989612843, 3.219297170639038]
['CO', 239, 'UO', 71, 'date', 'c++filt', 'O2', 'O0', 0.8805222053852431, 3.3121256828308105]
['UO', 23, 'CO', 253, 'cmp', 'split', 'O2', 'O2', 0.11529126213592233, 0.05162954330444336]
['CO', 54, 'BO', 39, 'true', 'codeblocks', 'O3', 'O3', 0.9717947398219157, 15.361686706542969]
['UO', 46, 'CO', 411, 'readelf', 'sort', 'O3', 'O0', 0.37941592086669806, 0.6286447048187256]
['CO', 310, 'BO', 62, 'mknod', 'bash', 'O2', 'O1', 0.955583596214511, 3.9309821128845215]
['CO', 278, 'UO', 35, 'b2sum', 'gprof', 'O2', 'O2', 0.8734744707347447, 1.5042245388031006]
['CO', 312, 'BO', 64, 'sha384sum', 'dot', 'O0', 'O0', 0.6078083407275954, 0.03401923179626465]
['BO', 58, 'CO', 407, 'svn', 'sha224sum', 'O1', 'O0', 0.7208726597555315, 0.7008261680603027]
['UO', 80, 'CO', 415, 'objdump', 'ln', 'O0', 'O0', 0.8774215734973826, 5.965927600860596]
['CO', 55, 'BO', 27, 'cp', 'perl', 'O3', 'O3', 0.8836632267523825, 5.033512830734253]
['UO', 52, 'CO', 157, 'ld', 'chmod', 'O3', 'O1', 0.8728858196289577, 2.280006170272827]
['UO', 77, 'BO', 75, 'ar', 'gvmap', 'O0', 'O1', 0.7081286960008019, 3.824948310852051]
['CO', 50, 'UO', 35, 'dircolors', 'gprof', 'O3', 'O2', 0.8776834747878183, 1.4828650951385498]
['BO', 35, 'UO', 34, 'make', 'ld', 'O3', 'O2', 0.5466103727870268, 5.42580246925354]
['CO', 224, 'BO', 61, 'dirname', 'git', 'O2', 'O1', 0.9819469026548673, 9.103067874908447]
['CO', 67, 'UO', 60, 'nohup', 'xargs', 'O3', 'O3', 0.33532934131736525, 0.08065176010131836]
['CO', 280, 'BO', 22, 'head', 'perl', 'O2', 'O0', 0.9575420383551425, 5.7602434158325195]
['BO', 48, 'CO', 165, 'libvlccore.so.9.0.0', 'cksum', 'O0', 'O1', 0.9653433413475635, 14.60623550415039]
['UO', 26, 'CO', 258, 'nm', 'dircolors', 'O2', 'O2', 0.8903890566708119, 1.2587733268737793]
['CO', 62, 'UO', 34, 'printf', 'ld', 'O3', 'O2', 0.9049422906185262, 2.7289862632751465]
['BO', 22, 'CO', 221, 'perl', 'printenv', 'O0', 'O2', 0.972563267351541, 4.779697895050049]
['CO', 415, 'UO', 74, 'ln', 'ld', 'O0', 'O0', 0.871474358974359, 7.7287681102752686]
['CO', 22, 'UO', 70, 'pwd', 'ranlib', 'O3', 'O0', 0.9200315368587036, 3.4339993000030518]
