['UO', 15, 'CO', 411, 'elfedit', 'sort', 'O1', 'O0', 0.5583651867097912, 0.22956085205078125]
['CO', 329, 'UO', 11, 'stdbuf', 'ld', 'O0', 'O1', 0.9032258064516129, 3.2248306274414062]
['UO', 80, 'CO', 339, 'objdump', 'wc', 'O0', 'O0', 0.9236551562132957, 5.8516526222229]
['CO', 342, 'UO', 86, 'expand', 'xargs', 'O0', 'O0', 0.3609614587650227, 0.14149093627929688]
['CO', 66, 'UO', 0, 'runcon', 'locate', 'O3', 'O1', 0.6177498252969951, 0.14598751068115234]
['CO', 108, 'UO', 55, 'test', 'ar', 'O1', 'O3', 0.8691266488490387, 1.3254024982452393]
['UO', 3, 'CO', 137, 'nm', 'chown', 'O1', 'O1', 0.8016730285064566, 1.6486194133758545]
['CO', 18, 'BO', 41, 'uptime', 'libSDL2-2.0.so.0.16.0', 'O3', 'O2', 0.9173320350535541, 7.9998133182525635]
['CO', 174, 'BO', 29, 'b2sum', 'libvlc.so.12.0.0', 'O1', 'O2', 0.6795040390757092, 0.6916091442108154]
['CO', 42, 'UO', 22, 'sum', 'diff3', 'O3', 'O2', 0.15537383177570097, 0.04892110824584961]
['BO', 44, 'CO', 310, 'cmp', 'mknod', 'O2', 'O2', 0.18252730109204363, 0.03580951690673828]
['UO', 43, 'CO', 273, 'find', 'false', 'O2', 'O2', 0.84506273867976, 0.43850159645080566]
['UO', 48, 'BO', 12, 'ranlib', 'libgeany.so.0.0.0', 'O3', 'O0', 0.5894718046943479, 99.67369079589844]
['UO', 45, 'CO', 281, 'strip', 'hostid', 'O3', 'O2', 0.9297431135871247, 1.3083717823028564]
['UO', 8, 'CO', 266, 'c++filt', 'df', 'O1', 'O2', 0.7753551370994384, 1.5935351848602295]
['CO', 132, 'BO', 63, 'factor', 'cluster', 'O1', 'O0', 0.6055009823182711, 0.32213425636291504]
['BO', 79, 'CO', 217, 'bash', 'du', 'O3', 'O2', 0.8673307674892461, 3.9622981548309326]
['UO', 77, 'CO', 82, 'ar', 'shuf', 'O0', 'O3', 0.8849621149272717, 3.3032915592193604]
['CO', 357, 'UO', 56, 'split', 'elfedit', 'O0', 'O3', 0.290983606557377, 0.07372736930847168]
['CO', 120, 'BO', 47, 'dirname', 'libvlc.so.12.0.0', 'O1', 'O0', 0.81139896373057, 0.8633849620819092]
['BO', 40, 'CO', 125, 'lua', 'mktemp', 'O0', 'O1', 0.8355282999899467, 0.9805247783660889]
['CO', 383, 'UO', 52, 'readlink', 'ld', 'O0', 'O3', 0.8924896510940272, 2.7969958782196045]
['CO', 104, 'UO', 35, 'sha384sum', 'gprof', 'O1', 'O2', 0.8789342214820982, 1.6009552478790283]
['CO', 379, 'BO', 10, 'nohup', 'openssl', 'O0', 'O3', 0.938366718027735, 12.721718788146973]
['CO', 160, 'BO', 60, 'cut', 'openssl', 'O1', 'O0', 0.9437813459818825, 14.953407287597656]
['UO', 65, 'CO', 95, 'sdiff', 'sha224sum', 'O3', 'O3', 0.19206798866855523, 0.05066418647766113]
