['BO', 57, 'UO', 67, 'libvlccore.so.9.0.0', 'strip', 'O3', 'O0', 0.14801361569917526, 18.176732063293457]
['CO', 212, 'UO', 2, 'test', 'find', 'O2', 'O1', 0.7848846995455311, 0.5411453247070312]
['CO', 351, 'UO', 57, 'paste', 'size', 'O0', 'O3', 0.8656443957648777, 1.2233638763427734]
['UO', 25, 'CO', 215, 'sdiff', 'fmt', 'O2', 'O2', 0.2488860598345003, 0.04896664619445801]
['UO', 35, 'BO', 59, 'gprof', 'libgeany.so.0.0.0', 'O2', 'O3', 0.697060048081443, 134.938161611557]
['UO', 70, 'CO', 52, 'ranlib', 'sha256sum', 'O0', 'O3', 0.9151780698797888, 3.0720598697662354]
['UO', 26, 'CO', 335, 'nm', 'pr', 'O2', 'O0', 0.7746831220813876, 1.4846091270446777]
['BO', 67, 'CO', 195, 'libSDL2-2.0.so.0.16.0', 'comm', 'O1', 'O1', 0.9313768011180185, 6.964154481887817]
['CO', 32, 'BO', 15, 'expr', 'diff', 'O3', 'O0', 0.5137872819358469, 0.21565628051757812]
['CO', 27, 'UO', 15, 'wc', 'elfedit', 'O3', 'O1', 0.14844227244960295, 0.046672821044921875]
['UO', 68, 'CO', 104, 'readelf', 'sha384sum', 'O0', 'O1', 0.8407622385280911, 0.7010376453399658]
['BO', 65, 'UO', 25, 'gvmap', 'sdiff', 'O0', 'O2', 0.6278525453481568, 0.2803170680999756]
['CO', 120, 'BO', 15, 'dirname', 'diff', 'O1', 'O0', 0.6608910891089109, 0.20509934425354004]
['CO', 192, 'BO', 8, 'shred', 'cp', 'O1', 'O0', 0.4920634920634921, 0.3249061107635498]
['BO', 78, 'CO', 80, 'ssh', 'uname', 'O0', 'O3', 0.9404894891845232, 2.615962028503418]
['CO', 216, 'BO', 12, 'dir', 'libgeany.so.0.0.0', 'O2', 'O0', 0.855774337961909, 49.2918655872345]
['CO', 292, 'BO', 52, 'vdir', 'svn', 'O2', 'O3', 0.505249343832021, 0.9688858985900879]
