['UV', 61, 'CV', 116, 'addr2line', 'tail', 'V1', 'V3', 0.7993956689608863, 1.2145752906799316]
['UV', 63, 'CV', 230, 'elfedit', 'yes', 'V1', 'V0', 0.3248031496062992, 0.020760059356689453]
['BV', 14, 'CV', 193, 'openssl', 'pr', 'V3', 'V0', 0.9196331976714234, 6.862108469009399]
['CV', 253, 'UV', 40, 'fold', 'diff3', 'V0', 'V3', 0.433103448275862, 0.03371715545654297]
['UV', 53, 'CV', 62, 'readelf', 'unexpand', 'V1', 'V2', 0.7052810902896082, 0.09772872924804688]
['BV', 76, 'CV', 344, 'diff', 'tac', 'V2', 'V1', 0.29357266936884774, 0.12755131721496582]
['CV', 75, 'UV', 52, 'tr', 'strip', 'V2', 'V1', 0.9065239903348291, 1.6893031597137451]
['CV', 59, 'BV', 25, 'head', 'git', 'V2', 'V3', 0.9796971622522201, 12.28858995437622]
['UV', 73, 'CV', 248, 'nm', 'pathchk', 'V0', 'V0', 0.9285514931621546, 0.977968692779541]
['UV', 40, 'CV', 57, 'diff3', 'who', 'V3', 'V2', 0.16919617762788086, 0.04563140869140625]
['CV', 298, 'BV', 51, 'seq', 'cp', 'V1', 'V0', 0.44270833333333326, 0.03948187828063965]
['UV', 65, 'CV', 77, 'objdump', 'nl', 'V1', 'V2', 0.8397025659779362, 1.8996660709381104]
['UV', 54, 'CV', 327, 'as', 'link', 'V1', 'V1', 0.9571294338736199, 1.8640356063842773]
['CV', 313, 'BV', 23, 'logname', 'diff', 'V1', 'V3', 0.7224552039649257, 0.09223628044128418]
['BV', 37, 'CV', 229, 'geany', 'nohup', 'V1', 'V0', 0.9828486204325131, 23.82686185836792]
['BV', 3, 'CV', 57, 'diff', 'who', 'V1', 'V2', 0.44150943396226416, 0.08623099327087402]
['UV', 20, 'BV', 43, 'size', 'lua', 'V2', 'V0', 0.3204303734850359, 2.2518646717071533]
['BV', 73, 'UV', 76, 'geany', 'as', 'V0', 'V0', 0.46846139715092106, 32.89700698852539]
['UV', 74, 'CV', 121, 'strip', 'echo', 'V0', 'V3', 0.9177448500180702, 1.3781044483184814]
['UV', 5, 'CV', 105, 'diff', 'pwd', 'V2', 'V3', 0.5182034705682205, 0.1053931713104248]
['UV', 31, 'CV', 183, 'gprof', 'users', 'V3', 'V0', 0.9254266211604095, 1.1596577167510986]
['CV', 306, 'BV', 41, 'cp', 'libvlccore.so', 'V1', 'V1', 0.8829848255723002, 4.199142932891846]
['CV', 172, 'UV', 71, 'mknod', 'xargs', 'V3', 'V0', 0.12383900928792568, 0.030007362365722656]
['UV', 65, 'CV', 227, 'objdump', 'tty', 'V1', 'V0', 0.9546690843155031, 1.7025930881500244]
['UV', 54, 'CV', 222, 'as', 'df', 'V1', 'V0', 0.9176017032050175, 2.0118210315704346]
['CV', 251, 'UV', 23, 'nl', 'strip', 'V0', 'V3', 0.8273080800806568, 1.7904479503631592]
['UV', 70, 'CV', 165, 'locate', 'rm', 'V0', 'V3', 0.14947368421052631, 0.09838151931762695]
['CV', 299, 'UV', 5, 'split', 'diff', 'V1', 'V2', 0.6175616835994194, 0.10279059410095215]
['CV', 18, 'UV', 33, 'pwd', 'ar', 'V2', 'V3', 0.9000342348510784, 1.334684133529663]
['UV', 17, 'CV', 154, 'addr2line', 'uname', 'V2', 'V3', 0.895197286198893, 1.1058909893035889]
['CV', 297, 'UV', 23, 'chroot', 'strip', 'V1', 'V3', 0.9421354764638347, 1.4697182178497314]
['BV', 12, 'CV', 331, 'sort', 'vdir', 'V2', 'V1', 0.08955223880597019, 0.1210482120513916]
