['UO', 46, 'CO', 410, 'readelf', 'sleep', 'O3', 'O0', 0.7950291500460264, 0.3095097541809082]
['UO', 79, 'CO', 297, 'size', 'pathchk', 'O0', 'O2', 0.9417533432392273, 2.7770800590515137]
['UO', 14, 'CO', 283, 'ar', 'mv', 'O1', 'O2', 0.6715987008300253, 1.9560017585754395]
['UO', 45, 'CO', 116, 'strip', 'ptx', 'O3', 'O1', 0.8361186777589634, 1.4927997589111328]
['CO', 6, 'UO', 0, 'mkdir', 'locate', 'O3', 'O1', 0.44931163954943676, 0.1731867790222168]
['UO', 15, 'CO', 414, 'elfedit', 'mknod', 'O1', 'O0', 0.38518824989656597, 0.12364578247070312]
['CO', 42, 'BO', 36, 'sum', 'cluster', 'O3', 'O2', 0.5510558287532543, 0.16781353950500488]
['UO', 0, 'BO', 78, 'locate', 'ssh', 'O1', 'O0', 0.7847835224884405, 5.285862445831299]
['UO', 62, 'CO', 176, 'diff3', 'head', 'O3', 'O1', 0.16455696202531644, 0.05466580390930176]
['BO', 64, 'CO', 317, 'dot', 'basename', 'O0', 'O0', 0.5136363636363637, 0.025260448455810547]
['UO', 12, 'CO', 402, 'gprof', 'tr', 'O1', 'O0', 0.8432053001025317, 1.580152988433838]
['BO', 58, 'CO', 160, 'svn', 'cut', 'O1', 'O1', 0.7701734840044565, 0.6685822010040283]
['BO', 37, 'CO', 332, 'gvmap', 'mkfifo', 'O2', 'O0', 0.28093420166180105, 0.283158540725708]
['CO', 291, 'UO', 82, 'csplit', 'cmp', 'O2', 'O0', 0.07226890756302518, 0.06544184684753418]
['UO', 39, 'CO', 158, 'size', 'true', 'O2', 'O1', 0.9050391122430417, 1.200774908065796]
['BO', 1, 'CO', 16, 'ssh', 'dirname', 'O2', 'O3', 0.9271548436308161, 1.8037612438201904]
['CO', 372, 'BO', 36, 'base64', 'cluster', 'O0', 'O2', 0.5263607865488743, 0.1937856674194336]
['CO', 172, 'BO', 50, 'yes', 'perl', 'O1', 'O2', 0.9662734924130442, 3.724522113800049]
['CO', 342, 'BO', 2, 'expand', 'perl', 'O0', 'O1', 0.9593587955041983, 4.062428712844849]
['BO', 61, 'CO', 88, 'git', 'shred', 'O1', 'O3', 0.9551477292567948, 8.933177947998047]
['UO', 38, 'CO', 139, 'elfedit', 'base32', 'O2', 'O1', 0.12491277041172366, 0.043337345123291016]
['CO', 41, 'UO', 15, 'echo', 'elfedit', 'O3', 'O1', 0.21536144578313254, 0.03278160095214844]
['CO', 158, 'BO', 83, 'true', 'lua', 'O1', 'O2', 0.8595641646489104, 0.5362906455993652]
['CO', 354, 'UO', 31, 'sum', 'c++filt', 'O0', 'O2', 0.8455197132616488, 1.4691617488861084]
['BO', 47, 'CO', 193, 'libvlc.so.12.0.0', 'pathchk', 'O0', 'O1', 0.8049871023215821, 0.7557032108306885]
