['CO', 11, 'UO', 35, 'groups', 'gprof', 'O3', 'O2', 0.8883682008368201, 1.4062135219573975]
['UO', 19, 'CO', 396, 'cmp', 'vdir', 'O1', 'O0', 0.5709478407178912, 0.2582700252532959]
['BO', 39, 'CO', 410, 'codeblocks', 'sleep', 'O3', 'O0', 0.9657242547077839, 14.587260961532593]
['UO', 74, 'CO', 83, 'ld', 'csplit', 'O0', 'O3', 0.9168615864417908, 5.372316360473633]
['CO', 137, 'BO', 31, 'chown', 'bash', 'O1', 'O2', 0.9020496570534676, 4.891537189483643]
['UO', 68, 'CO', 278, 'readelf', 'b2sum', 'O0', 'O2', 0.8337333624263583, 0.692192792892456]
['BO', 28, 'CO', 174, 'ruby', 'b2sum', 'O0', 'O1', 0.9736889856650336, 17.770555019378662]
['CO', 409, 'BO', 24, 'uniq', 'cluster', 'O0', 'O3', 0.48706536856745486, 0.19381976127624512]
['BO', 16, 'CO', 33, 'make', 'chown', 'O0', 'O3', 0.613126079447323, 0.3701465129852295]
['CO', 42, 'BO', 6, 'sum', 'codeblocks', 'O3', 'O0', 0.9704983043937513, 43.32961177825928]
['UO', 66, 'CO', 42, 'nm', 'sum', 'O0', 'O3', 0.9097406340057637, 2.8815839290618896]
['CO', 163, 'BO', 26, 'tsort', 'gvmap', 'O1', 'O3', 0.6156241154825927, 0.1693105697631836]
['CO', 238, 'BO', 46, 'expand', 'ruby', 'O2', 'O3', 0.9823757597971838, 18.59404420852661]
['UO', 28, 'CO', 85, 'readelf', '[', 'O2', 'O3', 0.7580125747584726, 0.31093454360961914]
['BO', 7, 'CO', 373, 'sort', 'cksum', 'O0', 'O0', 0.5877403846153846, 0.20514678955078125]
['CO', 273, 'UO', 35, 'false', 'gprof', 'O2', 'O2', 0.927235459902639, 1.3553037643432617]
['CO', 232, 'UO', 74, 'tee', 'ld', 'O2', 'O0', 0.9498267729682347, 5.915484189987183]
['CO', 45, 'BO', 40, 'split', 'lua', 'O3', 'O0', 0.793913298757217, 1.1164917945861816]
['UO', 46, 'CO', 10, 'readelf', 'users', 'O3', 'O3', 0.7939914163090128, 0.28058362007141113]
['CO', 98, 'BO', 12, 'sleep', 'libgeany.so.0.0.0', 'O3', 'O0', 0.904102923430262, 39.180705308914185]
['CO', 243, 'BO', 64, 'base32', 'dot', 'O2', 'O0', 0.4575, 0.0182037353515625]
['UO', 35, 'BO', 27, 'gprof', 'perl', 'O2', 'O3', 0.4950096227006221, 10.077890872955322]
['UO', 85, 'CO', 249, 'locate', 'echo', 'O0', 'O2', 0.7435456110154905, 0.21493816375732422]
['UO', 0, 'CO', 204, 'locate', 'tac', 'O1', 'O1', 0.5164473684210527, 0.1656196117401123]
['BO', 30, 'CO', 403, 'libvlccore.so.9.0.0', 'comm', 'O2', 'O0', 0.936926559955515, 6.31243371963501]
['CO', 67, 'UO', 30, 'nohup', 'ranlib', 'O3', 'O2', 0.8832711231761113, 1.4552066326141357]
['BO', 14, 'CO', 388, 'cmp', 'md5sum', 'O0', 'O0', 0.06021384355655601, 0.07158613204956055]
['CO', 375, 'BO', 39, 'logname', 'codeblocks', 'O0', 'O3', 0.9680974030977884, 16.495447635650635]
['UO', 16, 'BO', 19, 'size', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.38344282342234737, 21.718453884124756]
['UO', 48, 'CO', 340, 'ranlib', 'factor', 'O3', 'O0', 0.7670551797212487, 1.4057366847991943]
['BO', 57, 'CO', 301, 'libvlccore.so.9.0.0', 'nl', 'O3', 'O2', 0.9524494525693279, 5.766980409622192]
['UO', 84, 'CO', 227, 'sdiff', 'dd', 'O0', 'O2', 0.10013003901170348, 0.09757518768310547]
['BO', 35, 'CO', 380, 'make', 'yes', 'O3', 'O0', 0.7645311049210771, 0.41357970237731934]
['UO', 0, 'CO', 380, 'locate', 'yes', 'O1', 'O0', 0.5697753573859768, 0.16049933433532715]
['BO', 16, 'CO', 126, 'make', 'pwd', 'O0', 'O1', 0.7696948801930702, 0.32593727111816406]
['BO', 9, 'CO', 246, 'git', 'sha1sum', 'O0', 'O2', 0.9757689819443628, 8.646568298339844]
['BO', 1, 'CO', 299, 'ssh', 'comm', 'O2', 'O2', 0.9223842739378567, 1.8468351364135742]
['CO', 27, 'BO', 5, 'wc', 'libgeany.so.0.0.0', 'O3', 'O1', 0.967168349526894, 44.182868003845215]
