['CO', 114, 'UO', 52, 'users', 'ld', 'O1', 'O3', 0.9245850372865047, 2.4297404289245605]
['CO', 40, 'UO', 47, 'sync', 'as', 'O3', 'O3', 0.925965097831835, 2.0816073417663574]
['UO', 45, 'CO', 249, 'strip', 'echo', 'O3', 'O2', 0.9307888828675389, 1.2870030403137207]
['BO', 63, 'UO', 52, 'cluster', 'ld', 'O0', 'O3', 0.5935866155454862, 4.498804807662964]
['BO', 56, 'CO', 107, 'libvlc.so.12.0.0', 'unlink', 'O3', 'O1', 0.790102060466012, 0.5064742565155029]
['BO', 55, 'CO', 175, 'make', 'readlink', 'O1', 'O1', 0.7101013894104393, 0.30187559127807617]
['UO', 87, 'CO', 81, 'find', 'cat', 'O0', 'O3', 0.8199014253363527, 0.7659213542938232]
['BO', 51, 'CO', 55, 'lua', 'cp', 'O1', 'O3', 0.5647435897435897, 0.7608363628387451]
['CO', 6, 'UO', 18, 'mkdir', 'diff3', 'O3', 'O1', 0.14909090909090905, 0.06309318542480469]
['CO', 268, 'UO', 0, 'base64', 'locate', 'O2', 'O1', 0.6, 0.15923786163330078]
['BO', 36, 'CO', 197, 'cluster', 'nl', 'O2', 'O1', 0.5897892549718017, 0.16052746772766113]
['CO', 238, 'BO', 12, 'expand', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9054009309935143, 40.44250273704529]
['CO', 70, 'BO', 24, 'b2sum', 'cluster', 'O3', 'O3', 0.49538977367979875, 0.16299772262573242]
['UO', 78, 'CO', 184, 'elfedit', 'uname', 'O0', 'O1', 0.20145454545454544, 0.04229736328125]
['CO', 333, 'UO', 48, 'mktemp', 'ranlib', 'O0', 'O3', 0.8393144990243488, 1.5509138107299805]
['BO', 34, 'CO', 81, 'cp', 'cat', 'O2', 'O3', 0.4887790034233549, 0.1052103042602539]
['CO', 40, 'UO', 70, 'sync', 'ranlib', 'O3', 'O0', 0.9287209368105448, 3.360961675643921]
['BO', 72, 'UO', 18, 'make', 'diff3', 'O2', 'O1', 0.642807745504841, 0.3317732810974121]
