['BO', 17, 'CO', 312, 'codeblocks', 'sha384sum', 'O2', 'O0', 0.9533405673538986, 14.432634830474854]
['CO', 399, 'UO', 33, 'id', 'objcopy', 'O0', 'O2', 0.8679328621908127, 1.880493402481079]
['CO', 300, 'UO', 57, 'sha512sum', 'size', 'O2', 'O3', 0.8823096049359977, 1.161029577255249]
['CO', 88, 'UO', 5, 'shred', 'readelf', 'O3', 'O1', 0.6769489624228828, 0.5044515132904053]
['CO', 194, 'UO', 33, 'tr', 'objcopy', 'O1', 'O2', 0.8871039714413208, 1.7529895305633545]
['UO', 16, 'CO', 113, 'size', 'du', 'O1', 'O1', 0.712, 1.74861478805542]
['CO', 374, 'BO', 59, 'printf', 'libgeany.so.0.0.0', 'O0', 'O3', 0.9738790813935323, 40.64261484146118]
['BO', 52, 'CO', 108, 'svn', 'test', 'O3', 'O1', 0.7638824078394774, 0.6254656314849854]
['CO', 229, 'UO', 9, 'mktemp', 'strings', 'O2', 'O1', 0.8731227343345417, 1.626488208770752]
['BO', 10, 'CO', 95, 'openssl', 'sha224sum', 'O3', 'O3', 0.9354673276635753, 9.99074101448059]
['UO', 31, 'CO', 63, 'c++filt', 'logname', 'O2', 'O3', 0.8938850574712643, 1.1417016983032227]
['BO', 83, 'UO', 48, 'lua', 'ranlib', 'O2', 'O3', 0.2276926543488058, 3.3564870357513428]
['BO', 80, 'CO', 85, 'ssh', '[', 'O3', 'O3', 0.9006672541860757, 1.6722333431243896]
['CO', 189, 'BO', 7, '[', 'sort', 'O1', 'O0', 0.5311503911909592, 0.2317211627960205]
['CO', 158, 'BO', 5, 'true', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9783497253799974, 41.50099754333496]
['CO', 383, 'UO', 54, 'readlink', 'addr2line', 'O0', 'O3', 0.8362752161383286, 1.4587926864624023]
['BO', 9, 'CO', 397, 'git', '[', 'O0', 'O0', 0.9646379975827518, 8.84134817123413]
['CO', 115, 'BO', 9, 'groups', 'git', 'O1', 'O0', 0.9748398095350067, 9.63760781288147]
['UO', 83, 'CO', 163, 'diff', 'tsort', 'O0', 'O1', 0.5947712418300654, 0.19972586631774902]
['CO', 69, 'BO', 28, 'who', 'ruby', 'O3', 'O0', 0.9743457873241567, 20.029608011245728]
['BO', 2, 'CO', 249, 'perl', 'echo', 'O1', 'O2', 0.9762650666383476, 3.122586250305176]
['BO', 71, 'UO', 60, 'libSDL2-2.0.so.0.16.0', 'xargs', 'O0', 'O3', 0.8927017486249077, 9.38217806816101]
['CO', 235, 'UO', 23, 'wc', 'cmp', 'O2', 'O2', 0.09127516778523492, 0.09962821006774902]
['CO', 113, 'UO', 20, 'du', 'diff', 'O1', 'O1', 0.12518265952264973, 0.2999284267425537]
['BO', 1, 'CO', 173, 'ssh', 'who', 'O2', 'O1', 0.8994987468671679, 1.8997421264648438]
['CO', 95, 'UO', 74, 'sha224sum', 'ld', 'O3', 'O0', 0.9373729832856372, 5.908807754516602]
['UO', 19, 'CO', 387, 'cmp', 'mv', 'O1', 'O0', 0.6165413533834586, 0.2796461582183838]
['CO', 211, 'UO', 87, 'unlink', 'find', 'O2', 'O0', 0.8739010989010989, 0.8129968643188477]
['BO', 22, 'CO', 263, 'perl', 'cp', 'O0', 'O2', 0.8837675350701403, 5.666156768798828]
['BO', 4, 'UO', 84, 'libgeany.so.0.0.0', 'sdiff', 'O2', 'O0', 0.9624879718580915, 39.151806592941284]
['UO', 8, 'CO', 96, 'c++filt', 'fold', 'O1', 'O3', 0.8818173859756632, 1.33278489112854]
['BO', 1, 'CO', 36, 'ssh', 'pinky', 'O2', 'O3', 0.8995050435436376, 1.8846614360809326]
['BO', 74, 'CO', 231, 'dot', 'pr', 'O1', 'O2', 0.6414342629482072, 0.03377103805541992]
['CO', 346, 'BO', 26, 'tail', 'gvmap', 'O0', 'O3', 0.2842057964502359, 0.26248598098754883]
['CO', 12, 'UO', 19, 'ptx', 'cmp', 'O3', 'O1', 0.21118012422360244, 0.05876588821411133]
['CO', 144, 'UO', 76, 'sync', 'addr2line', 'O1', 'O0', 0.930256044674152, 3.1677727699279785]
['BO', 79, 'CO', 175, 'bash', 'readlink', 'O3', 'O1', 0.9394889481109892, 3.305962324142456]
['BO', 57, 'CO', 411, 'libvlccore.so.9.0.0', 'sort', 'O3', 'O0', 0.8049717430650464, 7.5151047706604]
['UO', 54, 'CO', 409, 'addr2line', 'uniq', 'O3', 'O0', 0.8336330935251799, 1.1491708755493164]
['CO', 44, 'UO', 57, 'seq', 'size', 'O3', 'O3', 0.8622574473899973, 1.181326150894165]
['CO', 362, 'BO', 79, 'dircolors', 'bash', 'O0', 'O3', 0.9385772485114384, 4.075028896331787]
['UO', 9, 'BO', 15, 'strings', 'diff', 'O1', 'O0', 0.6033985962319911, 2.1041152477264404]
['BO', 20, 'UO', 72, 'sort', 'strings', 'O1', 'O0', 0.7815116851841717, 4.800932884216309]
['CO', 192, 'BO', 46, 'shred', 'ruby', 'O1', 'O3', 0.9675018568202143, 21.582082986831665]
['CO', 371, 'BO', 3, 'tsort', 'openssl', 'O0', 'O1', 0.9337612323491656, 12.5579195022583]
['UO', 85, 'BO', 13, 'locate', 'ruby', 'O0', 'O1', 0.9105452939877843, 32.856969118118286]
['UO', 34, 'CO', 15, 'ld', 'join', 'O2', 'O3', 0.8856473345049795, 2.398385763168335]
['UO', 32, 'CO', 208, 'strings', 'sha384sum', 'O2', 'O2', 0.8841236739504942, 1.1885325908660889]
