['CO', 108, 'UO', 18, 'test', 'diff3', 'O1', 'O1', 0.1584821428571428, 0.0587925910949707]
['UO', 70, 'CO', 104, 'ranlib', 'sha384sum', 'O0', 'O1', 0.9181951164622483, 3.071338176727295]
['UO', 57, 'CO', 155, 'size', 'realpath', 'O3', 'O1', 0.8536319941960642, 1.1141092777252197]
['CO', 317, 'UO', 68, 'basename', 'readelf', 'O0', 'O0', 0.8551876379690949, 0.8119266033172607]
['UO', 38, 'CO', 382, 'elfedit', 'b2sum', 'O2', 'O0', 0.23298284449363582, 0.06653618812561035]
['CO', 63, 'BO', 0, 'logname', 'codeblocks', 'O3', 'O1', 0.969853709508882, 15.450584888458252]
['BO', 16, 'CO', 191, 'make', 'id', 'O0', 'O1', 0.7474042553191489, 0.33326029777526855]
['BO', 23, 'CO', 113, 'git', 'du', 'O2', 'O1', 0.9296915388592107, 9.952114582061768]
['BO', 14, 'CO', 283, 'cmp', 'mv', 'O0', 'O2', 0.4317897371714643, 0.1680140495300293]
['CO', 368, 'BO', 72, 'cut', 'make', 'O0', 'O2', 0.6901458555674137, 0.376401424407959]
['CO', 290, 'UO', 38, 'shuf', 'elfedit', 'O2', 'O2', 0.1825775656324582, 0.05376410484313965]
['UO', 21, 'CO', 314, 'sdiff', 'stat', 'O1', 'O0', 0.25760492876395835, 0.13704752922058105]
['UO', 58, 'BO', 26, 'objdump', 'gvmap', 'O3', 'O3', 0.7068531180916148, 2.7498857975006104]
['UO', 44, 'BO', 31, 'nm', 'bash', 'O3', 'O2', 0.3973068911901898, 11.102625131607056]
['BO', 15, 'CO', 200, 'diff', 'fold', 'O0', 'O1', 0.613950691521347, 0.20489287376403809]
['UO', 15, 'CO', 362, 'elfedit', 'dircolors', 'O1', 'O0', 0.15359688917692804, 0.0563962459564209]
['BO', 60, 'CO', 349, 'openssl', 'truncate', 'O0', 'O0', 0.9431014380101049, 12.662805557250977]
['CO', 287, 'UO', 75, 'link', 'gprof', 'O2', 'O0', 0.9480992488049169, 3.2807776927948]
['BO', 15, 'CO', 159, 'diff', 'cp', 'O0', 'O1', 0.16397621070518265, 0.3618745803833008]
['BO', 28, 'CO', 18, 'ruby', 'uptime', 'O0', 'O3', 0.9742860600193611, 18.187971115112305]
['BO', 58, 'CO', 230, 'svn', 'pwd', 'O1', 'O2', 0.8114006514657981, 0.6336948871612549]
