['CO', 182, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O1', 'O0', 0.8811460436496491, 47.30857300758362]
['BO', 27, 'CO', 374, 'perl', 'printf', 'O3', 'O0', 0.9511667980957388, 3.1951193809509277]
['CO', 335, 'UO', 61, 'pr', 'find', 'O0', 'O3', 0.5699713101689512, 0.5841727256774902]
['CO', 89, 'BO', 0, 'pathchk', 'codeblocks', 'O3', 'O1', 0.9649781113195748, 15.751159191131592]
['UO', 60, 'CO', 132, 'xargs', 'factor', 'O3', 'O1', 0.17211703958691915, 0.10463976860046387]
['CO', 125, 'BO', 59, 'mktemp', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9742800443770802, 42.199875593185425]
['BO', 58, 'CO', 64, 'svn', 'tty', 'O1', 'O3', 0.8132942326490714, 0.5958878993988037]
['UO', 53, 'BO', 64, 'gprof', 'dot', 'O3', 'O0', 0.9601175109053681, 1.038029432296753]
['BO', 47, 'CO', 244, 'libvlc.so.12.0.0', 'pinky', 'O0', 'O2', 0.7789081044421838, 0.7761538028717041]
['CO', 137, 'BO', 32, 'chown', 'ruby', 'O1', 'O2', 0.9588244220749659, 26.475640535354614]
['UO', 54, 'CO', 193, 'addr2line', 'pathchk', 'O3', 'O1', 0.8935735512630015, 1.0597736835479736]
['BO', 60, 'CO', 254, 'openssl', 'whoami', 'O0', 'O2', 0.9633993088281495, 12.115288496017456]
['BO', 74, 'CO', 266, 'dot', 'df', 'O1', 'O2', 0.7160883280757098, 0.04971575736999512]
['UO', 9, 'CO', 161, 'strings', 'od', 'O1', 'O1', 0.8298482293423272, 1.4623079299926758]
['CO', 271, 'BO', 26, 'logname', 'gvmap', 'O2', 'O3', 0.723179208220006, 0.1470963954925537]
['BO', 52, 'CO', 134, 'svn', 'expand', 'O3', 'O1', 0.7877975721267539, 0.6187839508056641]
['CO', 257, 'UO', 25, 'nice', 'sdiff', 'O2', 'O2', 0.3387978142076502, 0.04431962966918945]
['BO', 24, 'CO', 34, 'cluster', 'tail', 'O3', 'O3', 0.3967517401392111, 0.1780853271484375]
['CO', 261, 'UO', 78, 'chmod', 'elfedit', 'O2', 'O0', 0.1447513812154696, 0.059385061264038086]
['CO', 140, 'UO', 16, 'pinky', 'size', 'O1', 'O1', 0.8715596330275229, 1.6423327922821045]
['CO', 27, 'BO', 8, 'wc', 'cp', 'O3', 'O0', 0.5694065060839334, 0.2822577953338623]
['BO', 82, 'CO', 56, 'cp', 'cut', 'O3', 'O3', 0.46156571023733617, 0.10609841346740723]
['BO', 12, 'CO', 364, 'libgeany.so.0.0.0', 'sha256sum', 'O0', 'O0', 0.8933790086899301, 39.315138816833496]
['CO', 146, 'UO', 79, 'sum', 'size', 'O1', 'O0', 0.9143325911168405, 3.26218843460083]
['BO', 17, 'CO', 411, 'codeblocks', 'sort', 'O2', 'O0', 0.8693534429472123, 17.262442111968994]
['CO', 243, 'BO', 52, 'base32', 'svn', 'O2', 'O3', 0.8155619596541787, 0.6760900020599365]
['CO', 141, 'BO', 57, 'truncate', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.9511279696546217, 6.563005208969116]
['UO', 32, 'CO', 34, 'strings', 'tail', 'O2', 'O3', 0.7934304681438055, 1.2985484600067139]
['UO', 32, 'BO', 82, 'strings', 'cp', 'O2', 'O3', 0.6730105195535212, 1.5595214366912842]
['BO', 29, 'CO', 171, 'libvlc.so.12.0.0', 'nohup', 'O2', 'O1', 0.7506870828425599, 0.5345628261566162]
['CO', 345, 'UO', 1, 'chown', 'xargs', 'O0', 'O1', 0.10739687055476532, 0.16022014617919922]
['UO', 20, 'CO', 61, 'diff', 'cksum', 'O1', 'O3', 0.5659662418188082, 0.125899076461792]
['BO', 38, 'UO', 23, 'acyclic', 'cmp', 'O2', 'O2', 0.504950495049505, 0.02390766143798828]
['BO', 24, 'CO', 113, 'cluster', 'du', 'O3', 'O1', 0.20639147802929425, 0.27536940574645996]
['UO', 0, 'CO', 116, 'locate', 'ptx', 'O1', 'O1', 0.3503072870939421, 0.2006213665008545]
['CO', 177, 'UO', 74, 'hostid', 'ld', 'O1', 'O0', 0.9542316863991968, 5.9014129638671875]
['CO', 33, 'BO', 30, 'chown', 'libvlccore.so.9.0.0', 'O3', 'O2', 0.904126166217746, 7.671128749847412]
['UO', 12, 'CO', 392, 'gprof', 'uname', 'O1', 'O0', 0.897377608183811, 1.4959149360656738]
['CO', 357, 'UO', 11, 'split', 'ld', 'O0', 'O1', 0.8605698839959455, 3.6259605884552]
['CO', 373, 'BO', 5, 'cksum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.973183005286961, 43.08802771568298]
['UO', 65, 'CO', 142, 'sdiff', 'sha1sum', 'O3', 'O1', 0.17939814814814814, 0.05491161346435547]
['UO', 38, 'CO', 270, 'elfedit', 'printf', 'O2', 'O2', 0.12987934705464865, 0.038632869720458984]
['UO', 70, 'CO', 368, 'ranlib', 'cut', 'O0', 'O0', 0.9027793280500056, 3.202594041824341]
['CO', 332, 'UO', 38, 'mkfifo', 'elfedit', 'O0', 'O2', 0.38468085106382977, 0.10767221450805664]
['BO', 51, 'UO', 55, 'lua', 'ar', 'O1', 'O3', 0.20659425483817606, 3.5676138401031494]
['CO', 54, 'UO', 64, 'true', 'diff', 'O3', 'O3', 0.6095475596722479, 0.10672402381896973]
['UO', 14, 'CO', 291, 'ar', 'csplit', 'O1', 'O2', 0.859048537447766, 1.5296077728271484]
['BO', 23, 'CO', 368, 'git', 'cut', 'O2', 'O0', 0.966017712925754, 8.722878694534302]
['CO', 48, 'BO', 71, 'ls', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.8340614822464056, 12.32449722290039]
['BO', 6, 'UO', 56, 'codeblocks', 'elfedit', 'O0', 'O3', 0.9730211155230638, 38.0126519203186]
['BO', 73, 'CO', 40, 'cluster', 'sync', 'O1', 'O3', 0.6305959086866291, 0.1417219638824463]
['UO', 74, 'CO', 204, 'ld', 'tac', 'O0', 'O1', 0.9389008799601527, 5.4138572216033936]
['CO', 165, 'UO', 36, 'cksum', 'addr2line', 'O1', 'O2', 0.8928377153218495, 1.3469281196594238]
['CO', 289, 'UO', 56, 'cat', 'elfedit', 'O2', 'O3', 0.1891025641025641, 0.03472471237182617]
['CO', 212, 'UO', 77, 'test', 'ar', 'O2', 'O0', 0.9277149321266969, 3.375993251800537]
['BO', 75, 'CO', 151, 'gvmap', 'numfmt', 'O1', 'O1', 0.5511831959585217, 0.1816244125366211]
['CO', 309, 'BO', 63, 'rmdir', 'cluster', 'O2', 'O0', 0.7560765756076575, 0.2674894332885742]
['UO', 83, 'CO', 119, 'diff', 'join', 'O0', 'O1', 0.517670342097823, 0.21621441841125488]
['BO', 20, 'CO', 354, 'sort', 'sum', 'O1', 'O0', 0.4047701348081576, 0.15900135040283203]
['UO', 68, 'CO', 282, 'readelf', 'unexpand', 'O0', 'O2', 0.869009229400645, 0.6831459999084473]
['BO', 61, 'CO', 190, 'git', 'timeout', 'O1', 'O1', 0.968513780104303, 8.848680019378662]
['CO', 46, 'BO', 75, 'whoami', 'gvmap', 'O3', 'O1', 0.6695254431103488, 0.16060638427734375]
['CO', 172, 'UO', 51, 'yes', 'objcopy', 'O1', 'O3', 0.9141914191419142, 1.5480072498321533]
['BO', 54, 'CO', 4, 'lua', 'test', 'O3', 'O3', 0.8015777510362347, 0.42803072929382324]
