['BV', 9, 'CV', 227, 'dot', 'tty', 'V2', 'V0', 0.28695652173913044, 0.010371685028076172]
['CV', 193, 'BV', 42, 'pr', 'libvlc.so', 'V0', 'V1', 0.679144385026738, 0.4057190418243408]
['UV', 15, 'CV', 45, 'ld', 'cp', 'V2', 'V2', 0.8042907680018259, 2.4050545692443848]
['BV', 70, 'CV', 61, 'ssh', 'ginstall', 'V0', 'V2', 0.889908867158917, 4.995582342147827]
['UV', 18, 'CV', 158, 'ar', '[', 'V2', 'V3', 0.8689014271490209, 1.3172833919525146]
['CV', 276, 'BV', 74, 'uptime', 'git', 'V1', 'V1', 0.9771618833239543, 6.491635799407959]
['UV', 72, 'CV', 244, 'find', 'vdir', 'V0', 'V0', 0.3614336193841494, 0.23154187202453613]
['UV', 78, 'CV', 312, 'c++filt', 'printf', 'V0', 'V1', 0.9020369493131217, 1.0487968921661377]
['BV', 52, 'UV', 16, 'libSDL2-2.0.so', 'gprof', 'V2', 'V2', 0.28589420654911835, 10.907145500183105]
['UV', 25, 'CV', 155, 'as', 'cat', 'V3', 'V3', 0.9212761074133579, 2.280982494354248]
['CV', 71, 'BV', 63, '[', 'ruby', 'V2', 'V0', 0.9753723138430784, 13.756686925888062]
['UV', 46, 'BV', 56, 'diff', 'ssh', 'V1', 'V3', 0.696203992154148, 3.1805007457733154]
['CV', 289, 'UV', 25, 'chown', 'as', 'V1', 'V3', 0.9059653916211293, 2.6375746726989746]
['UV', 31, 'BV', 16, 'gprof', 'libvlc.so', 'V3', 'V3', 0.41371750704666455, 2.693686008453369]
['UV', 68, 'CV', 22, 'diff', 'kill', 'V0', 'V2', 0.5579119086460033, 0.0796201229095459]
['CV', 290, 'UV', 25, 'tail', 'as', 'V1', 'V3', 0.9122786978869217, 2.573253870010376]
['BV', 58, 'CV', 36, 'ruby', 'chroot', 'V3', 'V2', 0.7419354838709677, 0.011212348937988281]
['UV', 76, 'CV', 340, 'as', 'fold', 'V0', 'V1', 0.9484517192939595, 1.9044744968414307]
['CV', 193, 'UV', 35, 'pr', 'size', 'V0', 'V3', 0.8613579808034127, 1.410573959350586]
['CV', 200, 'UV', 78, 'date', 'c++filt', 'V0', 'V0', 0.879247402415052, 1.2349698543548584]
['BV', 44, 'CV', 94, 'make', 'dir', 'V0', 'V3', 0.31153908399417385, 0.39025139808654785]
['UV', 16, 'CV', 4, 'gprof', 'basename', 'V2', 'V2', 0.9184800803481754, 1.252708911895752]
['CV', 170, 'UV', 39, 'tac', 'find', 'V3', 'V3', 0.7258120852252882, 0.4591500759124756]
['UV', 72, 'CV', 313, 'find', 'logname', 'V0', 'V1', 0.7592039800995025, 0.1329212188720703]
['CV', 98, 'UV', 47, 'printenv', 'sdiff', 'V3', 'V1', 0.3103887826641173, 0.040688514709472656]
['CV', 166, 'UV', 0, 'fold', 'locate', 'V3', 'V2', 0.3310104529616724, 0.06786417961120605]
['UV', 68, 'CV', 146, 'diff', 'head', 'V0', 'V3', 0.41111520058888473, 0.09126543998718262]
['CV', 94, 'BV', 69, 'dir', 'gvmap', 'V3', 'V0', 0.128586609989373, 0.2800891399383545]
['CV', 282, 'UV', 63, 'chgrp', 'elfedit', 'V1', 'V1', 0.1428571428571428, 0.040197134017944336]
['UV', 64, 'CV', 173, 'size', 'ln', 'V1', 'V3', 0.7650443932916804, 1.416208028793335]
['CV', 132, 'BV', 78, 'cp', 'make', 'V3', 'V2', 0.3721178805924569, 0.46725940704345703]
['BV', 36, 'CV', 183, 'libvlc.so', 'users', 'V2', 'V0', 0.8289628180039139, 0.4013400077819824]
['UV', 27, 'BV', 32, 'c++filt', 'perl', 'V3', 'V0', 0.38697386438054415, 8.706233501434326]
['BV', 23, 'CV', 132, 'diff', 'cp', 'V3', 'V3', 0.08190652475705695, 0.22374653816223145]
['BV', 42, 'UV', 2, 'libvlc.so', 'find', 'V1', 'V2', 0.17093903572851643, 0.7494869232177734]
['BV', 2, 'CV', 279, 'cmp', 'pwd', 'V1', 'V1', 0.24855491329479773, 0.029173851013183594]
['CV', 203, 'BV', 16, 'tail', 'libvlc.so', 'V0', 'V3', 0.7374260355029586, 0.5293374061584473]
['CV', 108, 'BV', 52, 'chgrp', 'libSDL2-2.0.so', 'V3', 'V2', 0.8791804760470021, 6.306471109390259]
['CV', 149, 'UV', 26, 'unexpand', 'ranlib', 'V3', 'V3', 0.8792855328874968, 1.4773478507995605]
['CV', 319, 'BV', 34, 'readlink', 'svn', 'V1', 'V0', 0.8299740570744363, 0.4317591190338135]
['CV', 30, 'BV', 37, 'pinky', 'geany', 'V2', 'V1', 0.9738620824379761, 29.375722646713257]
['CV', 315, 'UV', 10, 'false', 'as', 'V1', 'V2', 0.9611605053813758, 2.259815216064453]
['CV', 303, 'BV', 9, 'dircolors', 'dot', 'V1', 'V2', 0.4094707520891365, 0.014848470687866211]
['CV', 56, 'BV', 4, 'yes', 'geany', 'V2', 'V3', 0.9840317969458197, 34.92682695388794]
['CV', 224, 'BV', 72, 'cksum', 'perl', 'V0', 'V1', 0.9753425575396161, 3.0501177310943604]
['UV', 29, 'BV', 34, 'objcopy', 'svn', 'V3', 'V0', 0.46936884771279674, 3.057901382446289]
['CV', 283, 'BV', 38, 'kill', 'ruby', 'V1', 'V2', 0.6547842401500938, 0.008168220520019531]
['UV', 87, 'CV', 89, 'objdump', 'unlink', 'V0', 'V3', 0.9220129100250296, 1.7929353713989258]
['BV', 66, 'UV', 3, 'lua', 'diff3', 'V1', 'V2', 0.7164882226980728, 0.45080113410949707]
['CV', 302, 'UV', 57, 'nice', 'strings', 'V1', 'V1', 0.9278937381404174, 1.25400710105896]
['CV', 264, 'UV', 62, 'test', 'ar', 'V1', 'V1', 0.9211439208054827, 1.3804450035095215]
['CV', 345, 'UV', 79, 'rmdir', 'strings', 'V1', 'V0', 0.9275114155251142, 1.1302275657653809]
['UV', 42, 'CV', 271, 'diff', 'ptx', 'V3', 'V1', 0.2757456387169386, 0.1360921859741211]
['BV', 60, 'CV', 41, 'codeblocks', 'nice', 'V1', 'V2', 0.972341799397331, 13.217203140258789]
['CV', 328, 'BV', 0, 'uname', 'bash', 'V1', 'V2', 0.9672411465598704, 3.308816432952881]
['CV', 330, 'BV', 18, 'csplit', 'sort', 'V1', 'V3', 0.20270270270270274, 0.14961528778076172]
['UV', 55, 'CV', 49, 'ranlib', 'tsort', 'V1', 'V2', 0.9064651553316541, 1.2646446228027344]
['CV', 187, 'BV', 10, 'join', 'gvmap', 'V0', 'V2', 0.654468085106383, 0.1660480499267578]
['CV', 307, 'UV', 32, 'cut', 'addr2line', 'V1', 'V3', 0.9078863200219318, 1.3112213611602783]
['UV', 42, 'CV', 238, 'diff', 'md5sum', 'V3', 'V0', 0.6369565217391304, 0.10234260559082031]
['UV', 31, 'CV', 249, 'gprof', 'tr', 'V3', 'V0', 0.9063952014868633, 1.2671847343444824]
['UV', 78, 'CV', 189, 'c++filt', 'uptime', 'V0', 'V0', 0.908183632734531, 1.0510835647583008]
['CV', 178, 'UV', 59, 'basename', 'ld', 'V0', 'V1', 0.955968992248062, 2.1272013187408447]
['UV', 81, 'CV', 316, 'ld', 'nohup', 'V0', 'V1', 0.939160519616163, 1.9100666046142578]
['BV', 25, 'UV', 71, 'git', 'xargs', 'V3', 'V0', 0.9810173697270471, 12.088561296463013]
['BV', 35, 'UV', 32, 'libvlccore.so', 'addr2line', 'V2', 'V3', 0.32857608341479305, 9.207751274108887]
['CV', 318, 'UV', 76, 'who', 'as', 'V1', 'V0', 0.9306463326071169, 2.240128755569458]
['CV', 122, 'UV', 76, 'sum', 'as', 'V3', 'V0', 0.9064180709931875, 2.3644659519195557]
['CV', 122, 'BV', 73, 'sum', 'geany', 'V3', 'V0', 0.9649750620652636, 23.568240642547607]
['BV', 57, 'CV', 3, 'svn', 'test', 'V2', 'V2', 0.7892824704813806, 0.46427059173583984]
['UV', 66, 'CV', 97, 'diff3', 'ptx', 'V0', 'V3', 0.11028037383177569, 0.06254053115844727]
['UV', 49, 'CV', 246, 'xargs', 'id', 'V1', 'V0', 0.27435064935064934, 0.028235673904418945]
['UV', 25, 'CV', 236, 'as', 'unexpand', 'V3', 'V0', 0.9521921641791045, 2.1372382640838623]
['UV', 59, 'CV', 317, 'ld', 'yes', 'V1', 'V1', 0.9557264215291127, 1.9551541805267334]
['BV', 59, 'CV', 97, 'make', 'ptx', 'V1', 'V3', 0.5827802690582959, 0.2988884449005127]
['CV', 3, 'BV', 29, 'test', 'perl', 'V2', 'V3', 0.9585389230059281, 3.4778106212615967]
['CV', 11, 'BV', 48, 'printenv', 'gvmap', 'V2', 'V3', 0.7356697356697357, 0.14711737632751465]
['CV', 84, 'UV', 56, 'rmdir', 'c++filt', 'V2', 'V1', 0.8922016295102516, 1.2695956230163574]
['CV', 205, 'UV', 81, 'sha1sum', 'ld', 'V0', 'V0', 0.9347401328644002, 1.9991774559020996]
['BV', 78, 'CV', 172, 'make', 'mknod', 'V2', 'V3', 0.7382888114595432, 0.25601863861083984]
['CV', 237, 'UV', 69, 'mv', 'sdiff', 'V0', 'V0', 0.132238547968885, 0.08005690574645996]
['CV', 88, 'BV', 29, 'stat', 'perl', 'V3', 'V3', 0.9119797622760508, 4.504086256027222]
['BV', 39, 'CV', 197, 'svn', 'wc', 'V1', 'V0', 0.8351668842066008, 0.45992279052734375]
['CV', 175, 'UV', 32, 'stat', 'addr2line', 'V0', 'V3', 0.9047532159474501, 1.3498849868774414]
