['BO', 72, 'CO', 287, 'make', 'link', 'O2', 'O2', 0.8248511618974458, 0.25862884521484375]
['CO', 355, 'BO', 26, 'chroot', 'gvmap', 'O0', 'O3', 0.5368874528809908, 0.18587279319763184]
['UO', 68, 'CO', 332, 'readelf', 'mkfifo', 'O0', 'O0', 0.6791208791208792, 0.8941147327423096]
['CO', 179, 'BO', 8, 'mv', 'cp', 'O1', 'O0', 0.14606334841628965, 0.4490468502044678]
['UO', 45, 'CO', 363, 'strip', 'realpath', 'O3', 'O0', 0.8564835492035134, 1.4628822803497314]
['BO', 57, 'CO', 74, 'libvlccore.so.9.0.0', 'unexpand', 'O3', 'O3', 0.9437639198218263, 5.585866212844849]
['CO', 169, 'UO', 31, 'false', 'c++filt', 'O1', 'O2', 0.9035120147874307, 1.2715706825256348]
['CO', 124, 'BO', 51, 'mkfifo', 'lua', 'O1', 'O1', 0.8534417068834138, 0.6118035316467285]
['BO', 79, 'CO', 210, 'bash', 'stat', 'O3', 'O2', 0.905950317735413, 3.594468593597412]
['UO', 55, 'CO', 278, 'ar', 'b2sum', 'O3', 'O2', 0.8686433373556284, 1.1485896110534668]
['BO', 26, 'CO', 10, 'gvmap', 'users', 'O3', 'O3', 0.6209929078014185, 0.14369511604309082]
['BO', 31, 'CO', 138, 'bash', 'tail', 'O2', 'O1', 0.9050297284268038, 3.863640785217285]
['CO', 35, 'UO', 17, 'base32', 'objdump', 'O3', 'O1', 0.9212053571428571, 2.8922436237335205]
['BO', 60, 'CO', 64, 'openssl', 'tty', 'O0', 'O3', 0.9548013762902722, 11.661274433135986]
['BO', 30, 'CO', 35, 'libvlccore.so.9.0.0', 'base32', 'O2', 'O3', 0.9441942041694902, 6.22563099861145]
['UO', 6, 'CO', 146, 'as', 'sum', 'O1', 'O1', 0.9194357194026561, 2.5035696029663086]
['CO', 126, 'UO', 60, 'pwd', 'xargs', 'O1', 'O3', 0.33669354838709675, 0.08748531341552734]
['CO', 141, 'BO', 46, 'truncate', 'ruby', 'O1', 'O3', 0.9812562008700297, 18.827175855636597]
['CO', 339, 'UO', 21, 'wc', 'sdiff', 'O0', 'O1', 0.09807886754297268, 0.08387112617492676]
['UO', 65, 'CO', 349, 'sdiff', 'truncate', 'O3', 'O0', 0.1676234213547646, 0.059844970703125]
['CO', 199, 'UO', 68, 'sha224sum', 'readelf', 'O1', 'O0', 0.8407622385280911, 0.813772439956665]
['CO', 53, 'BO', 4, 'chmod', 'libgeany.so.0.0.0', 'O3', 'O2', 0.9650608118780604, 44.113104581832886]
['CO', 273, 'BO', 62, 'false', 'bash', 'O2', 'O1', 0.9640096312254467, 3.704261064529419]
['CO', 16, 'UO', 13, 'dirname', 'addr2line', 'O3', 'O1', 0.8999738607650083, 1.4430034160614014]
['CO', 22, 'BO', 74, 'pwd', 'dot', 'O3', 'O1', 0.5294117647058824, 0.018949508666992188]
['CO', 333, 'BO', 34, 'mktemp', 'cp', 'O0', 'O2', 0.34740484429065743, 0.15498566627502441]
['CO', 121, 'BO', 20, 'stdbuf', 'sort', 'O1', 'O1', 0.46695557963163603, 0.14735746383666992]
['CO', 157, 'UO', 24, 'chmod', 'diff', 'O1', 'O2', 0.33882783882783885, 0.1646132469177246]
['CO', 6, 'UO', 5, 'mkdir', 'readelf', 'O3', 'O1', 0.7411182294700058, 0.43933534622192383]
['BO', 8, 'CO', 57, 'cp', 'od', 'O0', 'O3', 0.49398159074817083, 0.24943113327026367]
['BO', 0, 'CO', 248, 'codeblocks', 'sync', 'O1', 'O2', 0.9741340943005995, 13.726600646972656]
['CO', 157, 'UO', 44, 'chmod', 'nm', 'O1', 'O3', 0.810520806071709, 1.4136593341827393]
['BO', 10, 'CO', 270, 'openssl', 'printf', 'O3', 'O2', 0.9429404950877344, 9.941583395004272]
['CO', 84, 'BO', 69, 'vdir', 'cmp', 'O3', 'O3', 0.4774774774774775, 0.1198272705078125]
['CO', 287, 'BO', 20, 'link', 'sort', 'O2', 'O1', 0.6332931242460796, 0.12213444709777832]
['UO', 84, 'CO', 83, 'sdiff', 'csplit', 'O0', 'O3', 0.16712079927338785, 0.07908964157104492]
['UO', 38, 'CO', 349, 'elfedit', 'truncate', 'O2', 'O0', 0.1449864498644986, 0.04890251159667969]
['CO', 413, 'BO', 78, 'rmdir', 'ssh', 'O0', 'O0', 0.9278579356270811, 3.31605863571167]
['UO', 1, 'CO', 160, 'xargs', 'cut', 'O1', 'O1', 0.3136038186157518, 0.09544539451599121]
['CO', 110, 'UO', 18, 'mkdir', 'diff3', 'O1', 'O1', 0.10436634717784876, 0.06801676750183105]
['CO', 350, 'UO', 23, 'sha1sum', 'cmp', 'O0', 'O2', 0.1325153374233129, 0.05684018135070801]
['CO', 305, 'BO', 12, 'uniq', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9000349596022374, 41.188202142715454]
['CO', 34, 'BO', 17, 'tail', 'codeblocks', 'O3', 'O2', 0.93801907105506, 17.871190309524536]
['CO', 187, 'BO', 72, 'csplit', 'make', 'O1', 'O2', 0.6606081789584062, 0.3640604019165039]
['UO', 84, 'CO', 211, 'sdiff', 'unlink', 'O0', 'O2', 0.44660194174757284, 0.05612492561340332]
['CO', 62, 'UO', 11, 'printf', 'ld', 'O3', 'O1', 0.9072908849506437, 2.9626102447509766]
['CO', 254, 'UO', 39, 'whoami', 'size', 'O2', 'O2', 0.914792466630097, 1.2607176303863525]
['UO', 20, 'CO', 346, 'diff', 'tail', 'O1', 'O0', 0.19121447028423777, 0.2293226718902588]
['CO', 398, 'UO', 40, 'timeout', 'objdump', 'O0', 'O2', 0.8930365296803653, 2.917203903198242]
['BO', 72, 'UO', 13, 'make', 'addr2line', 'O2', 'O1', 0.4021975214002811, 3.055898427963257]
['UO', 69, 'CO', 383, 'as', 'readlink', 'O0', 'O0', 0.9284026465028355, 5.192926406860352]
['CO', 298, 'UO', 35, 'tr', 'gprof', 'O2', 'O2', 0.887894252488915, 1.4463346004486084]
['BO', 47, 'CO', 49, 'libvlc.so.12.0.0', 'nice', 'O0', 'O3', 0.7955206018122756, 0.7246494293212891]
['UO', 34, 'CO', 188, 'ld', 'vdir', 'O2', 'O1', 0.7713688150145853, 2.942779541015625]
['CO', 367, 'BO', 55, 'cp', 'make', 'O0', 'O1', 0.18992600285603012, 0.7337758541107178]
['BO', 51, 'CO', 289, 'lua', 'cat', 'O1', 'O2', 0.863618950325629, 0.5565381050109863]
['CO', 186, 'BO', 57, 'shuf', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.9172159447583177, 7.571825981140137]
['CO', 397, 'UO', 43, '[', 'find', 'O0', 'O2', 0.697324414715719, 0.5848314762115479]
['UO', 29, 'CO', 180, 'as', 'md5sum', 'O2', 'O1', 0.918304210827843, 2.208531618118286]
['BO', 34, 'CO', 191, 'cp', 'id', 'O2', 'O1', 0.4495344506517691, 0.11758017539978027]
['CO', 119, 'UO', 50, 'join', 'strings', 'O1', 'O3', 0.8448244496998363, 1.2538292407989502]
['CO', 28, 'UO', 83, 'factor', 'diff', 'O3', 'O0', 0.4521880064829822, 0.22977137565612793]
['BO', 64, 'UO', 44, 'dot', 'nm', 'O0', 'O3', 0.957739835864541, 1.0302388668060303]
['BO', 16, 'CO', 347, 'make', 'base32', 'O0', 'O0', 0.721616635921516, 0.3470003604888916]
['CO', 62, 'UO', 74, 'printf', 'ld', 'O3', 'O0', 0.933523738565338, 5.9513280391693115]
['CO', 317, 'UO', 18, 'basename', 'diff3', 'O0', 'O1', 0.22557726465364114, 0.05961155891418457]
['CO', 174, 'BO', 78, 'b2sum', 'ssh', 'O1', 'O0', 0.9128998348100316, 3.361942768096924]
['CO', 229, 'UO', 53, 'mktemp', 'gprof', 'O2', 'O3', 0.8748297002724795, 1.2800776958465576]
['UO', 5, 'CO', 10, 'readelf', 'users', 'O1', 'O3', 0.7981954887218045, 0.3449246883392334]
['CO', 21, 'BO', 52, 'mktemp', 'svn', 'O3', 'O3', 0.7374942634235888, 0.7085607051849365]
['BO', 32, 'CO', 69, 'ruby', 'who', 'O2', 'O3', 0.9712220449994909, 19.549065351486206]
['UO', 65, 'CO', 153, 'sdiff', 'nice', 'O3', 'O1', 0.2747804265997491, 0.04779386520385742]
['CO', 320, 'BO', 6, 'dir', 'codeblocks', 'O0', 'O0', 0.8994658902127508, 70.96909785270691]
['BO', 20, 'CO', 171, 'sort', 'nohup', 'O1', 'O1', 0.5202095808383234, 0.13502717018127441]
['CO', 152, 'UO', 5, 'ls', 'readelf', 'O1', 'O1', 0.4841673910343971, 0.7186160087585449]
['UO', 85, 'CO', 268, 'locate', 'base64', 'O0', 'O2', 0.6813278008298755, 0.23704147338867188]
['UO', 18, 'CO', 282, 'diff3', 'unexpand', 'O1', 'O2', 0.27373612823674476, 0.05280327796936035]
['UO', 40, 'CO', 408, 'objdump', 'fold', 'O2', 'O0', 0.9147855204664858, 2.392702579498291]
['UO', 66, 'BO', 49, 'nm', 'svn', 'O0', 'O0', 0.46055934816119803, 5.59855318069458]
['CO', 232, 'BO', 45, 'tee', 'diff', 'O2', 'O2', 0.5693299892511644, 0.13143396377563477]
['BO', 24, 'CO', 163, 'cluster', 'tsort', 'O3', 'O1', 0.5948687350835322, 0.14805221557617188]
['BO', 2, 'CO', 384, 'perl', 'head', 'O1', 'O0', 0.9497616428309498, 3.300564765930176]
['BO', 47, 'CO', 372, 'libvlc.so.12.0.0', 'base64', 'O0', 'O0', 0.726838900773408, 0.8074476718902588]
['UO', 38, 'CO', 379, 'elfedit', 'nohup', 'O2', 'O0', 0.14754098360655732, 0.04870438575744629]
['CO', 153, 'UO', 87, 'nice', 'find', 'O1', 'O0', 0.8422687373396354, 0.877223014831543]
['UO', 31, 'CO', 102, 'c++filt', 'mknod', 'O2', 'O3', 0.876298050646748, 1.1457602977752686]
['UO', 71, 'CO', 369, 'c++filt', 'od', 'O0', 'O0', 0.8674615117490451, 3.025595188140869]
['CO', 136, 'UO', 42, 'expr', 'xargs', 'O1', 'O2', 0.20877112836911826, 0.09909772872924805]
['BO', 71, 'UO', 68, 'libSDL2-2.0.so.0.16.0', 'readelf', 'O0', 'O0', 0.4840699523052464, 12.729512214660645]
['CO', 157, 'UO', 9, 'chmod', 'strings', 'O1', 'O1', 0.8180447348580046, 1.739281415939331]
['BO', 52, 'CO', 85, 'svn', '[', 'O3', 'O3', 0.7582043343653251, 0.5868325233459473]
['UO', 61, 'BO', 81, 'find', 'sort', 'O3', 'O3', 0.4202693125442949, 0.5767855644226074]
['CO', 391, 'UO', 50, 'link', 'strings', 'O0', 'O3', 0.8849442379182156, 1.180016040802002]
['CO', 137, 'UO', 2, 'chown', 'find', 'O1', 'O1', 0.6262455925187796, 0.6842846870422363]
['BO', 27, 'CO', 173, 'perl', 'who', 'O3', 'O1', 0.9531062710130098, 3.1357202529907227]
['BO', 18, 'CO', 112, 'libvlc.so.12.0.0', 'dir', 'O1', 'O1', 0.41520290732889165, 0.8416109085083008]
['CO', 406, 'UO', 34, 'rm', 'ld', 'O0', 'O2', 0.8263534218590398, 3.452042818069458]
['UO', 18, 'CO', 281, 'diff3', 'hostid', 'O1', 'O2', 0.38937457969065226, 0.04442262649536133]
['UO', 57, 'CO', 340, 'size', 'factor', 'O3', 'O0', 0.754657052107477, 1.2992143630981445]
['BO', 9, 'CO', 386, 'git', 'unexpand', 'O0', 'O0', 0.9692061196975322, 8.737099885940552]
['CO', 339, 'UO', 1, 'wc', 'xargs', 'O0', 'O1', 0.175969322539412, 0.12778234481811523]
['CO', 191, 'BO', 70, 'id', 'diff', 'O1', 'O3', 0.5054981672775741, 0.1350712776184082]
['CO', 199, 'UO', 43, 'sha224sum', 'find', 'O1', 'O2', 0.75, 0.5552027225494385]
['CO', 129, 'UO', 2, 'chgrp', 'find', 'O1', 'O1', 0.6352705410821643, 0.6815018653869629]
['BO', 75, 'CO', 307, 'gvmap', 'sort', 'O1', 'O2', 0.23159859008915618, 0.3075747489929199]
['BO', 73, 'UO', 55, 'cluster', 'ar', 'O1', 'O3', 0.59640727379813, 2.131427526473999]
['BO', 4, 'CO', 214, 'libgeany.so.0.0.0', 'mkdir', 'O2', 'O2', 0.9760161374863006, 37.26746726036072]
['CO', 356, 'BO', 76, 'seq', 'openssl', 'O0', 'O2', 0.9304769603880356, 12.47473931312561]
['CO', 74, 'BO', 39, 'unexpand', 'codeblocks', 'O3', 'O3', 0.9634574481715911, 16.586093425750732]
['BO', 65, 'CO', 272, 'gvmap', 'tty', 'O0', 'O2', 0.8008676789587853, 0.22603416442871094]
['BO', 21, 'UO', 77, 'cp', 'ar', 'O1', 'O0', 0.7899816417519014, 4.700046062469482]
['UO', 34, 'CO', 369, 'ld', 'od', 'O2', 'O0', 0.8671462551488078, 2.6333367824554443]
['CO', 342, 'BO', 10, 'expand', 'openssl', 'O0', 'O3', 0.9340621797061838, 12.554620504379272]
['CO', 42, 'BO', 3, 'sum', 'openssl', 'O3', 'O1', 0.9331023568159459, 12.0370192527771]
['UO', 76, 'CO', 20, 'addr2line', 'mkfifo', 'O0', 'O3', 0.9264793074825092, 2.757758140563965]
['BO', 76, 'CO', 199, 'openssl', 'sha224sum', 'O2', 'O1', 0.9378977491137402, 10.187427282333374]
['CO', 239, 'BO', 60, 'date', 'openssl', 'O2', 'O0', 0.9212235330284748, 15.171322107315063]
['BO', 27, 'CO', 274, 'perl', 'runcon', 'O3', 'O2', 0.9742309169892728, 2.902679681777954]
['UO', 48, 'CO', 43, 'ranlib', 'chroot', 'O3', 'O3', 0.8664026857192046, 1.1387686729431152]
['UO', 30, 'CO', 198, 'ranlib', 'rm', 'O2', 'O1', 0.7914783731439639, 1.4746882915496826]
['BO', 59, 'UO', 38, 'libgeany.so.0.0.0', 'elfedit', 'O3', 'O2', 0.9767201727212992, 32.99462676048279]
['UO', 55, 'CO', 157, 'ar', 'chmod', 'O3', 'O1', 0.8178769075968472, 1.2078323364257812]
['UO', 68, 'CO', 263, 'readelf', 'cp', 'O0', 'O2', 0.624625495312651, 0.9116230010986328]
['BO', 47, 'CO', 78, 'libvlc.so.12.0.0', 'chcon', 'O0', 'O3', 0.6427684667908131, 0.7975184917449951]
['CO', 138, 'UO', 75, 'tail', 'gprof', 'O1', 'O0', 0.8722264728385616, 3.7397420406341553]
['UO', 25, 'CO', 392, 'sdiff', 'uname', 'O2', 'O0', 0.22388059701492535, 0.0546879768371582]
['UO', 62, 'CO', 216, 'diff3', 'dir', 'O3', 'O2', 0.312813650050184, 0.13851690292358398]
['CO', 327, 'BO', 33, 'join', 'sort', 'O0', 'O2', 0.3227257004496714, 0.15331673622131348]
['CO', 93, 'UO', 62, 'nl', 'diff3', 'O3', 'O3', 0.18120045300113252, 0.046224117279052734]
['UO', 51, 'CO', 3, 'objcopy', 'unlink', 'O3', 'O3', 0.9095084979329352, 1.2486803531646729]
['UO', 52, 'CO', 310, 'ld', 'mknod', 'O3', 'O2', 0.9361122874947063, 2.041846990585327]
['CO', 48, 'UO', 1, 'ls', 'xargs', 'O3', 'O1', 0.23116438356164382, 0.1878509521484375]
['CO', 30, 'UO', 61, 'expand', 'find', 'O3', 'O3', 0.7539118065433855, 0.4162144660949707]
['UO', 46, 'CO', 46, 'readelf', 'whoami', 'O3', 'O3', 0.8188034188034188, 0.26721668243408203]
