['BV', 57, 'UV', 11, 'svn', 'ranlib', 'V2', 'V2', 0.3949205956868318, 3.653799295425415]
['UV', 59, 'CV', 219, 'ld', 'cp', 'V1', 'V0', 0.8687048228463088, 2.257249593734741]
['CV', 271, 'BV', 9, 'ptx', 'dot', 'V1', 'V2', 0.7039473684210527, 0.03278779983520508]
['CV', 299, 'UV', 43, 'split', 'sdiff', 'V1', 'V3', 0.31685100845803515, 0.04410982131958008]
['BV', 8, 'CV', 182, 'cluster', 'du', 'V2', 'V0', 0.45134139926354555, 0.20212507247924805]
['CV', 315, 'UV', 28, 'false', 'strings', 'V1', 'V3', 0.9380712553628054, 1.2638940811157227]
['CV', 189, 'BV', 34, 'uptime', 'svn', 'V0', 'V0', 0.8101065929727596, 0.4771280288696289]
['CV', 300, 'BV', 75, 'whoami', 'cmp', 'V1', 'V2', 0.34513274336283184, 0.028257131576538086]
['UV', 79, 'CV', 282, 'strings', 'chgrp', 'V0', 'V1', 0.8548150860490663, 1.1192076206207275]
['UV', 14, 'CV', 226, 'objcopy', 'logname', 'V2', 'V0', 0.9467049143202234, 1.46616530418396]
['BV', 61, 'CV', 126, 'cmp', 'whoami', 'V0', 'V3', 0.27795527156549515, 0.019339799880981445]
['CV', 305, 'BV', 23, 'true', 'diff', 'V1', 'V3', 0.7437282902354303, 0.09658479690551758]
['CV', 235, 'UV', 26, 'ginstall', 'ranlib', 'V0', 'V3', 0.8026796589524969, 1.7888760566711426]
['CV', 38, 'BV', 51, 'split', 'cp', 'V2', 'V0', 0.10249042145593867, 0.06303024291992188]
['UV', 74, 'CV', 203, 'strip', 'tail', 'V0', 'V0', 0.8962264150943396, 1.534806728363037]
['BV', 35, 'UV', 85, 'libvlccore.so', 'elfedit', 'V2', 'V0', 0.9351170568561873, 4.397329568862915]
['CV', 319, 'UV', 44, 'readlink', 'diff3', 'V1', 'V1', 0.3977433004231312, 0.034920692443847656]
['UV', 78, 'CV', 275, 'c++filt', 'dirname', 'V0', 'V1', 0.9259401381427476, 1.008655309677124]
['CV', 54, 'UV', 17, 'false', 'addr2line', 'V2', 'V2', 0.9216147719044171, 1.2460598945617676]
['BV', 24, 'CV', 38, 'git', 'split', 'V0', 'V2', 0.9473599398399313, 4.8191978931427]
['UV', 31, 'CV', 79, 'gprof', 'fold', 'V3', 'V2', 0.9091370558375634, 1.2597904205322266]
['UV', 4, 'BV', 79, 'cmp', 'bash', 'V2', 'V3', 0.9354756331134284, 3.9261255264282227]
['BV', 49, 'CV', 308, 'make', 'od', 'V3', 'V1', 0.7645311049210771, 0.2823004722595215]
['BV', 18, 'UV', 10, 'sort', 'as', 'V3', 'V2', 0.7749788314987299, 3.4374778270721436]
['BV', 49, 'CV', 110, 'make', 'wc', 'V3', 'V3', 0.6894652691419435, 0.3131527900695801]
['CV', 333, 'BV', 19, 'id', 'cp', 'V1', 'V3', 0.6360031720856463, 0.09872841835021973]
['UV', 48, 'CV', 223, 'locate', 'tsort', 'V1', 'V0', 0.6261518209741115, 0.0715034008026123]
['CV', 36, 'UV', 57, 'chroot', 'strings', 'V2', 'V1', 0.8899813978208876, 1.3218762874603271]
['BV', 31, 'UV', 40, 'codeblocks', 'diff3', 'V0', 'V3', 0.9433525066106916, 13.105513334274292]
['CV', 254, 'BV', 78, 'uniq', 'make', 'V0', 'V2', 0.7851173895742141, 0.27954649925231934]
['UV', 70, 'CV', 193, 'locate', 'pr', 'V0', 'V0', 0.3395585738539898, 0.08328032493591309]
['BV', 21, 'CV', 115, 'cp', 'chown', 'V1', 'V3', 0.09830508474576272, 0.07827186584472656]
['UV', 52, 'CV', 165, 'strip', 'rm', 'V1', 'V3', 0.831056889006763, 1.7586441040039062]
['CV', 333, 'UV', 47, 'id', 'sdiff', 'V1', 'V1', 0.3773841961852862, 0.03960728645324707]
['CV', 153, 'BV', 62, 'link', 'diff', 'V3', 'V0', 0.3559693318729463, 0.05263042449951172]
['BV', 30, 'UV', 16, 'bash', 'gprof', 'V0', 'V2', 0.2716391016152906, 6.817858695983887]
['CV', 202, 'UV', 66, 'chown', 'diff3', 'V0', 'V0', 0.12392918332381497, 0.04967904090881348]
['CV', 254, 'UV', 73, 'uniq', 'nm', 'V0', 'V0', 0.9009628610729024, 1.2289843559265137]
['UV', 0, 'CV', 324, 'locate', 'mv', 'V2', 'V1', 0.08536585365853655, 0.11101579666137695]
['UV', 48, 'BV', 4, 'locate', 'geany', 'V1', 'V3', 0.9369288109055635, 47.416051626205444]
['CV', 115, 'BV', 63, 'chown', 'ruby', 'V3', 'V0', 0.951189653470234, 15.656266212463379]
['CV', 96, 'UV', 10, 'users', 'as', 'V3', 'V2', 0.9226975570592958, 2.4762020111083984]
['CV', 152, 'BV', 79, 'env', 'bash', 'V3', 'V3', 0.9444135630906059, 3.8248555660247803]
['CV', 66, 'UV', 16, 'link', 'gprof', 'V2', 'V2', 0.9199262919842532, 1.3774871826171875]
['CV', 248, 'UV', 12, 'pathchk', 'c++filt', 'V0', 'V2', 0.9292817679558011, 1.220468521118164]
['CV', 32, 'UV', 5, 'paste', 'diff', 'V2', 'V2', 0.6317715959004392, 0.10566401481628418]
['BV', 23, 'CV', 141, 'diff', 'false', 'V3', 'V3', 0.6095475596722479, 0.10196185111999512]
['UV', 43, 'BV', 81, 'sdiff', 'dot', 'V3', 'V1', 0.6437246963562753, 0.03076624870300293]
['BV', 5, 'UV', 2, 'libvlccore.so', 'find', 'V0', 'V2', 0.6749397248617217, 5.079683542251587]
['BV', 24, 'CV', 294, 'git', 'sync', 'V0', 'V1', 0.9807140710793018, 4.618594169616699]
['UV', 33, 'BV', 2, 'ar', 'cmp', 'V3', 'V1', 0.8732596405366636, 1.3645312786102295]
['CV', 275, 'UV', 75, 'dirname', 'readelf', 'V1', 'V0', 0.7606943583384997, 0.10497140884399414]
['CV', 336, 'UV', 47, 'tr', 'sdiff', 'V1', 'V1', 0.2846251588310038, 0.04257392883300781]
['CV', 272, 'BV', 80, 'printenv', 'cluster', 'V1', 'V1', 0.7748301520543514, 0.136094331741333]
['BV', 76, 'CV', 241, 'diff', 'uname', 'V2', 'V0', 0.726568551510457, 0.08873367309570312]
['CV', 321, 'BV', 77, 'hostid', 'perl', 'V1', 'V2', 0.9764521193092621, 3.1540417671203613]
['UV', 56, 'BV', 7, 'c++filt', 'libSDL2-2.0.so', 'V1', 'V0', 0.23948497854077255, 14.292405605316162]
['BV', 82, 'CV', 277, 'gvmap', 'dd', 'V1', 'V1', 0.5794291868605277, 0.17384839057922363]
['BV', 63, 'UV', 35, 'ruby', 'size', 'V0', 'V3', 0.6502396419565472, 20.555185079574585]
['BV', 56, 'CV', 159, 'ssh', 'id', 'V3', 'V3', 0.9015651274091321, 1.7302296161651611]
['CV', 219, 'UV', 84, 'cp', 'ar', 'V0', 'V0', 0.8143742670464065, 1.5307786464691162]
['UV', 34, 'CV', 318, 'elfedit', 'who', 'V3', 'V1', 0.1678056188306758, 0.03572511672973633]
['UV', 34, 'CV', 308, 'elfedit', 'od', 'V3', 'V1', 0.13062409288824384, 0.03607010841369629]
['BV', 59, 'CV', 346, 'make', 'mknod', 'V1', 'V1', 0.8252587991718426, 0.22526812553405762]
['CV', 337, 'UV', 15, 'comm', 'ld', 'V1', 'V2', 0.9425026107254746, 2.2106165885925293]
['CV', 297, 'BV', 71, 'chroot', 'ruby', 'V1', 'V1', 0.6085106382978723, 0.006703853607177734]
['BV', 48, 'CV', 20, 'gvmap', 'tee', 'V3', 'V2', 0.6944041751232242, 0.14428186416625977]
['CV', 104, 'BV', 60, 'mkfifo', 'codeblocks', 'V3', 'V1', 0.9667328432687664, 15.195576667785645]
['CV', 232, 'UV', 36, 'readlink', 'objdump', 'V0', 'V3', 0.9509411764705883, 2.432159185409546]
['CV', 28, 'UV', 51, 'chown', 'nm', 'V2', 'V1', 0.8266118889913642, 1.521524429321289]
['CV', 46, 'UV', 1, 'cut', 'xargs', 'V2', 'V2', 0.29969418960244654, 0.06055450439453125]
['UV', 61, 'CV', 98, 'addr2line', 'printenv', 'V1', 'V3', 0.9005770084332002, 1.15936279296875]
['UV', 81, 'BV', 32, 'ld', 'perl', 'V0', 'V0', 0.2300715615088207, 9.674010276794434]
['CV', 291, 'UV', 62, 'pinky', 'ar', 'V1', 'V1', 0.9048657718120805, 1.4543821811676025]
