['UV', 57, 'CV', 62, 'strings', 'unexpand', 'V1', 'V2', 0.9067024128686327, 1.078470230102539]
['BV', 45, 'CV', 54, 'svn', 'false', 'V3', 'V2', 0.8771125751933544, 0.668816328048706]
['UV', 66, 'CV', 85, 'diff3', 'mknod', 'V0', 'V2', 0.2943521594684385, 0.033644914627075195]
['CV', 67, 'UV', 33, 'uname', 'ar', 'V2', 'V3', 0.9172640124363071, 1.2919626235961914]
['CV', 95, 'UV', 74, 'du', 'strip', 'V3', 'V0', 0.7551101409009724, 2.224356174468994]
['CV', 121, 'UV', 64, 'echo', 'size', 'V3', 'V1', 0.8993276716206653, 1.2386302947998047]
['BV', 5, 'CV', 83, 'libvlccore.so', 'tac', 'V0', 'V2', 0.8593930484091148, 3.670008659362793]
['BV', 68, 'UV', 23, 'dot', 'strip', 'V0', 'V3', 0.9651486988847584, 1.4541456699371338]
['UV', 18, 'CV', 58, 'ar', 'readlink', 'V2', 'V2', 0.8907076303198187, 1.2732293605804443]
['CV', 303, 'UV', 55, 'dircolors', 'ranlib', 'V1', 'V1', 0.9167651527941921, 1.3274106979370117]
['CV', 324, 'UV', 83, 'mv', 'addr2line', 'V1', 'V0', 0.7765762623179558, 1.439422845840454]
['CV', 191, 'UV', 61, 'mkfifo', 'addr2line', 'V0', 'V1', 0.9310904663118968, 1.1728036403656006]
['CV', 170, 'BV', 49, 'tac', 'make', 'V3', 'V3', 0.712279438242708, 0.3180530071258545]
['CV', 275, 'UV', 41, 'dirname', 'cmp', 'V1', 'V3', 0.3280701754385965, 0.026098251342773438]
['BV', 75, 'CV', 111, 'cmp', 'factor', 'V2', 'V3', 0.1745495495495495, 0.04555392265319824]
['BV', 24, 'CV', 340, 'git', 'fold', 'V0', 'V1', 0.9769876758643254, 4.337807893753052]
['BV', 78, 'CV', 265, 'make', 'basename', 'V2', 'V1', 0.8411656064026267, 0.21512055397033691]
['UV', 46, 'BV', 29, 'diff', 'perl', 'V1', 'V3', 0.8257445400397088, 5.301053285598755]
['CV', 183, 'BV', 45, 'users', 'svn', 'V0', 'V3', 0.8748926424277126, 0.7729430198669434]
['CV', 297, 'BV', 2, 'chroot', 'cmp', 'V1', 'V1', 0.3356953055801595, 0.024611949920654297]
['UV', 22, 'BV', 73, 'nm', 'geany', 'V3', 'V0', 0.6102182557862522, 70.31089997291565]
['BV', 77, 'CV', 323, 'perl', 'unexpand', 'V2', 'V1', 0.972516891340536, 2.805192470550537]
['CV', 212, 'UV', 42, 'split', 'diff', 'V0', 'V3', 0.6281081081081081, 0.10567545890808105]
['UV', 30, 'CV', 223, 'ld', 'tsort', 'V3', 'V0', 0.9484199055575736, 2.212928056716919]
['UV', 17, 'CV', 107, 'addr2line', 'tee', 'V2', 'V3', 0.8683562126011968, 1.1667048931121826]
['CV', 280, 'BV', 5, 'pr', 'libvlccore.so', 'V1', 'V0', 0.9158190867777537, 4.059274911880493]
['CV', 3, 'UV', 24, 'test', 'readelf', 'V2', 'V3', 0.8150435471100554, 0.3180110454559326]
['CV', 223, 'UV', 86, 'tsort', 'size', 'V0', 'V0', 0.930821695355635, 1.0930883884429932]
['UV', 46, 'BV', 53, 'diff', 'ssh', 'V1', 'V2', 0.8358632297478416, 7.48377537727356]
['CV', 325, 'UV', 3, 'md5sum', 'diff3', 'V1', 'V2', 0.3459715639810427, 0.0368809700012207]
['CV', 142, 'BV', 13, 'nohup', 'cp', 'V3', 'V2', 0.4323761964211402, 0.08107137680053711]
['BV', 26, 'CV', 29, 'geany', 'tail', 'V2', 'V2', 0.9625935162094763, 26.230051517486572]
['BV', 18, 'CV', 69, 'sort', 'csplit', 'V3', 'V2', 0.16757641921397382, 0.14616131782531738]
['CV', 43, 'UV', 39, 'chmod', 'find', 'V2', 'V3', 0.6858119658119658, 0.44147562980651855]
['CV', 249, 'BV', 30, 'tr', 'bash', 'V0', 'V0', 0.9450696544544147, 2.790952444076538]
['CV', 190, 'UV', 7, 'dd', 'nm', 'V0', 'V2', 0.8655505695547118, 1.3874614238739014]
['BV', 70, 'CV', 174, 'ssh', 'touch', 'V0', 'V0', 0.958297432362571, 4.2457146644592285]
['BV', 11, 'CV', 221, 'bash', 'od', 'V1', 'V0', 0.9417920209287116, 2.7309467792510986]
['CV', 267, 'UV', 48, 'fmt', 'locate', 'V1', 'V1', 0.611304347826087, 0.07421350479125977]
['UV', 85, 'CV', 133, 'elfedit', 'cut', 'V0', 'V3', 0.1480194579569145, 0.03531002998352051]
['CV', 11, 'UV', 56, 'printenv', 'c++filt', 'V2', 'V1', 0.9183080693473722, 1.134775161743164]
['BV', 64, 'CV', 168, 'openssl', 'sleep', 'V2', 'V3', 0.9305689488910318, 5.710205316543579]
['BV', 60, 'CV', 296, 'codeblocks', 'sum', 'V1', 'V1', 0.9731912144702842, 12.434648036956787]
['CV', 99, 'UV', 25, 'stty', 'as', 'V3', 'V3', 0.8990471869328494, 2.540883779525757]
['CV', 65, 'UV', 46, 'env', 'diff', 'V2', 'V1', 0.7009043927648578, 0.10450267791748047]
['CV', 286, 'BV', 51, 'expand', 'cp', 'V1', 'V0', 0.4512115258677145, 0.03797125816345215]
['CV', 289, 'BV', 0, 'chown', 'bash', 'V1', 'V2', 0.9271765483799868, 3.6123874187469482]
['CV', 160, 'UV', 41, 'shred', 'cmp', 'V3', 'V3', 0.21675392670157068, 0.0572202205657959]
['UV', 17, 'BV', 73, 'addr2line', 'geany', 'V2', 'V0', 0.6110224960123205, 70.03816342353821]
['BV', 38, 'CV', 53, 'ruby', 'tty', 'V2', 'V2', 0.676056338028169, 0.007369279861450195]
['CV', 35, 'BV', 26, 'sum', 'geany', 'V2', 'V2', 0.9765715785133261, 29.648245096206665]
['BV', 60, 'CV', 117, 'codeblocks', 'pinky', 'V1', 'V3', 0.9571241690471741, 12.720953941345215]
['BV', 6, 'CV', 122, 'libvlc.so', 'sum', 'V0', 'V3', 0.6497175141242938, 0.3044297695159912]
['UV', 53, 'CV', 164, 'readelf', 'nl', 'V1', 'V3', 0.6130936409981218, 0.11603569984436035]
