['CV', 344, 'UV', 82, 'tac', 'gprof', 'V1', 'V0', 0.8006509357200976, 1.4385113716125488]
['UV', 31, 'CV', 197, 'gprof', 'wc', 'V3', 'V0', 0.9242773087746227, 1.1904892921447754]
['BV', 67, 'CV', 220, 'cluster', 'cut', 'V0', 'V0', 0.6640491635370434, 0.11083459854125977]
['BV', 50, 'CV', 6, 'sort', 'fmt', 'V0', 'V2', 0.25286581254214435, 0.03513169288635254]
['CV', 271, 'UV', 33, 'ptx', 'ar', 'V1', 'V3', 0.7910447761194029, 1.5771124362945557]
['BV', 63, 'CV', 211, 'ruby', 'seq', 'V0', 'V0', 0.9833413615928067, 11.626009702682495]
['BV', 10, 'CV', 85, 'gvmap', 'mknod', 'V2', 'V2', 0.6948070786190891, 0.13440227508544922]
['UV', 48, 'CV', 179, 'locate', 'mkdir', 'V1', 'V0', 0.5480367585630743, 0.07542848587036133]
['CV', 85, 'UV', 79, 'mknod', 'strings', 'V2', 'V0', 0.9002156991465816, 1.099022626876831]
['CV', 198, 'UV', 33, 'factor', 'ar', 'V0', 'V3', 0.9277526919069121, 1.2969365119934082]
['CV', 43, 'UV', 71, 'chmod', 'xargs', 'V2', 'V0', 0.2085769980506822, 0.0388641357421875]
['BV', 60, 'CV', 214, 'codeblocks', 'ls', 'V1', 'V0', 0.9309363887791386, 13.987755537033081]
['BV', 33, 'CV', 214, 'openssl', 'ls', 'V0', 'V0', 0.9394205443371378, 7.79859733581543]
['CV', 24, 'BV', 81, 'factor', 'dot', 'V2', 'V1', 0.44791666666666674, 0.013536214828491211]
['CV', 298, 'UV', 26, 'seq', 'ranlib', 'V1', 'V3', 0.9257460097154754, 1.3321325778961182]
['CV', 179, 'BV', 20, 'mkdir', 'sort', 'V0', 'V1', 0.3446396123561477, 0.04578709602355957]
['CV', 49, 'UV', 28, 'tsort', 'strings', 'V2', 'V3', 0.8982369598976888, 1.2263779640197754]
['CV', 41, 'UV', 56, 'nice', 'c++filt', 'V2', 'V1', 0.907228589477484, 1.1727120876312256]
['BV', 26, 'UV', 6, 'geany', 'sdiff', 'V2', 'V2', 0.9622648530971475, 26.80323839187622]
['CV', 309, 'UV', 10, 'df', 'as', 'V1', 'V2', 0.9173100017155601, 2.447431802749634]
['CV', 199, 'BV', 24, 'expand', 'git', 'V0', 'V0', 0.9777426217882276, 4.7228405475616455]
['BV', 6, 'CV', 253, 'libvlc.so', 'fold', 'V0', 'V0', 0.7976807303232174, 0.2599170207977295]
['CV', 328, 'UV', 76, 'uname', 'as', 'V1', 'V0', 0.9553784860557769, 1.9348387718200684]
['CV', 122, 'UV', 7, 'sum', 'nm', 'V3', 'V2', 0.8650793650793651, 1.361130952835083]
['UV', 63, 'CV', 37, 'elfedit', 'seq', 'V1', 'V2', 0.14529914529914534, 0.028252363204956055]
['UV', 49, 'CV', 0, 'xargs', 'touch', 'V1', 'V2', 0.05968169761273212, 0.03624248504638672]
['CV', 118, 'BV', 79, 'sha1sum', 'bash', 'V3', 'V3', 0.9363822176801226, 3.676469564437866]
['CV', 73, 'BV', 76, 'shred', 'diff', 'V2', 'V2', 0.40897597977243993, 0.13467121124267578]
['BV', 36, 'CV', 60, 'libvlc.so', 'hostid', 'V2', 'V2', 0.8166278166278166, 0.37415194511413574]
['CV', 339, 'UV', 63, 'rm', 'elfedit', 'V1', 'V1', 0.1534246575342466, 0.03802132606506348]
['CV', 153, 'UV', 64, 'link', 'size', 'V3', 'V1', 0.8951363756730515, 1.2303926944732666]
['CV', 169, 'UV', 74, 'sort', 'strip', 'V3', 'V0', 0.7246395635796856, 2.257784366607666]
['UV', 7, 'BV', 46, 'nm', 'cluster', 'V2', 'V3', 0.5954542100214006, 1.6948835849761963]
['CV', 0, 'BV', 0, 'touch', 'bash', 'V2', 'V2', 0.9358809724128769, 3.4854016304016113]
['UV', 43, 'CV', 118, 'sdiff', 'sha1sum', 'V3', 'V3', 0.1974957313602732, 0.04726696014404297]
['BV', 81, 'CV', 108, 'dot', 'chgrp', 'V1', 'V3', 0.6848739495798319, 0.0316009521484375]
['CV', 117, 'UV', 29, 'pinky', 'objcopy', 'V3', 'V3', 0.8809488510007413, 1.6889832019805908]
['UV', 17, 'CV', 122, 'addr2line', 'sum', 'V2', 'V3', 0.8627829443762064, 1.1593472957611084]
['CV', 324, 'BV', 14, 'mv', 'openssl', 'V1', 'V3', 0.8704884292957181, 9.464195251464844]
['CV', 197, 'UV', 45, 'wc', 'cmp', 'V0', 'V1', 0.2642140468227425, 0.029200315475463867]
['CV', 5, 'BV', 73, 'mkdir', 'geany', 'V2', 'V0', 0.9652387876076501, 22.20143437385559]
['CV', 316, 'UV', 50, 'nohup', 'find', 'V1', 'V1', 0.7636916835699797, 0.19910168647766113]
['UV', 24, 'CV', 214, 'readelf', 'ls', 'V3', 'V0', 0.6339108207895484, 0.3912961483001709]
['CV', 177, 'UV', 79, 'test', 'strings', 'V0', 'V0', 0.9151228733459357, 1.0710411071777344]
['CV', 201, 'BV', 15, 'expr', 'libvlccore.so', 'V0', 'V3', 0.883361126551788, 5.22378945350647]
['UV', 40, 'CV', 64, 'diff3', 'md5sum', 'V3', 'V2', 0.27921279212792127, 0.04021334648132324]
['CV', 277, 'UV', 71, 'dd', 'xargs', 'V1', 'V0', 0.13819985825655567, 0.03715372085571289]
['CV', 49, 'BV', 21, 'tsort', 'cp', 'V2', 'V1', 0.3456276026174896, 0.0442202091217041]
['UV', 0, 'CV', 48, 'locate', 'df', 'V2', 'V2', 0.0903225806451613, 0.08721184730529785]
['CV', 341, 'UV', 72, 'uniq', 'find', 'V1', 'V0', 0.6560549313358303, 0.15151119232177734]
['BV', 1, 'UV', 47, 'libSDL2-2.0.so', 'sdiff', 'V3', 'V1', 0.9111467236467237, 6.614748001098633]
['CV', 54, 'UV', 71, 'false', 'xargs', 'V2', 'V0', 0.20765550239234454, 0.02226710319519043]
['UV', 74, 'CV', 159, 'strip', 'id', 'V0', 'V3', 0.8914949739787552, 1.4991683959960938]
['UV', 71, 'CV', 287, 'xargs', 'date', 'V0', 'V1', 0.054226475279106845, 0.03316903114318848]
['BV', 79, 'CV', 108, 'bash', 'chgrp', 'V3', 'V3', 0.8994987468671679, 3.352559804916382]
['BV', 62, 'CV', 194, 'diff', 'tee', 'V0', 'V0', 0.4888217522658611, 0.04472851753234863]
