['CO', 68, 'BO', 19, 'yes', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.9531325495248832, 6.6552653312683105]
['UO', 63, 'CO', 59, 'cmp', 'tsort', 'O3', 'O3', 0.12896691424713036, 0.03798413276672363]
['UO', 51, 'CO', 345, 'objcopy', 'chown', 'O3', 'O0', 0.7929547088425594, 1.6520977020263672]
['CO', 184, 'BO', 15, 'uname', 'diff', 'O1', 'O0', 0.6542372881355932, 0.2124652862548828]
['CO', 325, 'UO', 49, 'printenv', 'c++filt', 'O0', 'O3', 0.8861270049713911, 1.1972157955169678]
['CO', 381, 'BO', 16, 'who', 'make', 'O0', 'O0', 0.6887645994406975, 0.42382001876831055]
['UO', 21, 'CO', 48, 'sdiff', 'ls', 'O1', 'O3', 0.3607655502392344, 0.15064787864685059]
['UO', 80, 'CO', 395, 'objdump', 'csplit', 'O0', 'O0', 0.9048615957199349, 5.883889436721802]
['BO', 33, 'CO', 49, 'sort', 'nice', 'O2', 'O3', 0.5264203416765991, 0.10788583755493164]
['UO', 16, 'BO', 40, 'size', 'lua', 'O1', 'O0', 0.14642179858269289, 3.943044424057007]
['BO', 18, 'CO', 81, 'libvlc.so.12.0.0', 'cat', 'O1', 'O3', 0.7444849414924228, 0.5445077419281006]
['BO', 2, 'CO', 385, 'perl', 'hostid', 'O1', 'O0', 0.9673855587271382, 3.2719719409942627]
['CO', 376, 'UO', 7, 'tty', 'ranlib', 'O0', 'O1', 0.8974737532808399, 1.7169363498687744]
['CO', 183, 'BO', 2, 'link', 'perl', 'O1', 'O1', 0.9709277695403516, 3.733229875564575]
['CO', 211, 'BO', 54, 'unlink', 'lua', 'O2', 'O3', 0.8724113968033357, 0.4388563632965088]
['UO', 34, 'CO', 90, 'ld', 'tr', 'O2', 'O3', 0.9064091932235517, 2.5638177394866943]
['CO', 290, 'UO', 37, 'shuf', 'ar', 'O2', 'O2', 0.8450797872340425, 1.6464934349060059]
['BO', 31, 'CO', 391, 'bash', 'link', 'O2', 'O0', 0.9491142258210367, 3.7069900035858154]
['BO', 12, 'CO', 334, 'libgeany.so.0.0.0', 'pwd', 'O0', 'O0', 0.8980443133754996, 39.79112911224365]
