['CV', 162, 'BV', 22, 'tr', 'cmp', 'V3', 'V3', 0.10621761658031093, 0.03763294219970703]
['UV', 11, 'CV', 108, 'ranlib', 'chgrp', 'V2', 'V3', 0.8073004412354593, 1.3530981540679932]
['CV', 198, 'UV', 31, 'factor', 'gprof', 'V0', 'V3', 0.9288828104966237, 1.2612206935882568]
['BV', 38, 'CV', 102, 'ruby', 'uptime', 'V2', 'V3', 0.8046709129511678, 0.017318010330200195]
['CV', 34, 'BV', 20, 'echo', 'sort', 'V2', 'V1', 0.42455242966751916, 0.03978991508483887]
['CV', 341, 'UV', 39, 'uniq', 'find', 'V1', 'V3', 0.7983929875821768, 0.38874077796936035]
['UV', 19, 'BV', 20, 'elfedit', 'sort', 'V2', 'V1', 0.28026905829596416, 0.05000948905944824]
['CV', 25, 'UV', 52, 'expand', 'strip', 'V2', 'V1', 0.927145847871598, 1.6229259967803955]
['UV', 29, 'CV', 153, 'objcopy', 'link', 'V3', 'V3', 0.9105489044499662, 1.3961989879608154]
['UV', 45, 'CV', 180, 'cmp', 'fmt', 'V1', 'V0', 0.271043771043771, 0.026825428009033203]
['CV', 166, 'UV', 31, 'fold', 'gprof', 'V3', 'V3', 0.8871048670346212, 1.3558263778686523]
['CV', 162, 'UV', 85, 'tr', 'elfedit', 'V3', 'V0', 0.15316541865214428, 0.03452944755554199]
['BV', 83, 'CV', 248, 'git', 'pathchk', 'V2', 'V0', 0.984823933920879, 7.921153783798218]
['BV', 22, 'CV', 260, 'cmp', 'ln', 'V3', 'V0', 0.14954682779456197, 0.032166481018066406]
['CV', 88, 'BV', 11, 'stat', 'bash', 'V3', 'V1', 0.8848229265859521, 3.9131901264190674]
['CV', 70, 'UV', 86, 'vdir', 'size', 'V2', 'V0', 0.7610901281196771, 1.586982011795044]
['BV', 20, 'CV', 72, 'sort', 'id', 'V1', 'V2', 0.3262032085561497, 0.04297900199890137]
['BV', 66, 'UV', 28, 'lua', 'strings', 'V1', 'V3', 0.274112913059383, 3.0290470123291016]
['CV', 121, 'BV', 33, 'echo', 'openssl', 'V3', 'V0', 0.9732487070992007, 7.705509185791016]
['BV', 13, 'CV', 223, 'cp', 'tsort', 'V2', 'V0', 0.6020551144325081, 0.06413030624389648]
['CV', 287, 'UV', 55, 'date', 'ranlib', 'V1', 'V1', 0.8929553980825344, 1.4216728210449219]
['CV', 22, 'UV', 17, 'kill', 'addr2line', 'V2', 'V2', 0.9028412655731828, 1.2486844062805176]
['BV', 11, 'CV', 235, 'bash', 'ginstall', 'V1', 'V0', 0.88953541231021, 3.1476941108703613]
['CV', 261, 'BV', 44, 'touch', 'make', 'V1', 'V0', 0.7343046925219627, 0.2418215274810791]
['UV', 80, 'CV', 160, 'objcopy', 'shred', 'V0', 'V3', 0.8396893634724726, 1.6106116771697998]
['CV', 72, 'UV', 9, 'id', 'readelf', 'V2', 'V2', 0.7234711143340585, 0.13817882537841797]
['CV', 336, 'BV', 40, 'tr', 'lua', 'V1', 'V2', 0.8377602297200287, 0.4644801616668701]
['BV', 18, 'CV', 84, 'sort', 'rmdir', 'V3', 'V2', 0.5596196049743964, 0.09445714950561523]
['BV', 20, 'UV', 18, 'sort', 'ar', 'V1', 'V2', 0.8207242159715487, 1.588987112045288]
['CV', 66, 'BV', 32, 'link', 'perl', 'V2', 'V0', 0.9597880037015226, 2.6097021102905273]
['UV', 56, 'CV', 55, 'c++filt', 'nohup', 'V1', 'V2', 0.8983203089912871, 1.0764317512512207]
['BV', 27, 'CV', 328, 'libSDL2-2.0.so', 'uname', 'V1', 'V1', 0.9593250642529891, 4.438079833984375]
['BV', 0, 'CV', 241, 'bash', 'uname', 'V2', 'V0', 0.9682153790743742, 2.8515894412994385]
['UV', 59, 'CV', 321, 'ld', 'hostid', 'V1', 'V1', 0.9553626782393057, 1.852407693862915]
['CV', 58, 'UV', 61, 'readlink', 'addr2line', 'V2', 'V1', 0.8853469531525185, 1.264998435974121]
['BV', 23, 'CV', 200, 'diff', 'date', 'V3', 'V0', 0.5557851239669421, 0.10976147651672363]
['BV', 65, 'CV', 182, 'ssh', 'du', 'V1', 'V0', 0.9302057613168724, 4.7043797969818115]
['CV', 113, 'UV', 41, 'date', 'cmp', 'V3', 'V3', 0.22087506589351613, 0.0518343448638916]
['UV', 10, 'CV', 268, 'as', 'dir', 'V2', 'V1', 0.851250621169455, 2.4339241981506348]
['CV', 129, 'UV', 65, 'dircolors', 'objdump', 'V3', 'V1', 0.9071207430340558, 2.1314444541931152]
['BV', 61, 'CV', 311, 'cmp', 'cksum', 'V0', 'V1', 0.1268758526603001, 0.013559818267822266]
['BV', 58, 'CV', 68, 'ruby', 'cat', 'V3', 'V2', 0.8075313807531381, 0.016000747680664062]
['UV', 55, 'CV', 0, 'ranlib', 'touch', 'V1', 'V2', 0.8801026745052579, 1.2672309875488281]
['UV', 41, 'BV', 12, 'cmp', 'sort', 'V3', 'V2', 0.359660297239915, 0.0801386833190918]
['UV', 27, 'CV', 143, 'c++filt', 'yes', 'V3', 'V3', 0.8921451538814883, 1.1025867462158203]
['BV', 23, 'CV', 4, 'diff', 'basename', 'V3', 'V2', 0.6453022578295703, 0.08948636054992676]
['CV', 279, 'BV', 27, 'pwd', 'libSDL2-2.0.so', 'V1', 'V1', 0.9488718461709459, 4.855581998825073]
['CV', 201, 'UV', 77, 'expr', 'ranlib', 'V0', 'V0', 0.7917114732401357, 1.4486491680145264]
['CV', 274, 'UV', 26, 'join', 'ranlib', 'V1', 'V3', 0.8937132133412949, 1.397127389907837]
['CV', 254, 'BV', 25, 'uniq', 'git', 'V0', 'V3', 0.9832318966588002, 12.484530210494995]
['BV', 75, 'CV', 7, 'cmp', 'dir', 'V2', 'V2', 0.36566849430619985, 0.09418535232543945]
['CV', 47, 'BV', 63, 'od', 'ruby', 'V2', 'V0', 0.9650022867823977, 14.00110387802124]
['CV', 149, 'BV', 81, 'unexpand', 'dot', 'V3', 'V1', 0.5287846481876333, 0.01782822608947754]
['UV', 28, 'BV', 27, 'strings', 'libSDL2-2.0.so', 'V3', 'V1', 0.2937258272453803, 15.186650276184082]
['UV', 27, 'CV', 113, 'c++filt', 'date', 'V3', 'V3', 0.8003671007779041, 1.1962039470672607]
['CV', 122, 'UV', 46, 'sum', 'diff', 'V3', 'V1', 0.5433255269320844, 0.13006305694580078]
['UV', 35, 'CV', 241, 'size', 'uname', 'V3', 'V0', 0.9347806004618938, 1.081096887588501]
['UV', 59, 'CV', 235, 'ld', 'ginstall', 'V1', 'V0', 0.8569325875772741, 2.1922409534454346]
['UV', 14, 'CV', 295, 'objcopy', 'echo', 'V2', 'V1', 0.9459704195593118, 1.384916067123413]
