['UO', 76, 'CO', 404, 'addr2line', 'sha512sum', 'O0', 'O0', 0.8946877368942795, 3.054441213607788]
['CO', 219, 'UO', 8, 'groups', 'c++filt', 'O2', 'O1', 0.9024692450659351, 1.5013365745544434]
['CO', 61, 'UO', 17, 'cksum', 'objdump', 'O3', 'O1', 0.9290637081862498, 2.8848111629486084]
['CO', 243, 'UO', 36, 'base32', 'addr2line', 'O2', 'O2', 0.8954153427144802, 1.3558268547058105]
['CO', 213, 'UO', 32, 'basename', 'strings', 'O2', 'O2', 0.9111560746804009, 1.3030474185943604]
['CO', 205, 'BO', 23, 'rmdir', 'git', 'O1', 'O2', 0.9742208466375443, 9.606027364730835]
['CO', 193, 'UO', 13, 'pathchk', 'addr2line', 'O1', 'O1', 0.9001394214011851, 1.5484046936035156]
['CO', 290, 'UO', 64, 'shuf', 'diff', 'O2', 'O3', 0.41648386085866496, 0.14732933044433594]
['BO', 6, 'UO', 80, 'codeblocks', 'objdump', 'O0', 'O0', 0.3721172521126217, 75.4346375465393]
['CO', 164, 'BO', 31, 'base64', 'bash', 'O1', 'O2', 0.9435222755030944, 4.249299049377441]
['CO', 369, 'UO', 22, 'od', 'diff3', 'O0', 'O2', 0.15236258437801353, 0.08101987838745117]
['UO', 35, 'CO', 295, 'gprof', 'id', 'O2', 'O2', 0.890583109919571, 1.319260835647583]
['BO', 52, 'CO', 292, 'svn', 'vdir', 'O3', 'O2', 0.505249343832021, 0.8972904682159424]
['CO', 251, 'BO', 53, 'chroot', 'bash', 'O2', 'O0', 0.9530342443787193, 5.676206350326538]
['UO', 58, 'CO', 117, 'objdump', 'printenv', 'O3', 'O1', 0.9376677950274308, 2.1000773906707764]
['CO', 132, 'UO', 66, 'factor', 'nm', 'O1', 'O0', 0.8852916073968705, 3.5218513011932373]
['UO', 8, 'CO', 261, 'c++filt', 'chmod', 'O1', 'O2', 0.8303814713896458, 1.423285722732544]
['UO', 11, 'CO', 143, 'ld', 'paste', 'O1', 'O1', 0.926193668745992, 2.706913948059082]
['CO', 372, 'BO', 19, 'base64', 'libvlccore.so.9.0.0', 'O0', 'O1', 0.9335831605804497, 7.598687410354614]
['BO', 12, 'UO', 50, 'libgeany.so.0.0.0', 'strings', 'O0', 'O3', 0.6075820513241499, 51.4447238445282]
['CO', 141, 'BO', 74, 'truncate', 'dot', 'O1', 'O1', 0.48271752085816444, 0.0204160213470459]
['UO', 1, 'CO', 162, 'xargs', 'df', 'O1', 'O1', 0.10516934046345816, 0.15535521507263184]
['UO', 36, 'CO', 309, 'addr2line', 'rmdir', 'O2', 'O2', 0.896965291659095, 1.1980302333831787]
['CO', 9, 'BO', 5, 'du', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9372430074576695, 53.21687388420105]
['CO', 40, 'UO', 29, 'sync', 'as', 'O3', 'O2', 0.92746949113516, 2.454451560974121]
['CO', 221, 'BO', 5, 'printenv', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9810065869412291, 41.1177237033844]
['CO', 137, 'UO', 16, 'chown', 'size', 'O1', 'O1', 0.7987639060568603, 1.8799176216125488]
['UO', 79, 'CO', 76, 'size', 'md5sum', 'O0', 'O3', 0.9115323854660348, 2.853231906890869]
['CO', 289, 'UO', 63, 'cat', 'cmp', 'O2', 'O3', 0.17701863354037273, 0.0346980094909668]
['UO', 69, 'CO', 299, 'as', 'comm', 'O0', 'O2', 0.9512253436939629, 4.921904802322388]
['BO', 46, 'CO', 154, 'ruby', 'dircolors', 'O3', 'O1', 0.9784477502743568, 17.657689094543457]
['BO', 79, 'CO', 224, 'bash', 'dirname', 'O3', 'O2', 0.9635757647899059, 3.223708152770996]
['UO', 52, 'CO', 79, 'ld', 'link', 'O3', 'O3', 0.9285326905694486, 2.0740420818328857]
['CO', 194, 'UO', 59, 'tr', 'locate', 'O1', 'O3', 0.4739419377404688, 0.14390301704406738]
['CO', 343, 'UO', 35, 'date', 'gprof', 'O0', 'O2', 0.7916633584755856, 1.8696215152740479]
['UO', 31, 'CO', 295, 'c++filt', 'id', 'O2', 'O2', 0.8807414847959091, 1.206653356552124]
['CO', 47, 'UO', 15, 'numfmt', 'elfedit', 'O3', 'O1', 0.14880587875076545, 0.04391932487487793]
['CO', 123, 'BO', 67, 'dd', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.8870269252494822, 8.98305892944336]
['CO', 64, 'UO', 8, 'tty', 'c++filt', 'O3', 'O1', 0.8979339572664665, 1.437894582748413]
['BO', 36, 'UO', 43, 'cluster', 'find', 'O2', 'O2', 0.3148315476958823, 0.892719030380249]
['UO', 60, 'CO', 207, 'xargs', 'ln', 'O3', 'O1', 0.10536182977127861, 0.13954854011535645]
['CO', 9, 'BO', 50, 'du', 'perl', 'O3', 'O2', 0.8925118318283441, 4.984551668167114]
['CO', 7, 'BO', 33, 'fmt', 'sort', 'O3', 'O2', 0.46089597570235386, 0.11611342430114746]
