['CV', 156, 'BV', 40, 'csplit', 'lua', 'V3', 'V2', 0.7277755294752462, 0.5476963520050049]
['CV', 58, 'UV', 76, 'readlink', 'as', 'V2', 'V0', 0.9215757137694254, 2.2330527305603027]
['BV', 69, 'CV', 237, 'gvmap', 'mv', 'V0', 'V0', 0.34556733005944684, 0.18705272674560547]
['CV', 159, 'UV', 76, 'id', 'as', 'V3', 'V0', 0.9089277166108186, 2.267012357711792]
['BV', 76, 'CV', 238, 'diff', 'md5sum', 'V2', 'V0', 0.6329670329670329, 0.09842920303344727]
['UV', 17, 'BV', 0, 'addr2line', 'bash', 'V2', 'V2', 0.3535135800948451, 9.873480558395386]
['UV', 58, 'CV', 142, 'objcopy', 'nohup', 'V1', 'V3', 0.9050772626931567, 1.6422793865203857]
['CV', 89, 'UV', 12, 'unlink', 'c++filt', 'V3', 'V2', 0.8930249367546079, 1.2880520820617676]
['BV', 61, 'CV', 124, 'cmp', 'seq', 'V0', 'V3', 0.3627362736273627, 0.024709701538085938]
['BV', 82, 'CV', 153, 'gvmap', 'link', 'V1', 'V3', 0.6660017098888572, 0.1457986831665039]
['CV', 131, 'BV', 51, 'true', 'cp', 'V3', 'V0', 0.35144927536231885, 0.04508209228515625]
['CV', 302, 'UV', 9, 'nice', 'readelf', 'V1', 'V2', 0.7986373959121877, 0.1328730583190918]
['UV', 35, 'CV', 171, 'size', 'rmdir', 'V3', 'V3', 0.8741834451901566, 1.2425155639648438]
['CV', 60, 'UV', 19, 'hostid', 'elfedit', 'V2', 'V2', 0.22541340295909484, 0.026118755340576172]
['BV', 63, 'CV', 75, 'ruby', 'tr', 'V0', 'V2', 0.9729664976240866, 12.786366939544678]
['BV', 59, 'CV', 302, 'make', 'nice', 'V1', 'V1', 0.83399209486166, 0.44942307472229004]
['BV', 25, 'CV', 219, 'git', 'cp', 'V3', 'V0', 0.9658950997291308, 12.325732231140137]
['CV', 189, 'BV', 52, 'uptime', 'libSDL2-2.0.so', 'V0', 'V2', 0.949671772428884, 5.673404932022095]
['UV', 22, 'CV', 218, 'nm', 'true', 'V3', 'V0', 0.9414340448823207, 1.155296802520752]
['UV', 19, 'BV', 40, 'elfedit', 'lua', 'V2', 'V2', 0.8094430308170766, 0.5104537010192871]
['UV', 25, 'BV', 53, 'as', 'ssh', 'V3', 'V2', 0.2759352268791133, 17.718729496002197]
['UV', 85, 'BV', 74, 'elfedit', 'git', 'V0', 'V1', 0.9683006535947712, 7.092758417129517]
['CV', 184, 'UV', 85, 'ptx', 'elfedit', 'V0', 'V0', 0.32420091324200917, 0.04883551597595215]
['CV', 274, 'BV', 38, 'join', 'ruby', 'V1', 'V2', 0.7426573426573426, 0.011079549789428711]
['CV', 79, 'UV', 5, 'fold', 'diff', 'V2', 'V2', 0.6117136659436009, 0.10505056381225586]
['BV', 52, 'CV', 33, 'libSDL2-2.0.so', 'sync', 'V2', 'V2', 0.9526219671275763, 5.217997312545776]
['BV', 14, 'CV', 122, 'openssl', 'sum', 'V3', 'V3', 0.9193365612444627, 7.402055501937866]
['BV', 46, 'CV', 239, 'cluster', 'env', 'V3', 'V0', 0.7736825088910443, 0.12569952011108398]
['UV', 42, 'CV', 52, 'diff', 'logname', 'V3', 'V2', 0.6501095690284879, 0.09411311149597168]
['BV', 76, 'UV', 16, 'diff', 'gprof', 'V2', 'V2', 0.6743608473338203, 2.161564588546753]
['CV', 211, 'UV', 3, 'seq', 'diff3', 'V0', 'V2', 0.4119318181818181, 0.035762786865234375]
['BV', 45, 'CV', 245, 'svn', '[', 'V3', 'V0', 0.8618336886993604, 0.7469532489776611]
['BV', 80, 'CV', 96, 'cluster', 'users', 'V1', 'V3', 0.6100702576112412, 0.1493220329284668]
['UV', 86, 'CV', 322, 'size', 'ginstall', 'V0', 'V1', 0.8075402858011553, 1.2996351718902588]
['BV', 5, 'CV', 334, 'libvlccore.so', 'shred', 'V0', 'V1', 0.9108568961795812, 3.767549753189087]
['CV', 343, 'BV', 28, 'sort', 'openssl', 'V1', 'V1', 0.9512237992705541, 10.44961428642273]
['CV', 55, 'UV', 22, 'nohup', 'nm', 'V2', 'V3', 0.898991701615062, 1.3476529121398926]
['UV', 79, 'CV', 227, 'strings', 'tty', 'V0', 'V0', 0.933212479725217, 1.0165414810180664]
['CV', 14, 'BV', 73, 'dirname', 'geany', 'V2', 'V0', 0.978204088984959, 21.546756982803345]
['CV', 101, 'UV', 77, 'dirname', 'ranlib', 'V3', 'V0', 0.8993335671694143, 1.3308324813842773]
['CV', 81, 'UV', 10, 'sleep', 'as', 'V2', 'V2', 0.9384828862164662, 2.426273822784424]
['CV', 292, 'BV', 51, 'sha1sum', 'cp', 'V1', 'V0', 0.39021329987452946, 0.04667854309082031]
['UV', 18, 'CV', 233, 'ar', 'head', 'V2', 'V0', 0.9091371418884556, 1.3323845863342285]
['BV', 4, 'UV', 87, 'geany', 'objdump', 'V3', 'V0', 0.5925925925925926, 50.95598649978638]
['UV', 42, 'CV', 157, 'diff', 'vdir', 'V3', 'V3', 0.07583693919380552, 0.2407846450805664]
['BV', 80, 'UV', 71, 'cluster', 'xargs', 'V1', 'V0', 0.6368515205724508, 0.15043234825134277]
['BV', 16, 'UV', 35, 'libvlc.so', 'size', 'V3', 'V3', 0.3823412960274515, 3.087923765182495]
['UV', 56, 'CV', 221, 'c++filt', 'od', 'V1', 'V0', 0.888650580875782, 1.1479089260101318]
['CV', 83, 'BV', 57, 'tac', 'svn', 'V2', 'V2', 0.5751477399776393, 0.6779365539550781]
['CV', 151, 'BV', 26, 'md5sum', 'geany', 'V3', 'V2', 0.9717303916986071, 32.50184464454651]
['CV', 184, 'BV', 75, 'ptx', 'cmp', 'V0', 'V2', 0.26146341463414635, 0.05384564399719238]
['BV', 64, 'CV', 36, 'openssl', 'chroot', 'V2', 'V2', 0.9295838530445629, 6.061337471008301]
['UV', 80, 'CV', 146, 'objcopy', 'head', 'V0', 'V3', 0.8853123001492219, 1.539731740951538]
['CV', 309, 'UV', 55, 'df', 'ranlib', 'V1', 'V1', 0.8802583636965883, 1.5156240463256836]
['CV', 220, 'BV', 67, 'cut', 'cluster', 'V0', 'V0', 0.6640491635370434, 0.12626385688781738]
['CV', 329, 'UV', 52, 'cat', 'strip', 'V1', 'V1', 0.9412343596232251, 1.7325925827026367]
['BV', 71, 'CV', 6, 'ruby', 'fmt', 'V1', 'V2', 0.7186544342507645, 0.009763717651367188]
['UV', 29, 'CV', 232, 'objcopy', 'readlink', 'V3', 'V0', 0.9363553113553114, 1.459367036819458]
['CV', 81, 'BV', 27, 'sleep', 'libSDL2-2.0.so', 'V2', 'V1', 0.9411048378168936, 5.174226999282837]
['CV', 252, 'UV', 45, 'rm', 'cmp', 'V0', 'V1', 0.038943894389438904, 0.04278922080993652]
['CV', 162, 'BV', 23, 'tr', 'diff', 'V3', 'V3', 0.4817973105936373, 0.12967252731323242]
['CV', 162, 'BV', 44, 'tr', 'make', 'V3', 'V0', 0.6745916890634691, 0.2559216022491455]
['CV', 212, 'UV', 34, 'split', 'elfedit', 'V0', 'V3', 0.19047619047619047, 0.03204774856567383]
['BV', 75, 'UV', 36, 'cmp', 'objdump', 'V2', 'V3', 0.9125771293466352, 2.737654685974121]
['BV', 76, 'UV', 20, 'diff', 'size', 'V2', 'V2', 0.6537206773341618, 2.010842800140381]
['CV', 256, 'BV', 56, 'sort', 'ssh', 'V0', 'V3', 0.8820893611573422, 2.15285587310791]
['BV', 35, 'UV', 68, 'libvlccore.so', 'diff', 'V2', 'V0', 0.8282568476151798, 5.131779432296753]
['CV', 9, 'BV', 61, 'users', 'cmp', 'V2', 'V0', 0.2585258525852585, 0.018453121185302734]
['UV', 13, 'CV', 308, 'strings', 'od', 'V2', 'V1', 0.8867452661664881, 1.2208497524261475]
['BV', 1, 'CV', 241, 'libSDL2-2.0.so', 'uname', 'V3', 'V0', 0.9676265590608951, 6.656300067901611]
['CV', 346, 'UV', 27, 'mknod', 'c++filt', 'V1', 'V3', 0.9212686567164179, 1.2413294315338135]
['BV', 2, 'UV', 79, 'cmp', 'strings', 'V1', 'V0', 0.8619739018562764, 1.2701857089996338]
['CV', 209, 'BV', 79, 'sum', 'bash', 'V0', 'V3', 0.9580606269376507, 3.6175262928009033]
['UV', 23, 'CV', 207, 'strip', 'sync', 'V3', 'V0', 0.9475017269168777, 1.5320897102355957]
['CV', 299, 'UV', 46, 'split', 'diff', 'V1', 'V1', 0.6664556962025316, 0.12066316604614258]
