['BV', 63, 'CV', 60, 'ruby', 'hostid', 'V0', 'V2', 0.9809558174965921, 11.40119981765747]
['UV', 38, 'CV', 114, 'xargs', 'expr', 'V3', 'V3', 0.25251601097895704, 0.08267998695373535]
['CV', 85, 'BV', 7, 'mknod', 'libSDL2-2.0.so', 'V2', 'V0', 0.9262647262647262, 4.057481527328491]
['BV', 51, 'CV', 99, 'cp', 'stty', 'V0', 'V3', 0.14414414414414412, 0.05614924430847168]
['UV', 6, 'CV', 102, 'sdiff', 'uptime', 'V2', 'V3', 0.1566523605150214, 0.054712533950805664]
['BV', 46, 'CV', 39, 'cluster', 'whoami', 'V3', 'V2', 0.7020749458036544, 0.12534761428833008]
['UV', 41, 'CV', 12, 'cmp', 'stty', 'V3', 'V2', 0.09827357237715806, 0.038578033447265625]
['CV', 222, 'BV', 48, 'df', 'gvmap', 'V0', 'V3', 0.6063859069639417, 0.17061138153076172]
['BV', 12, 'CV', 112, 'sort', 'expand', 'V2', 'V3', 0.3944396177237185, 0.06962180137634277]
['UV', 31, 'CV', 214, 'gprof', 'ls', 'V3', 'V0', 0.7946641257741782, 1.4708774089813232]
['BV', 51, 'UV', 55, 'cp', 'ranlib', 'V0', 'V1', 0.8221651552844876, 1.5857329368591309]
['UV', 44, 'CV', 267, 'diff3', 'fmt', 'V1', 'V1', 0.3778705636743215, 0.03331708908081055]
['UV', 0, 'CV', 258, 'locate', 'rmdir', 'V2', 'V0', 0.580568720379147, 0.04678606986999512]
['UV', 83, 'CV', 263, 'addr2line', 'unlink', 'V0', 'V1', 0.9316693556040618, 0.9560396671295166]
['CV', 99, 'UV', 22, 'stty', 'nm', 'V3', 'V3', 0.8456335096695863, 1.3874878883361816]
['UV', 1, 'CV', 187, 'xargs', 'join', 'V2', 'V0', 0.3538461538461539, 0.05194091796875]
['BV', 9, 'UV', 6, 'dot', 'sdiff', 'V2', 'V2', 0.6448748991121872, 0.028496742248535156]
['CV', 0, 'UV', 84, 'touch', 'ar', 'V2', 'V0', 0.8746754370780682, 1.3395683765411377]
['CV', 47, 'UV', 26, 'od', 'ranlib', 'V2', 'V3', 0.8530884808013356, 1.4740781784057617]
['BV', 74, 'CV', 76, 'git', 'comm', 'V1', 'V2', 0.9718909312005987, 5.634687423706055]
