['BV', 68, 'CV', 149, 'dot', 'unexpand', 'V0', 'V3', 0.5287846481876333, 0.01891350746154785]
['BV', 15, 'CV', 257, 'libvlccore.so', 'tac', 'V3', 'V0', 0.8869448183041723, 4.604628801345825]
['UV', 6, 'CV', 39, 'sdiff', 'whoami', 'V2', 'V2', 0.36442371752165226, 0.03922915458679199]
['UV', 50, 'BV', 58, 'find', 'ruby', 'V1', 'V3', 0.9484593837535014, 0.15386462211608887]
['BV', 33, 'CV', 188, 'openssl', 'dirname', 'V0', 'V0', 0.9830380344909048, 7.320507049560547]
['CV', 65, 'UV', 64, 'env', 'size', 'V2', 'V1', 0.9173066619039114, 1.237818956375122]
['BV', 18, 'CV', 104, 'sort', 'mkfifo', 'V3', 'V3', 0.5494186046511628, 0.09868717193603516]
['BV', 76, 'UV', 87, 'diff', 'objdump', 'V2', 'V0', 0.7349426244128664, 2.927349328994751]
['BV', 71, 'CV', 272, 'ruby', 'printenv', 'V1', 'V1', 0.5827664399092971, 0.005962371826171875]
['BV', 25, 'UV', 32, 'git', 'addr2line', 'V3', 'V3', 0.7190305085658147, 19.588441848754883]
['UV', 10, 'CV', 126, 'as', 'whoami', 'V2', 'V3', 0.9325609545218745, 2.2251830101013184]
['UV', 8, 'CV', 69, 'strip', 'csplit', 'V2', 'V2', 0.7876057119090532, 1.7985308170318604]
['UV', 55, 'CV', 261, 'ranlib', 'touch', 'V1', 'V1', 0.8964336423619811, 1.3187618255615234]
['CV', 124, 'UV', 33, 'seq', 'ar', 'V3', 'V3', 0.872311714598971, 1.5188992023468018]
['UV', 3, 'CV', 143, 'diff3', 'yes', 'V2', 'V3', 0.26075949367088613, 0.039348602294921875]
['CV', 192, 'BV', 2, 'pwd', 'cmp', 'V0', 'V1', 0.26, 0.028832197189331055]
['UV', 35, 'CV', 125, 'size', 'split', 'V3', 'V3', 0.8110140918129161, 1.3162257671356201]
['UV', 36, 'CV', 275, 'objdump', 'dirname', 'V3', 'V1', 0.9545052743237669, 2.2370309829711914]
