['BO', 57, 'CO', 315, 'libvlccore.so.9.0.0', 'unlink', 'O3', 'O0', 0.9507385229540918, 5.763079643249512]
['UO', 24, 'CO', 70, 'diff', 'b2sum', 'O2', 'O3', 0.41723136495643753, 0.1312868595123291]
['UO', 27, 'BO', 30, 'strip', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.3272903852379411, 21.356043815612793]
['CO', 375, 'BO', 67, 'logname', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.9398838334946757, 7.875867605209351]
['BO', 68, 'CO', 291, 'git', 'csplit', 'O3', 'O2', 0.9657876258094718, 8.640570402145386]
['BO', 31, 'UO', 27, 'bash', 'strip', 'O2', 'O2', 0.3106574717696513, 8.40121865272522]
['BO', 13, 'CO', 80, 'ruby', 'uname', 'O1', 'O3', 0.9820744201670407, 17.169884204864502]
['CO', 230, 'UO', 34, 'pwd', 'ld', 'O2', 'O2', 0.9304222648752399, 2.663778781890869]
['CO', 126, 'UO', 50, 'pwd', 'strings', 'O1', 'O3', 0.8763992968822277, 1.1989023685455322]
['UO', 60, 'CO', 249, 'xargs', 'echo', 'O3', 'O2', 0.4951786727169597, 0.07046294212341309]
['CO', 106, 'BO', 68, 'stat', 'git', 'O1', 'O3', 0.9500406331024341, 11.803741455078125]
['CO', 138, 'BO', 63, 'tail', 'cluster', 'O1', 'O0', 0.5657294832826748, 0.3425755500793457]
['CO', 307, 'UO', 43, 'sort', 'find', 'O2', 'O2', 0.4707145925819849, 0.7658624649047852]
['UO', 78, 'CO', 289, 'elfedit', 'cat', 'O0', 'O2', 0.22997032640949555, 0.041463613510131836]
['CO', 296, 'BO', 58, 'shred', 'svn', 'O2', 'O1', 0.6990528567063856, 0.8634946346282959]
['CO', 98, 'UO', 53, 'sleep', 'gprof', 'O3', 'O3', 0.8946734360209965, 1.2314865589141846]
['CO', 94, 'BO', 51, 'rm', 'lua', 'O3', 'O1', 0.7027184692567962, 0.731663703918457]
['BO', 22, 'CO', 16, 'perl', 'dirname', 'O0', 'O3', 0.9641966067864272, 4.798102855682373]
['CO', 332, 'BO', 68, 'mkfifo', 'git', 'O0', 'O3', 0.938227205415697, 12.495485067367554]
['UO', 57, 'BO', 39, 'size', 'codeblocks', 'O3', 'O3', 0.5792293426746342, 49.137404918670654]
['UO', 14, 'CO', 195, 'ar', 'comm', 'O1', 'O1', 0.8840296441078264, 1.5115242004394531]
['UO', 85, 'CO', 125, 'locate', 'mktemp', 'O0', 'O1', 0.5737959606421543, 0.2673819065093994]
['BO', 11, 'CO', 82, 'ssh', 'shuf', 'O1', 'O3', 0.87181067422655, 1.992887020111084]
['CO', 167, 'BO', 37, 'logname', 'gvmap', 'O1', 'O2', 0.6780459093584461, 0.16707277297973633]
['CO', 210, 'BO', 42, 'stat', 'cmp', 'O2', 'O1', 0.24269889224572005, 0.0734705924987793]
['UO', 44, 'CO', 255, 'nm', 'numfmt', 'O3', 'O2', 0.8638527166591827, 1.1080145835876465]
['BO', 11, 'CO', 310, 'ssh', 'mknod', 'O1', 'O2', 0.9327987781596029, 1.8639049530029297]
['UO', 87, 'CO', 235, 'find', 'wc', 'O0', 'O2', 0.8075956067222443, 0.8132922649383545]
['UO', 15, 'CO', 262, 'elfedit', 'true', 'O1', 'O2', 0.2877637130801688, 0.03160881996154785]
['UO', 78, 'CO', 167, 'elfedit', 'logname', 'O0', 'O1', 0.20879120879120883, 0.04242277145385742]
['UO', 84, 'CO', 346, 'sdiff', 'tail', 'O0', 'O0', 0.15812119039082106, 0.15362143516540527]
['BO', 6, 'UO', 39, 'codeblocks', 'size', 'O0', 'O2', 0.670583799409288, 50.5291965007782]
['BO', 82, 'CO', 411, 'cp', 'sort', 'O3', 'O0', 0.1770456960680128, 0.34036803245544434]
['UO', 8, 'CO', 95, 'c++filt', 'sha224sum', 'O1', 'O3', 0.8687298965487265, 1.3560264110565186]
['CO', 393, 'BO', 6, 'cat', 'codeblocks', 'O0', 'O0', 0.970900059311981, 45.64872646331787]
['CO', 129, 'BO', 28, 'chgrp', 'ruby', 'O1', 'O0', 0.9643324755067949, 22.593047380447388]
['CO', 372, 'UO', 11, 'base64', 'ld', 'O0', 'O1', 0.9037741284932296, 3.197688102722168]
['CO', 156, 'UO', 32, 'sha256sum', 'strings', 'O1', 'O2', 0.8692093190608977, 1.4214954376220703]
['UO', 47, 'CO', 85, 'as', '[', 'O3', 'O3', 0.9080272425635951, 1.9032351970672607]
['UO', 55, 'CO', 382, 'ar', 'b2sum', 'O3', 'O0', 0.8213895656557171, 1.2871184349060059]
['CO', 47, 'UO', 71, 'numfmt', 'c++filt', 'O3', 'O0', 0.8972187922620097, 3.1370248794555664]
['BO', 48, 'CO', 3, 'libvlccore.so.9.0.0', 'unlink', 'O0', 'O3', 0.9655202744304688, 14.432403326034546]
['UO', 46, 'CO', 243, 'readelf', 'base32', 'O3', 'O2', 0.8207282913165266, 0.28284168243408203]
['UO', 71, 'CO', 10, 'c++filt', 'users', 'O0', 'O3', 0.9197953233771643, 2.7422056198120117]
['CO', 258, 'UO', 31, 'dircolors', 'c++filt', 'O2', 'O2', 0.8869445716903344, 1.292712926864624]
['UO', 10, 'CO', 330, 'objcopy', 'uptime', 'O1', 'O0', 0.867948717948718, 1.8923497200012207]
['UO', 20, 'CO', 217, 'diff', 'du', 'O1', 'O2', 0.14498510427010924, 0.24804472923278809]
['CO', 142, 'BO', 13, 'sha1sum', 'ruby', 'O1', 'O1', 0.9781177617944654, 19.482635259628296]
['UO', 58, 'CO', 352, 'objdump', 'sync', 'O3', 'O0', 0.9230769230769231, 2.0542688369750977]
['BO', 47, 'UO', 43, 'libvlc.so.12.0.0', 'find', 'O0', 'O2', 0.15773145904023267, 1.8423516750335693]
['UO', 49, 'BO', 50, 'c++filt', 'perl', 'O3', 'O2', 0.5284682487571523, 9.837753772735596]
['CO', 366, 'BO', 25, 'true', 'dot', 'O0', 'O3', 0.4907749077490775, 0.021893978118896484]
['CO', 24, 'UO', 83, 'tee', 'diff', 'O3', 'O0', 0.5671424410136906, 0.20795583724975586]
['BO', 49, 'CO', 357, 'svn', 'split', 'O0', 'O0', 0.6648590021691974, 0.8389797210693359]
['BO', 46, 'CO', 337, 'ruby', 'chgrp', 'O3', 'O0', 0.9573255322998975, 18.48532795906067]
['BO', 23, 'CO', 278, 'git', 'b2sum', 'O2', 'O2', 0.9702070259808809, 8.719522953033447]
['UO', 2, 'CO', 364, 'find', 'sha256sum', 'O1', 'O0', 0.7092667203867848, 0.5476021766662598]
['BO', 35, 'CO', 259, 'make', 'realpath', 'O3', 'O2', 0.7371115173674588, 0.29561495780944824]
['CO', 90, 'UO', 11, 'tr', 'ld', 'O3', 'O1', 0.9087232813402657, 3.010690212249756]
['CO', 337, 'BO', 57, 'chgrp', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.8906600634527586, 8.522639989852905]
['CO', 149, 'UO', 3, 'split', 'nm', 'O1', 'O1', 0.8384022540813789, 1.7888116836547852]
['UO', 10, 'CO', 1, 'objcopy', 'touch', 'O1', 'O3', 0.8406793935991016, 1.807032585144043]
['UO', 69, 'CO', 270, 'as', 'printf', 'O0', 'O2', 0.947113090504215, 4.931934833526611]
['CO', 254, 'UO', 81, 'whoami', 'diff3', 'O2', 'O0', 0.4584543869843114, 0.0655052661895752]
['CO', 374, 'UO', 69, 'printf', 'as', 'O0', 'O0', 0.9339626367550061, 5.769577741622925]
['UO', 4, 'CO', 291, 'strip', 'csplit', 'O1', 'O2', 0.8746247319513939, 1.7920794486999512]
['UO', 29, 'BO', 66, 'as', 'svn', 'O2', 'O2', 0.5007390817469205, 4.621169567108154]
['BO', 67, 'CO', 342, 'libSDL2-2.0.so.0.16.0', 'expand', 'O1', 'O0', 0.9258084666762769, 7.407062768936157]
['BO', 71, 'CO', 363, 'libSDL2-2.0.so.0.16.0', 'realpath', 'O0', 'O0', 0.9197001249479384, 9.325461626052856]
['UO', 43, 'CO', 21, 'find', 'mktemp', 'O2', 'O3', 0.7107744107744107, 0.4782729148864746]
['UO', 67, 'CO', 69, 'strip', 'who', 'O0', 'O3', 0.9159980188211986, 3.5243101119995117]
['CO', 123, 'UO', 82, 'dd', 'cmp', 'O1', 'O0', 0.159488878371983, 0.08412790298461914]
['UO', 58, 'CO', 376, 'objdump', 'tty', 'O3', 'O0', 0.9274310595065312, 2.058701753616333]
