['BO', 50, 'CO', 318, 'perl', 'mkdir', 'O2', 'O0', 0.8947674418604651, 4.027588367462158]
['UO', 77, 'CO', 125, 'ar', 'mktemp', 'O0', 'O1', 0.9078593819973131, 3.5510997772216797]
['CO', 301, 'UO', 84, 'nl', 'sdiff', 'O2', 'O0', 0.3374439461883407, 0.06864547729492188]
['BO', 61, 'CO', 384, 'git', 'head', 'O1', 'O0', 0.9626484907497566, 8.935754776000977]
['BO', 16, 'CO', 139, 'make', 'base32', 'O0', 'O1', 0.7633115767777396, 0.32875561714172363]
['CO', 106, 'BO', 10, 'stat', 'openssl', 'O1', 'O3', 0.8921245038646334, 14.64881944656372]
['CO', 7, 'UO', 75, 'fmt', 'gprof', 'O3', 'O0', 0.9188340807174888, 3.3804657459259033]
['CO', 292, 'BO', 46, 'vdir', 'ruby', 'O2', 'O3', 0.9416613064875619, 25.323273420333862]
['CO', 63, 'UO', 42, 'logname', 'xargs', 'O3', 'O2', 0.4079999999999999, 0.07311725616455078]
['CO', 385, 'BO', 5, 'hostid', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9753535160297798, 44.70529294013977]
['CO', 46, 'UO', 86, 'whoami', 'xargs', 'O3', 'O0', 0.48517520215633425, 0.10750937461853027]
['CO', 381, 'BO', 17, 'who', 'codeblocks', 'O0', 'O2', 0.9511729334950579, 18.860506534576416]
['UO', 25, 'CO', 316, 'sdiff', 'test', 'O2', 'O0', 0.10606060606060608, 0.07122993469238281]
['UO', 16, 'CO', 279, 'size', 'readlink', 'O1', 'O2', 0.8828603467609765, 1.4266343116760254]
['CO', 171, 'BO', 31, 'nohup', 'bash', 'O1', 'O2', 0.9473532914459365, 4.3072638511657715]
['CO', 25, 'UO', 85, 'chgrp', 'locate', 'O3', 'O0', 0.45167373880245165, 0.30651044845581055]
['UO', 44, 'CO', 344, 'nm', 'expr', 'O3', 'O0', 0.8186119873817035, 1.252157211303711]
