['BV', 41, 'CV', 190, 'libvlccore.so', 'dd', 'V1', 'V0', 0.917268479184367, 3.4437708854675293]
['UV', 1, 'CV', 9, 'xargs', 'users', 'V2', 'V2', 0.3945355191256831, 0.05043673515319824]
['UV', 56, 'CV', 141, 'c++filt', 'false', 'V1', 'V3', 0.9013945119208278, 1.1040120124816895]
['UV', 12, 'CV', 155, 'c++filt', 'cat', 'V2', 'V3', 0.877262139401541, 1.1730124950408936]
['CV', 273, 'BV', 52, 'stty', 'libSDL2-2.0.so', 'V1', 'V2', 0.9411764705882353, 5.6966798305511475]
['BV', 65, 'CV', 92, 'ssh', 'mkdir', 'V1', 'V3', 0.9409408415267985, 4.706315040588379]
['CV', 189, 'BV', 40, 'uptime', 'lua', 'V0', 'V2', 0.8596542205433677, 0.4566974639892578]
['CV', 337, 'UV', 21, 'comm', 'objdump', 'V1', 'V2', 0.9378320935175345, 2.013845443725586]
['BV', 72, 'UV', 86, 'perl', 'size', 'V1', 'V0', 0.42520122791327264, 6.645220041275024]
['BV', 54, 'UV', 53, 'lua', 'readelf', 'V3', 'V1', 0.40796925566343045, 0.7929272651672363]
['UV', 73, 'CV', 45, 'nm', 'cp', 'V0', 'V2', 0.7180463576158941, 1.3945119380950928]
['UV', 68, 'CV', 63, 'diff', 'mv', 'V0', 'V2', 0.1089220377146074, 0.1613314151763916]
['BV', 34, 'UV', 64, 'svn', 'size', 'V0', 'V1', 0.4034469251860556, 3.100181818008423]
['CV', 319, 'BV', 20, 'readlink', 'sort', 'V1', 'V1', 0.4434330299089727, 0.04249882698059082]
['UV', 29, 'CV', 137, 'objcopy', 'cksum', 'V3', 'V3', 0.9049549549549549, 1.4791836738586426]
['CV', 330, 'UV', 67, 'csplit', 'cmp', 'V1', 'V0', 0.30815292491939195, 0.060752153396606445]
['BV', 71, 'UV', 34, 'ruby', 'elfedit', 'V1', 'V3', 0.7799043062200957, 0.01577591896057129]
['UV', 35, 'CV', 57, 'size', 'who', 'V3', 'V2', 0.8679985729575455, 1.203874111175537]
['UV', 49, 'CV', 114, 'xargs', 'expr', 'V1', 'V3', 0.08222490931076176, 0.04059576988220215]
['CV', 233, 'UV', 3, 'head', 'diff3', 'V0', 'V2', 0.30150425114453894, 0.0383763313293457]
['BV', 72, 'CV', 336, 'perl', 'tr', 'V1', 'V1', 0.9623910004659522, 2.7872583866119385]
['CV', 332, 'BV', 64, '[', 'openssl', 'V1', 'V2', 0.9425799086757991, 6.604015350341797]
['CV', 120, 'BV', 62, 'sync', 'diff', 'V3', 'V0', 0.3286788399570355, 0.056027889251708984]
['BV', 16, 'UV', 54, 'libvlc.so', 'as', 'V3', 'V1', 0.5613024127430312, 5.197594881057739]
['BV', 74, 'CV', 106, 'git', 'pr', 'V1', 'V3', 0.947030571718851, 6.24648118019104]
['UV', 35, 'CV', 246, 'size', 'id', 'V3', 'V0', 0.9179487179487179, 1.1477184295654297]
['BV', 16, 'CV', 132, 'libvlc.so', 'cp', 'V3', 'V3', 0.42179392142327643, 0.6586580276489258]
['BV', 65, 'CV', 231, 'ssh', 'who', 'V1', 'V0', 0.9623790875924624, 4.658103704452515]
['UV', 65, 'CV', 336, 'objdump', 'tr', 'V1', 'V1', 0.9278278086478892, 1.8853862285614014]
['CV', 16, 'BV', 69, 'dd', 'gvmap', 'V2', 'V0', 0.463359639233371, 0.16498732566833496]
['CV', 49, 'UV', 82, 'tsort', 'gprof', 'V2', 'V0', 0.9041473068318706, 1.270158052444458]
['CV', 167, 'UV', 79, 'uniq', 'strings', 'V3', 'V0', 0.8383233532934131, 1.2823596000671387]
['BV', 42, 'CV', 21, 'libvlc.so', 'chgrp', 'V1', 'V2', 0.6136140074759001, 0.36214685440063477]
['BV', 7, 'CV', 181, 'libSDL2-2.0.so', 'dir', 'V0', 'V0', 0.8339141297915708, 4.38175892829895]
['CV', 302, 'BV', 54, 'nice', 'lua', 'V1', 'V3', 0.8904899135446686, 0.4973149299621582]
['CV', 135, 'BV', 70, 'df', 'ssh', 'V3', 'V0', 0.9022430532306662, 6.114605665206909]
['UV', 22, 'CV', 29, 'nm', 'tail', 'V3', 'V2', 0.8274085522926327, 1.2971930503845215]
['UV', 31, 'CV', 234, 'gprof', 'hostid', 'V3', 'V0', 0.9399931224209078, 1.2040297985076904]
['UV', 45, 'CV', 280, 'cmp', 'pr', 'V1', 'V1', 0.06143790849673203, 0.04250311851501465]
['CV', 113, 'BV', 44, 'date', 'make', 'V3', 'V0', 0.5614643545279383, 0.284442663192749]
['BV', 36, 'CV', 39, 'libvlc.so', 'whoami', 'V2', 'V2', 0.8124031007751938, 0.4055328369140625]
['CV', 303, 'UV', 71, 'dircolors', 'xargs', 'V1', 'V0', 0.12398190045248869, 0.027744770050048828]
['BV', 45, 'CV', 168, 'svn', 'sleep', 'V3', 'V3', 0.830470604664153, 0.7613372802734375]
['UV', 42, 'CV', 112, 'diff', 'expand', 'V3', 'V3', 0.5263513513513514, 0.11060905456542969]
['UV', 79, 'BV', 14, 'strings', 'openssl', 'V0', 'V3', 0.4030317780404701, 22.072406768798828]
['UV', 42, 'CV', 23, 'diff', 'wc', 'V3', 'V2', 0.5346467391304348, 0.11350655555725098]
['BV', 22, 'CV', 161, 'cmp', 'pathchk', 'V3', 'V3', 0.18430273300630695, 0.03455376625061035]
['CV', 152, 'BV', 26, 'env', 'geany', 'V3', 'V2', 0.9756458532381648, 31.264284133911133]
['CV', 142, 'UV', 3, 'nohup', 'diff3', 'V3', 'V2', 0.18976799524092802, 0.04448986053466797]
['UV', 34, 'CV', 68, 'elfedit', 'cat', 'V3', 'V2', 0.15049751243781095, 0.04332113265991211]
['CV', 207, 'UV', 8, 'sync', 'strip', 'V0', 'V2', 0.9483227561196736, 1.5402565002441406]
['BV', 69, 'CV', 128, 'gvmap', 'nice', 'V0', 'V3', 0.6232704402515723, 0.12394261360168457]
['UV', 53, 'CV', 193, 'readelf', 'pr', 'V1', 'V0', 0.5873015873015873, 0.12458539009094238]
['UV', 84, 'CV', 311, 'ar', 'cksum', 'V0', 'V1', 0.9323757694709608, 1.1001958847045898]
['CV', 330, 'BV', 38, 'csplit', 'ruby', 'V1', 'V2', 0.8783068783068783, 0.02766728401184082]
['CV', 97, 'UV', 20, 'ptx', 'size', 'V3', 'V2', 0.8025736539112767, 1.5160448551177979]
['CV', 138, 'BV', 69, 'printf', 'gvmap', 'V3', 'V0', 0.5290284360189573, 0.14792180061340332]
['BV', 71, 'CV', 40, 'ruby', 'ls', 'V1', 'V2', 0.8920821114369502, 0.05109357833862305]
['CV', 0, 'UV', 33, 'touch', 'ar', 'V2', 'V3', 0.8775372124492558, 1.4909427165985107]
['BV', 6, 'CV', 164, 'libvlc.so', 'nl', 'V0', 'V3', 0.6736095216296636, 0.30487728118896484]
['CV', 202, 'UV', 6, 'chown', 'sdiff', 'V0', 'V2', 0.1473214285714286, 0.053284645080566406]
['BV', 35, 'CV', 113, 'libvlccore.so', 'date', 'V2', 'V3', 0.8934280639431617, 4.4565465450286865]
['CV', 286, 'BV', 47, 'expand', 'dot', 'V1', 'V3', 0.34782608695652173, 0.012125968933105469]
['CV', 166, 'BV', 4, 'fold', 'geany', 'V3', 'V3', 0.976554766329171, 36.37927579879761]
['UV', 15, 'CV', 151, 'ld', 'md5sum', 'V2', 'V3', 0.9087342306995835, 2.0493991374969482]
['BV', 2, 'UV', 86, 'cmp', 'size', 'V1', 'V0', 0.8811802863697492, 1.2705156803131104]
['UV', 62, 'BV', 36, 'ar', 'libvlc.so', 'V1', 'V2', 0.41682266317234495, 2.664163827896118]
['UV', 25, 'CV', 129, 'as', 'dircolors', 'V3', 'V3', 0.9158894547119071, 2.201047420501709]
['CV', 54, 'BV', 45, 'false', 'svn', 'V2', 'V3', 0.8771125751933544, 0.797523021697998]
['CV', 271, 'BV', 55, 'ptx', 'codeblocks', 'V1', 'V3', 0.9337562023632923, 18.789758443832397]
['CV', 208, 'UV', 25, 'echo', 'as', 'V0', 'V3', 0.959389080695184, 2.276388168334961]
['UV', 28, 'BV', 36, 'strings', 'libvlc.so', 'V3', 'V2', 0.3798048197570205, 2.5482685565948486]
['CV', 325, 'BV', 61, 'md5sum', 'cmp', 'V1', 'V0', 0.16706443914081148, 0.018791913986206055]
['BV', 44, 'UV', 33, 'make', 'ar', 'V0', 'V3', 0.4747474747474747, 2.7744717597961426]
['CV', 97, 'BV', 58, 'ptx', 'ruby', 'V3', 'V3', 0.8538522637013503, 0.02414536476135254]
['BV', 9, 'CV', 150, 'dot', 'mv', 'V2', 'V3', 0.8246297739672642, 0.08939552307128906]
['UV', 39, 'CV', 9, 'find', 'users', 'V3', 'V2', 0.7991967871485943, 0.6296279430389404]
['CV', 342, 'BV', 30, 'sleep', 'bash', 'V1', 'V0', 0.9572960838114243, 2.825359582901001]
['CV', 170, 'BV', 60, 'tac', 'codeblocks', 'V3', 'V1', 0.9571241690471741, 16.054277896881104]
['BV', 30, 'UV', 28, 'bash', 'strings', 'V0', 'V3', 0.3160929116539475, 6.459765195846558]
['CV', 340, 'BV', 4, 'fold', 'geany', 'V1', 'V3', 0.9852777002511861, 34.22511553764343]
['CV', 99, 'UV', 59, 'stty', 'ld', 'V3', 'V1', 0.8931572629051621, 2.4163589477539062]
['UV', 1, 'BV', 28, 'xargs', 'openssl', 'V2', 'V1', 0.9441756605880164, 10.794904470443726]
['BV', 50, 'CV', 258, 'sort', 'rmdir', 'V0', 'V0', 0.4447058823529412, 0.028626441955566406]
['CV', 126, 'UV', 39, 'whoami', 'find', 'V3', 'V3', 0.7901234567901234, 0.4025685787200928]
['CV', 264, 'BV', 83, 'test', 'git', 'V1', 'V2', 0.9816130050505051, 8.902197122573853]
['BV', 72, 'CV', 141, 'perl', 'false', 'V1', 'V3', 0.9635019481168204, 2.779646396636963]
['CV', 166, 'BV', 43, 'fold', 'lua', 'V3', 'V0', 0.7836181876813931, 0.4102945327758789]
['BV', 62, 'CV', 1, 'diff', 'stat', 'V0', 'V2', 0.33913043478260874, 0.0553135871887207]
['CV', 49, 'UV', 29, 'tsort', 'objcopy', 'V2', 'V3', 0.9158864391422531, 1.6039795875549316]
['CV', 154, 'BV', 48, 'uname', 'gvmap', 'V3', 'V3', 0.6695205479452054, 0.15656614303588867]
['CV', 268, 'UV', 28, 'dir', 'strings', 'V1', 'V3', 0.7733662775837097, 1.7226934432983398]
['CV', 67, 'UV', 9, 'uname', 'readelf', 'V2', 'V2', 0.7635419243136284, 0.13150858879089355]
['BV', 27, 'CV', 178, 'libSDL2-2.0.so', 'basename', 'V1', 'V0', 0.960310805522947, 4.467461109161377]
['CV', 190, 'BV', 12, 'dd', 'sort', 'V0', 'V2', 0.346218487394958, 0.08308291435241699]
['CV', 316, 'BV', 79, 'nohup', 'bash', 'V1', 'V3', 0.9598327802439339, 3.596107006072998]
['CV', 203, 'BV', 8, 'tail', 'cluster', 'V0', 'V2', 0.5899653979238755, 0.1633901596069336]
['UV', 72, 'BV', 9, 'find', 'dot', 'V0', 'V2', 0.8435326842837274, 0.12105059623718262]
['UV', 31, 'CV', 164, 'gprof', 'nl', 'V3', 'V3', 0.8789342214820982, 1.2703118324279785]
['BV', 83, 'CV', 199, 'git', 'expand', 'V2', 'V0', 0.9838830732767134, 8.015902042388916]
['BV', 57, 'CV', 311, 'svn', 'cksum', 'V2', 'V1', 0.8577358490566038, 0.4276692867279053]
['UV', 17, 'BV', 38, 'addr2line', 'ruby', 'V2', 'V2', 0.9828149808536472, 1.042975664138794]
['UV', 77, 'BV', 76, 'ranlib', 'diff', 'V0', 'V2', 0.6586262347806111, 1.5496230125427246]
['BV', 57, 'CV', 141, 'svn', 'false', 'V2', 'V3', 0.8014262205156336, 0.44620609283447266]
['BV', 2, 'CV', 14, 'cmp', 'dirname', 'V1', 'V2', 0.23238866396761138, 0.02767777442932129]
['UV', 45, 'CV', 262, 'cmp', 'stat', 'V1', 'V1', 0.19968304278922344, 0.03298807144165039]
['BV', 19, 'CV', 336, 'cp', 'tr', 'V3', 'V1', 0.5700152207001522, 0.09079313278198242]
['UV', 63, 'BV', 59, 'elfedit', 'make', 'V1', 'V1', 0.7361165813312328, 0.2864048480987549]
['BV', 80, 'CV', 328, 'cluster', 'uname', 'V1', 'V1', 0.7662588538312942, 0.12138986587524414]
['CV', 319, 'BV', 6, 'readlink', 'libvlc.so', 'V1', 'V0', 0.7906633906633906, 0.2963402271270752]
['UV', 47, 'CV', 165, 'sdiff', 'rm', 'V1', 'V3', 0.15549715286903198, 0.06874442100524902]
['UV', 30, 'BV', 15, 'ld', 'libvlccore.so', 'V3', 'V3', 0.1521924164630296, 15.82997751235962]
['CV', 51, 'BV', 59, 'printf', 'make', 'V2', 'V1', 0.7109041521148622, 0.2840721607208252]
['CV', 291, 'UV', 34, 'pinky', 'elfedit', 'V1', 'V3', 0.17009916094584288, 0.036222219467163086]
['CV', 259, 'BV', 28, 'mknod', 'openssl', 'V0', 'V1', 0.9813926507663818, 8.942716360092163]
['CV', 338, 'BV', 69, 'nl', 'gvmap', 'V1', 'V0', 0.36604774535809015, 0.16369009017944336]
['UV', 41, 'CV', 240, 'cmp', 'link', 'V3', 'V0', 0.3664259927797834, 0.025317907333374023]
['BV', 30, 'CV', 201, 'bash', 'expr', 'V0', 'V0', 0.8793830235677332, 2.667562961578369]
['CV', 266, 'BV', 63, 'mkdir', 'ruby', 'V1', 'V0', 0.9768739872366815, 13.481383323669434]
['CV', 318, 'UV', 47, 'who', 'sdiff', 'V1', 'V1', 0.2793931731984829, 0.04504132270812988]
['UV', 61, 'BV', 57, 'addr2line', 'svn', 'V1', 'V2', 0.373736080890823, 2.775607109069824]
