['CV', 84, 'BV', 36, 'rmdir', 'libvlc.so', 'V2', 'V2', 0.7728909952606635, 0.48972582817077637]
['CV', 82, 'BV', 20, 'sort', 'sort', 'V2', 'V1', 0.18185171523423094, 0.09995627403259277]
['BV', 47, 'CV', 0, 'dot', 'touch', 'V3', 'V2', 0.5342465753424658, 0.02063441276550293]
['UV', 4, 'CV', 14, 'cmp', 'dirname', 'V2', 'V2', 0.23993558776167467, 0.028117656707763672]
['CV', 39, 'UV', 23, 'whoami', 'strip', 'V2', 'V3', 0.9260664946105966, 1.6054043769836426]
['BV', 67, 'CV', 232, 'cluster', 'readlink', 'V0', 'V0', 0.7083771468629513, 0.11125516891479492]
['UV', 76, 'CV', 165, 'as', 'rm', 'V0', 'V3', 0.8520754716981133, 2.1243720054626465]
['UV', 71, 'CV', 60, 'xargs', 'hostid', 'V0', 'V2', 0.1830726770929163, 0.023427963256835938]
['CV', 116, 'BV', 66, 'tail', 'lua', 'V3', 'V1', 0.6723445506162581, 0.5428388118743896]
['CV', 216, 'UV', 25, 'dircolors', 'as', 'V0', 'V3', 0.9445960857192636, 2.41378116607666]
['UV', 41, 'CV', 38, 'cmp', 'split', 'V3', 'V2', 0.13956170703575554, 0.04737114906311035]
['UV', 69, 'CV', 318, 'sdiff', 'who', 'V0', 'V1', 0.2834695160276556, 0.04423689842224121]
['UV', 85, 'CV', 35, 'elfedit', 'sum', 'V0', 'V2', 0.14570552147239257, 0.0325016975402832]
['BV', 65, 'CV', 145, 'ssh', 'readlink', 'V1', 'V3', 0.9469996347092617, 4.838309288024902]
['BV', 74, 'UV', 49, 'git', 'xargs', 'V1', 'V1', 0.9634881825590872, 6.224953651428223]
['BV', 37, 'CV', 194, 'geany', 'tee', 'V1', 'V0', 0.9833935301507538, 26.065990924835205]
['BV', 42, 'CV', 293, 'libvlc.so', 'paste', 'V1', 'V1', 0.8206958073148974, 0.28468966484069824]
['CV', 12, 'BV', 21, 'stty', 'cp', 'V2', 'V1', 0.20895522388059695, 0.055022478103637695]
['UV', 12, 'CV', 215, 'c++filt', 'nice', 'V2', 'V0', 0.9285714285714286, 1.112220048904419]
['UV', 31, 'CV', 299, 'gprof', 'split', 'V3', 'V1', 0.9107535986452159, 1.2874071598052979]
['CV', 186, 'UV', 24, 'stty', 'readelf', 'V0', 'V3', 0.8231270876411643, 0.338456392288208]
['BV', 57, 'CV', 21, 'svn', 'chgrp', 'V2', 'V2', 0.6639648767308342, 0.5355713367462158]
['UV', 14, 'BV', 58, 'objcopy', 'ruby', 'V2', 'V3', 0.9858308948097951, 1.3615734577178955]
['UV', 19, 'CV', 113, 'elfedit', 'date', 'V2', 'V3', 0.2768299394606495, 0.04919862747192383]
['UV', 71, 'BV', 63, 'xargs', 'ruby', 'V0', 'V0', 0.9755302772835409, 14.263542413711548]
['UV', 57, 'BV', 42, 'strings', 'libvlc.so', 'V1', 'V1', 0.44691525423728806, 2.3088784217834473]
['BV', 33, 'CV', 315, 'openssl', 'false', 'V0', 'V1', 0.9843037136846087, 7.719552516937256]
['UV', 39, 'CV', 243, 'find', 'csplit', 'V3', 'V0', 0.5572374645222328, 0.4534420967102051]
['BV', 64, 'CV', 313, 'openssl', 'logname', 'V2', 'V1', 0.9581151832460733, 6.169776201248169]
['CV', 116, 'UV', 40, 'tail', 'diff3', 'V3', 'V3', 0.09964412811387902, 0.06701898574829102]
['CV', 295, 'UV', 83, 'echo', 'addr2line', 'V1', 'V0', 0.9320360702420503, 1.1550376415252686]
['CV', 287, 'BV', 44, 'date', 'make', 'V1', 'V0', 0.7261676263595649, 0.24932503700256348]
['UV', 76, 'CV', 46, 'as', 'cut', 'V0', 'V2', 0.9174179588892896, 2.027071475982666]
['CV', 210, 'BV', 64, 'chroot', 'openssl', 'V0', 'V2', 0.9577772664519097, 6.59064507484436]
['UV', 78, 'CV', 29, 'c++filt', 'tail', 'V0', 'V2', 0.8179842434121163, 1.1319329738616943]
['CV', 125, 'BV', 70, 'split', 'ssh', 'V3', 'V0', 0.925775292323335, 5.6595587730407715]
['UV', 38, 'CV', 189, 'xargs', 'uptime', 'V3', 'V0', 0.46748193440800445, 0.07217550277709961]
['CV', 203, 'UV', 2, 'tail', 'find', 'V0', 'V2', 0.65875868679607, 0.2412865161895752]
['BV', 78, 'CV', 322, 'make', 'ginstall', 'V2', 'V1', 0.5605006954102921, 0.34844398498535156]
['CV', 231, 'BV', 15, 'who', 'libvlccore.so', 'V0', 'V3', 0.9461969269063233, 5.141598701477051]
['CV', 316, 'UV', 22, 'nohup', 'nm', 'V1', 'V3', 0.9160889529125776, 1.36342453956604]
['BV', 69, 'CV', 338, 'gvmap', 'nl', 'V0', 'V1', 0.36604774535809015, 0.15663838386535645]
['CV', 252, 'BV', 44, 'rm', 'make', 'V0', 'V0', 0.6827442827442828, 0.25546765327453613]
['CV', 192, 'UV', 28, 'pwd', 'strings', 'V0', 'V3', 0.9171510286926838, 1.2806618213653564]
['UV', 15, 'BV', 34, 'ld', 'svn', 'V2', 'V0', 0.5507502206531333, 3.7760448455810547]
['BV', 8, 'CV', 212, 'cluster', 'split', 'V2', 'V0', 0.6838551258440762, 0.13573670387268066]
['UV', 65, 'CV', 228, 'objdump', 'false', 'V1', 'V0', 0.9583468500616363, 1.8366196155548096]
['CV', 28, 'UV', 22, 'chown', 'nm', 'V2', 'V3', 0.8228693790149892, 1.5408244132995605]
['CV', 258, 'UV', 33, 'rmdir', 'ar', 'V0', 'V3', 0.9381875327396543, 1.3476784229278564]
['CV', 110, 'BV', 60, 'wc', 'codeblocks', 'V3', 'V1', 0.953213258019823, 16.933715105056763]
['CV', 206, 'UV', 71, 'paste', 'xargs', 'V0', 'V0', 0.23030907278165502, 0.02304530143737793]
['CV', 296, 'BV', 1, 'sum', 'libSDL2-2.0.so', 'V1', 'V3', 0.9546303466496606, 7.774871826171875]
['BV', 26, 'CV', 90, 'geany', 'test', 'V2', 'V3', 0.9722097546379413, 28.927964687347412]
['BV', 35, 'CV', 74, 'libvlccore.so', 'pathchk', 'V2', 'V2', 0.9510573727058144, 4.514928102493286]
['UV', 45, 'CV', 52, 'cmp', 'logname', 'V1', 'V2', 0.2412672623883022, 0.05900311470031738]
['CV', 89, 'UV', 30, 'unlink', 'ld', 'V3', 'V3', 0.9290338048429633, 2.831024646759033]
['BV', 55, 'CV', 105, 'codeblocks', 'pwd', 'V3', 'V3', 0.9631293329525096, 15.032602787017822]
['CV', 210, 'BV', 4, 'chroot', 'geany', 'V0', 'V3', 0.9871841880118031, 35.452118158340454]
['CV', 39, 'UV', 80, 'whoami', 'objcopy', 'V2', 'V0', 0.9291790881989385, 1.6301536560058594]
['CV', 119, 'UV', 48, 'paste', 'locate', 'V3', 'V1', 0.4795715985719953, 0.08784008026123047]
['UV', 82, 'BV', 16, 'gprof', 'libvlc.so', 'V0', 'V3', 0.4053470502317902, 2.5709445476531982]
['UV', 32, 'BV', 43, 'addr2line', 'lua', 'V3', 'V0', 0.3135412752098209, 2.409562826156616]
['BV', 20, 'UV', 60, 'sort', 'gprof', 'V1', 'V1', 0.8263128887489174, 1.6627087593078613]
['CV', 302, 'BV', 48, 'nice', 'gvmap', 'V1', 'V3', 0.7599517490952955, 0.14661383628845215]
['UV', 33, 'CV', 47, 'ar', 'od', 'V3', 'V2', 0.8530884808013356, 1.3450102806091309]
['CV', 104, 'UV', 46, 'mkfifo', 'diff', 'V3', 'V1', 0.620043037196434, 0.12302136421203613]
['UV', 16, 'BV', 20, 'gprof', 'sort', 'V2', 'V1', 0.8235621668920532, 1.4592373371124268]
['CV', 160, 'UV', 0, 'shred', 'locate', 'V3', 'V2', 0.09477911646586346, 0.09949731826782227]
['BV', 31, 'UV', 24, 'codeblocks', 'readelf', 'V0', 'V3', 0.7231178247734139, 16.311338186264038]
['BV', 55, 'CV', 152, 'codeblocks', 'env', 'V3', 'V3', 0.966192494733831, 14.743741512298584]
['BV', 63, 'CV', 27, 'ruby', 'expr', 'V0', 'V2', 0.945849086326402, 13.158507108688354]
['CV', 322, 'BV', 69, 'ginstall', 'gvmap', 'V1', 'V0', 0.361292003125814, 0.20319342613220215]
['UV', 81, 'CV', 280, 'ld', 'pr', 'V0', 'V1', 0.9004542255773783, 1.93052339553833]
['CV', 154, 'UV', 68, 'uname', 'diff', 'V3', 'V0', 0.5314377252703244, 0.08908939361572266]
['UV', 70, 'CV', 128, 'locate', 'nice', 'V0', 'V3', 0.45579477782867617, 0.07087922096252441]
['UV', 84, 'CV', 210, 'ar', 'chroot', 'V0', 'V0', 0.934446726801822, 1.1522352695465088]
['CV', 124, 'UV', 63, 'seq', 'elfedit', 'V3', 'V1', 0.14225648213034336, 0.03606367111206055]
['UV', 27, 'BV', 8, 'c++filt', 'cluster', 'V3', 'V2', 0.5796012269938651, 1.7116849422454834]
['CV', 290, 'UV', 43, 'tail', 'sdiff', 'V1', 'V3', 0.15860517435320587, 0.052763938903808594]
['UV', 32, 'CV', 105, 'addr2line', 'pwd', 'V3', 'V3', 0.8726343169791012, 1.2497527599334717]
['UV', 6, 'CV', 56, 'sdiff', 'yes', 'V2', 'V2', 0.3872282608695652, 0.03601384162902832]
['UV', 86, 'CV', 51, 'size', 'printf', 'V0', 'V2', 0.8819246597024375, 1.1037092208862305]
['BV', 21, 'CV', 94, 'cp', 'dir', 'V1', 'V3', 0.3120393120393121, 0.15740394592285156]
['CV', 138, 'BV', 27, 'printf', 'libSDL2-2.0.so', 'V3', 'V1', 0.9124175164967007, 5.4130165576934814]
['BV', 21, 'UV', 46, 'cp', 'diff', 'V1', 'V1', 0.41282938514772427, 0.16703510284423828]
