['BO', 26, 'CO', 143, 'gvmap', 'paste', 'O3', 'O1', 0.6383467278989667, 0.14993762969970703]
['CO', 371, 'BO', 42, 'tsort', 'cmp', 'O0', 'O1', 0.09291747888239121, 0.05426359176635742]
['CO', 191, 'UO', 3, 'id', 'nm', 'O1', 'O1', 0.8745986141625824, 1.6642913818359375]
['CO', 149, 'UO', 79, 'split', 'size', 'O1', 'O0', 0.8873483535528596, 3.4606728553771973]
['UO', 60, 'CO', 289, 'xargs', 'cat', 'O3', 'O2', 0.42486486486486486, 0.07709717750549316]
['UO', 1, 'CO', 106, 'xargs', 'stat', 'O1', 'O1', 0.10852422080360491, 0.14612746238708496]
['BO', 45, 'CO', 108, 'diff', 'test', 'O2', 'O1', 0.4866056290267887, 0.13182902336120605]
['CO', 100, 'BO', 23, 'tac', 'git', 'O3', 'O2', 0.9686291362269016, 9.963003873825073]
['UO', 47, 'CO', 345, 'as', 'chown', 'O3', 'O0', 0.8384654215042907, 2.2973334789276123]
['CO', 69, 'UO', 32, 'who', 'strings', 'O3', 'O2', 0.8490834668090408, 1.4334955215454102]
['UO', 86, 'CO', 308, 'xargs', 'tac', 'O0', 'O2', 0.434687636522499, 0.1204833984375]
['UO', 74, 'BO', 81, 'ld', 'sort', 'O0', 'O3', 0.8327840552416823, 6.2425150871276855]
['UO', 79, 'BO', 27, 'size', 'perl', 'O0', 'O3', 0.3432385701073626, 16.886046171188354]
['UO', 80, 'CO', 237, 'objdump', 'nproc', 'O0', 'O2', 0.9581539933046389, 5.253435134887695]
['CO', 86, 'BO', 60, 'timeout', 'openssl', 'O3', 'O0', 0.935803616370465, 14.7158944606781]
['BO', 1, 'CO', 146, 'ssh', 'sum', 'O2', 'O1', 0.907986657435962, 1.9809069633483887]
['BO', 33, 'CO', 138, 'sort', 'tail', 'O2', 'O1', 0.23738680465717987, 0.164259672164917]
['BO', 28, 'CO', 167, 'ruby', 'logname', 'O0', 'O1', 0.9832555878018021, 18.33549165725708]
['CO', 83, 'BO', 72, 'csplit', 'make', 'O3', 'O2', 0.6498959056210964, 0.359041690826416]
['CO', 170, 'BO', 16, 'runcon', 'make', 'O1', 'O0', 0.812180052956752, 0.35150599479675293]
