['BO', 59, 'CO', 144, 'libgeany.so.0.0.0', 'sync', 'O3', 'O1', 0.9815874907859036, 34.92918038368225]
['BO', 78, 'CO', 47, 'ssh', 'numfmt', 'O0', 'O3', 0.9127170812271658, 2.754096031188965]
['CO', 205, 'UO', 8, 'rmdir', 'c++filt', 'O1', 'O1', 0.8846221287041908, 1.5590581893920898]
['UO', 9, 'CO', 320, 'strings', 'dir', 'O1', 'O0', 0.5896571930852622, 2.142603874206543]
['UO', 23, 'CO', 311, 'cmp', 'ln', 'O2', 'O2', 0.27084361124815004, 0.07601237297058105]
['CO', 242, 'BO', 7, 'tail', 'sort', 'O2', 'O0', 0.41831815747187995, 0.2560601234436035]
['CO', 313, 'BO', 52, 'touch', 'svn', 'O0', 'O3', 0.6366517792825241, 0.9295594692230225]
['CO', 161, 'UO', 47, 'od', 'as', 'O1', 'O3', 0.8840096562823313, 2.384330987930298]
['UO', 69, 'BO', 39, 'as', 'codeblocks', 'O0', 'O3', 0.25873903142069976, 59.59693217277527]
['BO', 27, 'CO', 287, 'perl', 'link', 'O3', 'O2', 0.9730647685991908, 3.0120017528533936]
['BO', 4, 'UO', 10, 'libgeany.so.0.0.0', 'objcopy', 'O2', 'O1', 0.6519776411699881, 55.958555459976196]
['CO', 405, 'UO', 36, 'nl', 'addr2line', 'O0', 'O2', 0.8526932292128849, 1.4759197235107422]
['UO', 51, 'CO', 366, 'objcopy', 'true', 'O3', 'O0', 0.909940266503293, 1.3376874923706055]
['BO', 70, 'UO', 16, 'diff', 'size', 'O3', 'O1', 0.6577848629773021, 2.180164337158203]
['BO', 48, 'CO', 356, 'libvlccore.so.9.0.0', 'seq', 'O0', 'O0', 0.9524059186764534, 14.543720245361328]
['CO', 383, 'BO', 24, 'readlink', 'cluster', 'O0', 'O3', 0.4937133277451802, 0.1996619701385498]
['UO', 20, 'CO', 219, 'diff', 'groups', 'O1', 'O2', 0.609358383551932, 0.12732791900634766]
['CO', 178, 'UO', 1, 'unexpand', 'xargs', 'O1', 'O1', 0.33689839572192515, 0.0927431583404541]
['UO', 23, 'BO', 46, 'cmp', 'ruby', 'O2', 'O3', 0.9770314522884777, 19.16807270050049]
['CO', 76, 'UO', 16, 'md5sum', 'size', 'O3', 'O1', 0.8704370179948586, 1.561537265777588]
['UO', 73, 'CO', 385, 'objcopy', 'hostid', 'O0', 'O0', 0.9381732551731049, 3.642857313156128]
['CO', 270, 'UO', 21, 'printf', 'sdiff', 'O2', 'O1', 0.21103117505995206, 0.05261731147766113]
['CO', 330, 'BO', 9, 'uptime', 'git', 'O0', 'O0', 0.9638723254998246, 10.759409666061401]
['CO', 377, 'UO', 47, 'false', 'as', 'O0', 'O3', 0.9307298109206573, 2.2215816974639893]
['BO', 47, 'CO', 10, 'libvlc.so.12.0.0', 'users', 'O0', 'O3', 0.7758620689655172, 0.7782309055328369]
['CO', 285, 'BO', 31, 'env', 'bash', 'O2', 'O2', 0.9573203450695505, 4.1662070751190186]
['CO', 297, 'UO', 48, 'pathchk', 'ranlib', 'O2', 'O3', 0.913503971756399, 1.2832231521606445]
['CO', 406, 'BO', 67, 'rm', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.8581297232138717, 9.86618709564209]
['CO', 41, 'UO', 10, 'echo', 'objcopy', 'O3', 'O1', 0.9168250255810554, 1.8511154651641846]
['CO', 35, 'BO', 47, 'base32', 'libvlc.so.12.0.0', 'O3', 'O0', 0.7666442501681238, 0.8565146923065186]
['CO', 344, 'UO', 28, 'expr', 'readelf', 'O0', 'O2', 0.6940585279337865, 0.443164587020874]
['BO', 57, 'CO', 379, 'libvlccore.so.9.0.0', 'nohup', 'O3', 'O0', 0.9429048546777464, 5.978179693222046]
['UO', 53, 'CO', 20, 'gprof', 'mkfifo', 'O3', 'O3', 0.8933700232178176, 1.1200640201568604]
['CO', 328, 'UO', 36, 'dirname', 'addr2line', 'O0', 'O2', 0.8865094424866721, 1.3788530826568604]
['BO', 44, 'UO', 30, 'cmp', 'ranlib', 'O2', 'O2', 0.8727855576176818, 1.521235704421997]
['BO', 64, 'CO', 218, 'dot', 'users', 'O0', 'O2', 0.43947368421052624, 0.017091035842895508]
['CO', 34, 'UO', 38, 'tail', 'elfedit', 'O3', 'O2', 0.2616487455197133, 0.0552210807800293]
['CO', 374, 'BO', 56, 'printf', 'libvlc.so.12.0.0', 'O0', 'O3', 0.6967153284671533, 0.6865060329437256]
['UO', 14, 'CO', 120, 'ar', 'dirname', 'O1', 'O1', 0.9095336359884441, 1.4975841045379639]
['CO', 219, 'UO', 22, 'groups', 'diff3', 'O2', 'O2', 0.25540540540540535, 0.042420387268066406]
['BO', 51, 'CO', 352, 'lua', 'sync', 'O1', 'O0', 0.833186785579701, 0.5787968635559082]
['UO', 77, 'CO', 59, 'ar', 'tsort', 'O0', 'O3', 0.9181674921206664, 3.0516767501831055]
['CO', 162, 'BO', 64, 'df', 'dot', 'O1', 'O0', 0.7296318648159325, 0.05608105659484863]
['CO', 400, 'BO', 27, 'shred', 'perl', 'O0', 'O3', 0.9249675839216251, 4.773831844329834]
['CO', 278, 'BO', 34, 'b2sum', 'cp', 'O2', 'O2', 0.43733826247689467, 0.12445211410522461]
['UO', 41, 'CO', 300, 'locate', 'sha512sum', 'O2', 'O2', 0.5553235908141962, 0.1471700668334961]
['UO', 36, 'CO', 145, 'addr2line', 'echo', 'O2', 'O1', 0.9011109087597887, 1.200756311416626]
['CO', 340, 'BO', 23, 'factor', 'git', 'O0', 'O2', 0.9448475492087997, 11.70577359199524]
['UO', 27, 'BO', 49, 'strip', 'svn', 'O2', 'O0', 0.3522443559096946, 3.741115093231201]
['CO', 14, 'BO', 39, 'stty', 'codeblocks', 'O3', 'O3', 0.9545918367346938, 18.07285499572754]
['UO', 27, 'CO', 171, 'strip', 'nohup', 'O2', 'O1', 0.9038115246098439, 1.5592799186706543]
['BO', 74, 'CO', 100, 'dot', 'tac', 'O1', 'O3', 0.5622568093385214, 0.021776676177978516]
['CO', 115, 'BO', 52, 'groups', 'svn', 'O1', 'O3', 0.7965779467680608, 0.7183282375335693]
['CO', 388, 'BO', 63, 'md5sum', 'cluster', 'O0', 'O0', 0.650575641284589, 0.3181033134460449]
['CO', 136, 'UO', 4, 'expr', 'strip', 'O1', 'O1', 0.8727506426735219, 2.0711798667907715]
['CO', 28, 'UO', 78, 'factor', 'elfedit', 'O3', 'O0', 0.1593886462882096, 0.05133795738220215]
['BO', 5, 'CO', 135, 'libgeany.so.0.0.0', 'date', 'O1', 'O1', 0.9597943851324634, 41.92892861366272]
['BO', 17, 'CO', 254, 'codeblocks', 'whoami', 'O2', 'O2', 0.9756460842979958, 14.22712755203247]
['UO', 4, 'CO', 356, 'strip', 'seq', 'O1', 'O0', 0.8826992103374013, 1.7906303405761719]
['CO', 236, 'UO', 49, 'factor', 'c++filt', 'O2', 'O3', 0.8309961755600073, 1.2279415130615234]
['UO', 6, 'CO', 242, 'as', 'tail', 'O1', 'O2', 0.8819969742813918, 2.6402390003204346]
['BO', 4, 'CO', 218, 'libgeany.so.0.0.0', 'users', 'O2', 'O2', 0.9829136117309532, 37.88617014884949]
['BO', 45, 'CO', 30, 'diff', 'expand', 'O2', 'O3', 0.5185057073676929, 0.11841082572937012]
['CO', 209, 'BO', 58, 'touch', 'svn', 'O2', 'O1', 0.6923311016433353, 0.8465406894683838]
['BO', 12, 'CO', 402, 'libgeany.so.0.0.0', 'tr', 'O0', 'O0', 0.8900502318392581, 38.667962074279785]
['BO', 6, 'CO', 97, 'codeblocks', 'uniq', 'O0', 'O3', 0.9665994710658209, 38.439719676971436]
['UO', 21, 'CO', 362, 'sdiff', 'dircolors', 'O1', 'O0', 0.1326245103525462, 0.06542372703552246]
['UO', 78, 'CO', 32, 'elfedit', 'expr', 'O0', 'O3', 0.14251781472684089, 0.045530080795288086]
['CO', 203, 'UO', 28, 'sort', 'readelf', 'O1', 'O2', 0.4862148930687967, 0.5760846138000488]
['BO', 59, 'CO', 285, 'libgeany.so.0.0.0', 'env', 'O3', 'O2', 0.9837653671633355, 34.514100551605225]
['CO', 116, 'BO', 51, 'ptx', 'lua', 'O1', 'O1', 0.7353151010701546, 0.7791364192962646]
['UO', 48, 'CO', 9, 'ranlib', 'du', 'O3', 'O3', 0.7084548104956269, 1.4344184398651123]
['BO', 70, 'CO', 219, 'diff', 'groups', 'O3', 'O2', 0.6078291814946619, 0.10589265823364258]
['BO', 42, 'CO', 254, 'cmp', 'whoami', 'O1', 'O2', 0.2493907392363932, 0.03368854522705078]
['BO', 5, 'CO', 128, 'libgeany.so.0.0.0', 'tee', 'O1', 'O1', 0.9729944906213178, 38.019084215164185]
['UO', 79, 'CO', 213, 'size', 'basename', 'O0', 'O2', 0.9425615412058509, 2.754072427749634]
['CO', 170, 'BO', 29, 'runcon', 'libvlc.so.12.0.0', 'O1', 'O2', 0.7873620862587764, 0.5825464725494385]
['CO', 94, 'BO', 31, 'rm', 'bash', 'O3', 'O2', 0.8980147294268331, 4.563189506530762]
['CO', 301, 'UO', 70, 'nl', 'ranlib', 'O2', 'O0', 0.9325473302346673, 3.3320069313049316]
['CO', 306, 'UO', 23, 'sleep', 'cmp', 'O2', 'O2', 0.21571772253408183, 0.03300023078918457]
['CO', 383, 'UO', 24, 'readlink', 'diff', 'O0', 'O2', 0.41335914811229424, 0.16985440254211426]
['BO', 48, 'CO', 160, 'libvlccore.so.9.0.0', 'cut', 'O0', 'O1', 0.9577662246626555, 14.674524068832397]
['UO', 25, 'CO', 98, 'sdiff', 'sleep', 'O2', 'O3', 0.2720403022670026, 0.04318499565124512]
['UO', 45, 'CO', 134, 'strip', 'expand', 'O3', 'O1', 0.8975880696948946, 1.3624951839447021]
['CO', 171, 'BO', 76, 'nohup', 'openssl', 'O1', 'O2', 0.9450422257469885, 12.21767520904541]
['CO', 346, 'BO', 71, 'tail', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.8704860829343504, 11.73524785041809]
['UO', 9, 'CO', 332, 'strings', 'mkfifo', 'O1', 'O0', 0.7421530063418158, 1.7244048118591309]
['CO', 113, 'UO', 21, 'du', 'sdiff', 'O1', 'O1', 0.29975343430785495, 0.13856983184814453]
['UO', 9, 'BO', 40, 'strings', 'lua', 'O1', 'O0', 0.1475344180225282, 3.8739898204803467]
['UO', 48, 'CO', 185, 'ranlib', 'cat', 'O3', 'O1', 0.8909725250763192, 1.1560592651367188]
['UO', 72, 'CO', 282, 'strings', 'unexpand', 'O0', 'O2', 0.9300017826371145, 2.934293031692505]
['UO', 73, 'CO', 162, 'objcopy', 'df', 'O0', 'O1', 0.8620457280385079, 4.235932350158691]
['CO', 336, 'BO', 3, 'tee', 'openssl', 'O0', 'O1', 0.9332648870636551, 12.655621528625488]
['CO', 173, 'BO', 20, 'who', 'sort', 'O1', 'O1', 0.4338157430285916, 0.15428471565246582]
['CO', 343, 'UO', 53, 'date', 'gprof', 'O0', 'O3', 0.78703027351676, 1.6816065311431885]
['BO', 82, 'CO', 106, 'cp', 'stat', 'O3', 'O1', 0.23017292784734644, 0.1612987518310547]
