['CV', 155, 'BV', 61, 'cat', 'cmp', 'V3', 'V0', 0.32307692307692304, 0.020860910415649414]
['UV', 72, 'CV', 345, 'find', 'rmdir', 'V0', 'V1', 0.7493403693931399, 0.1248171329498291]
['UV', 37, 'CV', 238, 'locate', 'md5sum', 'V3', 'V0', 0.6155324875048058, 0.11072993278503418]
['CV', 72, 'UV', 77, 'id', 'ranlib', 'V2', 'V0', 0.8995001315443304, 1.240907907485962]
['BV', 40, 'CV', 32, 'lua', 'paste', 'V2', 'V2', 0.8542662610459221, 0.3896653652191162]
['CV', 185, 'UV', 26, 'printenv', 'ranlib', 'V0', 'V3', 0.9408987585242176, 1.2595510482788086]
['CV', 119, 'UV', 81, 'paste', 'ld', 'V3', 'V0', 0.9139230719670124, 1.9748315811157227]
['CV', 137, 'UV', 33, 'cksum', 'ar', 'V3', 'V3', 0.8920992073638455, 1.3677175045013428]
['CV', 5, 'UV', 40, 'mkdir', 'diff3', 'V2', 'V3', 0.14977973568281944, 0.04849529266357422]
['UV', 39, 'CV', 232, 'find', 'readlink', 'V3', 'V0', 0.8438202247191011, 0.32375025749206543]
['BV', 80, 'CV', 40, 'cluster', 'ls', 'V1', 'V2', 0.2927669345579793, 0.2354412078857422]
['CV', 93, 'UV', 54, 'fmt', 'as', 'V3', 'V1', 0.916719388048542, 2.2767066955566406]
['UV', 14, 'CV', 32, 'objcopy', 'paste', 'V2', 'V2', 0.9249085616182727, 1.4110662937164307]
['UV', 33, 'CV', 250, 'ar', 'comm', 'V3', 'V0', 0.9212462137602769, 1.1925740242004395]
['CV', 101, 'UV', 20, 'dirname', 'size', 'V3', 'V2', 0.8976735894464747, 1.2704241275787354]
['BV', 42, 'CV', 69, 'libvlc.so', 'csplit', 'V1', 'V2', 0.4731029568934806, 0.4011709690093994]
['CV', 155, 'UV', 43, 'cat', 'sdiff', 'V3', 'V3', 0.24056603773584906, 0.04428291320800781]
['BV', 62, 'CV', 329, 'diff', 'cat', 'V0', 'V1', 0.4933333333333334, 0.0449223518371582]
['UV', 19, 'CV', 82, 'elfedit', 'sort', 'V2', 'V2', 0.41538461538461546, 0.07358551025390625]
['CV', 193, 'BV', 23, 'pr', 'diff', 'V0', 'V3', 0.48667324777887466, 0.12322068214416504]
['CV', 201, 'BV', 31, 'expr', 'codeblocks', 'V0', 'V0', 0.9317670650082649, 15.873582124710083]
['BV', 56, 'CV', 190, 'ssh', 'dd', 'V3', 'V0', 0.8993540051679586, 1.6312518119812012]
['CV', 203, 'UV', 73, 'tail', 'nm', 'V0', 'V0', 0.8690830403029484, 1.2110743522644043]
['CV', 221, 'BV', 46, 'od', 'cluster', 'V0', 'V3', 0.6326894502228826, 0.15088772773742676]
['CV', 210, 'UV', 22, 'chroot', 'nm', 'V0', 'V3', 0.9333212209302325, 1.1904833316802979]
['UV', 33, 'BV', 31, 'ar', 'codeblocks', 'V3', 'V0', 0.5261423926065377, 39.332143783569336]
['UV', 39, 'BV', 36, 'find', 'libvlc.so', 'V3', 'V2', 0.10295956648603588, 1.154484510421753]
['UV', 17, 'BV', 30, 'addr2line', 'bash', 'V2', 'V0', 0.3067610478962688, 7.864192485809326]
['UV', 37, 'BV', 20, 'locate', 'sort', 'V3', 'V1', 0.3271028037383177, 0.15595793724060059]
['CV', 51, 'BV', 56, 'printf', 'ssh', 'V2', 'V3', 0.9034116656956043, 1.9231204986572266]
['BV', 0, 'CV', 20, 'bash', 'tee', 'V2', 'V2', 0.9524809075074807, 2.949373245239258]
['CV', 67, 'BV', 47, 'uname', 'dot', 'V2', 'V3', 0.4005681818181819, 0.01198887825012207]
['UV', 54, 'CV', 203, 'as', 'tail', 'V1', 'V0', 0.9164989361090344, 2.038738489151001]
['CV', 146, 'BV', 45, 'head', 'svn', 'V3', 'V3', 0.7824904839586732, 0.883962869644165]
['CV', 314, 'UV', 62, 'tty', 'ar', 'V1', 'V1', 0.9383643503500085, 1.264916181564331]
['CV', 55, 'BV', 59, 'nohup', 'make', 'V2', 'V1', 0.7728186570164858, 0.2547917366027832]
['BV', 62, 'CV', 173, 'diff', 'ln', 'V0', 'V3', 0.11161217587373162, 0.10041952133178711]
['CV', 41, 'UV', 21, 'nice', 'objdump', 'V2', 'V2', 0.9319295457555291, 1.9263579845428467]
['UV', 14, 'CV', 347, 'objcopy', 'ln', 'V2', 'V1', 0.9106468104023117, 1.4763658046722412]
['UV', 55, 'CV', 317, 'ranlib', 'yes', 'V1', 'V1', 0.9390264730999146, 1.1605520248413086]
['UV', 30, 'CV', 289, 'ld', 'chown', 'V3', 'V1', 0.9023525239389999, 2.356829881668091]
['CV', 198, 'UV', 84, 'factor', 'ar', 'V0', 'V0', 0.9260181397830339, 1.1962625980377197]
