['CO', 247, 'UO', 78, 'paste', 'elfedit', 'O2', 'O0', 0.21693907875185736, 0.03796076774597168]
['CO', 243, 'UO', 26, 'base32', 'nm', 'O2', 'O2', 0.8972987429794063, 1.3723442554473877]
['CO', 373, 'BO', 66, 'cksum', 'svn', 'O0', 'O2', 0.781464348380922, 0.7719326019287109]
['CO', 263, 'UO', 7, 'cp', 'ranlib', 'O2', 'O1', 0.7142857142857143, 2.347522020339966]
['BO', 10, 'UO', 4, 'openssl', 'strip', 'O3', 'O1', 0.36549486813770726, 19.34234642982483]
['BO', 24, 'CO', 270, 'cluster', 'printf', 'O3', 'O2', 0.6011994002998501, 0.14553308486938477]
['CO', 79, 'UO', 48, 'link', 'ranlib', 'O3', 'O3', 0.8962742697218821, 1.2168006896972656]
['BO', 60, 'CO', 364, 'openssl', 'sha256sum', 'O0', 'O0', 0.9302729624338829, 12.394353151321411]
['UO', 71, 'CO', 89, 'c++filt', 'pathchk', 'O0', 'O3', 0.9200285612281328, 2.8796491622924805]
['CO', 290, 'UO', 5, 'shuf', 'readelf', 'O2', 'O1', 0.7301679212507238, 0.5119826793670654]
['CO', 67, 'BO', 25, 'nohup', 'dot', 'O3', 'O3', 0.515881708652793, 0.019289493560791016]
['UO', 18, 'CO', 212, 'diff3', 'test', 'O1', 'O2', 0.23803827751196172, 0.055140018463134766]
['BO', 4, 'UO', 55, 'libgeany.so.0.0.0', 'ar', 'O2', 'O3', 0.7033568807841849, 50.34476947784424]
['CO', 141, 'BO', 42, 'truncate', 'cmp', 'O1', 'O1', 0.12255257432922406, 0.043198347091674805]
['CO', 200, 'BO', 25, 'fold', 'dot', 'O1', 'O3', 0.5086505190311419, 0.021494388580322266]
['CO', 388, 'BO', 2, 'md5sum', 'perl', 'O0', 'O1', 0.9543688300777148, 4.2225658893585205]
['BO', 21, 'UO', 26, 'cp', 'nm', 'O1', 'O2', 0.6836952230556652, 2.08136248588562]
['CO', 334, 'UO', 71, 'pwd', 'c++filt', 'O0', 'O0', 0.9082145602933349, 3.28961443901062]
['BO', 34, 'CO', 252, 'cp', 'seq', 'O2', 'O2', 0.5009656237929703, 0.10831356048583984]
['BO', 3, 'UO', 58, 'openssl', 'objdump', 'O1', 'O3', 0.3749362179814266, 21.348775386810303]
['BO', 79, 'CO', 365, 'bash', 'chmod', 'O3', 'O0', 0.8976187737259864, 3.726963758468628]
['BO', 72, 'CO', 374, 'make', 'printf', 'O2', 'O0', 0.7007338464292107, 0.3232100009918213]
['CO', 48, 'BO', 13, 'ls', 'ruby', 'O3', 'O1', 0.9363942838390167, 25.27732014656067]
['CO', 379, 'BO', 48, 'nohup', 'libvlccore.so.9.0.0', 'O0', 'O0', 0.957937782970644, 16.956874132156372]
['BO', 26, 'UO', 68, 'gvmap', 'readelf', 'O3', 'O0', 0.4933807196801421, 1.355452299118042]
['UO', 70, 'CO', 366, 'ranlib', 'true', 'O0', 'O0', 0.9333144315282109, 3.1058285236358643]
['CO', 122, 'BO', 27, 'uptime', 'perl', 'O1', 'O3', 0.952250146113384, 3.989128828048706]
['UO', 23, 'BO', 45, 'cmp', 'diff', 'O2', 'O2', 0.4877717391304348, 0.14030718803405762]
['BO', 40, 'CO', 19, 'lua', 'dd', 'O0', 'O3', 0.7519365018647796, 0.9845457077026367]
['CO', 187, 'BO', 31, 'csplit', 'bash', 'O1', 'O2', 0.9213159920586687, 4.477261066436768]
['UO', 69, 'BO', 67, 'as', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.21975652486411212, 29.280481815338135]
['CO', 179, 'BO', 15, 'mv', 'diff', 'O1', 'O0', 0.0984189723320158, 0.40951037406921387]
['CO', 33, 'UO', 17, 'chown', 'objdump', 'O3', 'O1', 0.8661246612466125, 3.238478660583496]
['CO', 388, 'BO', 81, 'md5sum', 'sort', 'O0', 'O3', 0.420859713428857, 0.13979578018188477]
['BO', 39, 'CO', 52, 'codeblocks', 'sha256sum', 'O3', 'O3', 0.9613464738256752, 14.622865200042725]
['BO', 50, 'UO', 22, 'perl', 'diff3', 'O2', 'O2', 0.9445687520510755, 3.4678688049316406]
['BO', 5, 'CO', 156, 'libgeany.so.0.0.0', 'sha256sum', 'O1', 'O1', 0.9718955392523513, 38.95081686973572]
['CO', 151, 'BO', 36, 'numfmt', 'cluster', 'O1', 'O2', 0.5207268597387847, 0.184553861618042]
['CO', 368, 'BO', 44, 'cut', 'cmp', 'O0', 'O2', 0.12369230769230766, 0.05949258804321289]
['UO', 42, 'CO', 37, 'xargs', 'truncate', 'O2', 'O3', 0.35761929194458697, 0.07764768600463867]
['CO', 404, 'UO', 27, 'sha512sum', 'strip', 'O0', 'O2', 0.8671081677704194, 1.905900001525879]
['UO', 9, 'CO', 373, 'strings', 'cksum', 'O1', 'O0', 0.8810782699141891, 1.4128336906433105]
['CO', 24, 'UO', 0, 'tee', 'locate', 'O3', 'O1', 0.5185063871601703, 0.16023850440979004]
['UO', 40, 'CO', 292, 'objdump', 'vdir', 'O2', 'O2', 0.7896724761236713, 2.8906686305999756]
['UO', 4, 'CO', 106, 'strip', 'stat', 'O1', 'O1', 0.8207442377117468, 2.0033886432647705]
['UO', 22, 'CO', 100, 'diff3', 'tac', 'O2', 'O3', 0.13394919168591224, 0.04932665824890137]
['UO', 32, 'CO', 201, 'strings', 'uniq', 'O2', 'O1', 0.8541982689390559, 1.2589335441589355]
['CO', 157, 'BO', 37, 'chmod', 'gvmap', 'O1', 'O2', 0.45029239766081863, 0.209273099899292]
['UO', 74, 'CO', 181, 'ld', 'env', 'O0', 'O1', 0.9493385636189124, 5.281185865402222]
['CO', 141, 'UO', 85, 'truncate', 'locate', 'O1', 'O0', 0.6638379414180126, 0.26586413383483887]
['CO', 223, 'UO', 14, 'join', 'ar', 'O2', 'O1', 0.8773026048851741, 1.7306849956512451]
['UO', 33, 'BO', 62, 'objcopy', 'bash', 'O2', 'O1', 0.30567150887738626, 11.53861951828003]
['CO', 211, 'BO', 71, 'unlink', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.9609444798978941, 9.225989580154419]
['CO', 383, 'BO', 6, 'readlink', 'codeblocks', 'O0', 'O0', 0.9659080404518479, 49.43783974647522]
['UO', 83, 'CO', 362, 'diff', 'dircolors', 'O0', 'O0', 0.5478662053056517, 0.22098517417907715]
['UO', 64, 'CO', 219, 'diff', 'groups', 'O3', 'O2', 0.6078291814946619, 0.10781359672546387]
