['CV', 51, 'UV', 66, 'printf', 'diff3', 'V2', 'V0', 0.13903432228039558, 0.04197883605957031]
['BV', 66, 'CV', 254, 'lua', 'uniq', 'V1', 'V0', 0.8351648351648352, 0.3581538200378418]
['BV', 39, 'CV', 186, 'svn', 'stty', 'V1', 'V0', 0.7979908675799087, 0.442216157913208]
['BV', 13, 'UV', 18, 'cp', 'ar', 'V2', 'V2', 0.7366109270247361, 1.8852896690368652]
['UV', 27, 'CV', 166, 'c++filt', 'fold', 'V3', 'V3', 0.876970746377472, 1.1259114742279053]
['CV', 29, 'UV', 71, 'tail', 'xargs', 'V2', 'V0', 0.24427952999381575, 0.0430760383605957]
['CV', 318, 'BV', 59, 'who', 'make', 'V1', 'V1', 0.769925717727364, 0.26629066467285156]
['CV', 60, 'UV', 4, 'hostid', 'cmp', 'V2', 'V2', 0.24898621248986208, 0.027331829071044922]
['BV', 44, 'CV', 333, 'make', 'id', 'V0', 'V1', 0.796271637816245, 0.19013690948486328]
['UV', 40, 'CV', 248, 'diff3', 'pathchk', 'V3', 'V0', 0.46170063246661974, 0.031294822692871094]
['BV', 31, 'CV', 87, 'codeblocks', 'touch', 'V0', 'V3', 0.9382799967372686, 12.497440576553345]
['UV', 86, 'CV', 239, 'size', 'env', 'V0', 'V0', 0.9426517441385508, 0.9719972610473633]
['UV', 33, 'BV', 42, 'ar', 'libvlc.so', 'V3', 'V1', 0.4631800816756686, 2.261528253555298]
['CV', 191, 'BV', 21, 'mkfifo', 'cp', 'V0', 'V1', 0.49269588313413015, 0.039246559143066406]
['UV', 49, 'CV', 317, 'xargs', 'yes', 'V1', 'V1', 0.375985977212971, 0.022219181060791016]
['UV', 9, 'BV', 1, 'readelf', 'libSDL2-2.0.so', 'V2', 'V3', 0.7221311803029697, 10.174716234207153]
['UV', 61, 'BV', 14, 'addr2line', 'openssl', 'V1', 'V3', 0.3901008999181892, 20.91962718963623]
['BV', 57, 'CV', 68, 'svn', 'cat', 'V2', 'V2', 0.7026793431287813, 0.48354649543762207]
['BV', 52, 'CV', 60, 'libSDL2-2.0.so', 'hostid', 'V2', 'V2', 0.9504847284478265, 4.921837568283081]
['BV', 26, 'CV', 229, 'geany', 'nohup', 'V2', 'V0', 0.9835609223940112, 26.06291651725769]
['UV', 71, 'BV', 28, 'xargs', 'openssl', 'V0', 'V1', 0.972809667673716, 9.115142583847046]
['BV', 59, 'CV', 307, 'make', 'cut', 'V1', 'V1', 0.7947882736156352, 0.2228682041168213]
['CV', 111, 'UV', 16, 'factor', 'gprof', 'V3', 'V2', 0.8368459011138712, 1.5223114490509033]
['CV', 43, 'BV', 74, 'chmod', 'git', 'V2', 'V1', 0.9569717786854809, 6.953046083450317]
['BV', 14, 'CV', 310, 'openssl', 'tsort', 'V3', 'V1', 0.9541640444724145, 6.807349443435669]
['BV', 81, 'UV', 12, 'dot', 'c++filt', 'V1', 'V2', 0.9579478553406223, 1.141200065612793]
['BV', 73, 'CV', 340, 'geany', 'fold', 'V0', 'V1', 0.9809695603156708, 18.660041332244873]
['BV', 57, 'UV', 65, 'svn', 'objdump', 'V2', 'V1', 0.5082196572228052, 4.590991973876953]
['CV', 329, 'BV', 43, 'cat', 'lua', 'V1', 'V0', 0.8593776282590412, 0.35765504837036133]
['CV', 239, 'BV', 83, 'env', 'git', 'V0', 'V2', 0.9861190753959622, 8.545380115509033]
['CV', 206, 'UV', 5, 'paste', 'diff', 'V0', 'V2', 0.7015267175572519, 0.09330916404724121]
['CV', 162, 'UV', 16, 'tr', 'gprof', 'V3', 'V2', 0.8710309362501021, 1.423830509185791]
['UV', 82, 'BV', 50, 'gprof', 'sort', 'V0', 'V0', 0.8474887368596696, 1.1730060577392578]
['UV', 13, 'CV', 207, 'strings', 'sync', 'V2', 'V0', 0.9372707263389581, 1.0687572956085205]
['CV', 229, 'BV', 20, 'nohup', 'sort', 'V0', 'V1', 0.4350355526826115, 0.04088926315307617]
['BV', 54, 'CV', 108, 'lua', 'chgrp', 'V3', 'V3', 0.7026325546903968, 0.5277087688446045]
['CV', 29, 'UV', 1, 'tail', 'xargs', 'V2', 'V2', 0.12982456140350873, 0.0708463191986084]
['BV', 71, 'CV', 4, 'ruby', 'basename', 'V1', 'V2', 0.6822107081174439, 0.0071942806243896484]
['CV', 325, 'BV', 79, 'md5sum', 'bash', 'V1', 'V3', 0.9583135954523923, 3.4795022010803223]
['BV', 2, 'CV', 179, 'cmp', 'mkdir', 'V1', 'V0', 0.1718266253869969, 0.031201601028442383]
['BV', 79, 'CV', 252, 'bash', 'rm', 'V3', 'V0', 0.935063829787234, 3.175130605697632]
['BV', 80, 'CV', 223, 'cluster', 'tsort', 'V1', 'V0', 0.7316919191919192, 0.1226344108581543]
['UV', 43, 'CV', 311, 'sdiff', 'cksum', 'V3', 'V1', 0.457163426925846, 0.03248167037963867]
['BV', 48, 'CV', 292, 'gvmap', 'sha1sum', 'V3', 'V1', 0.7149573905377608, 0.1361091136932373]
['BV', 12, 'UV', 17, 'sort', 'addr2line', 'V2', 'V2', 0.7416502946954814, 1.653672695159912]
['UV', 14, 'BV', 17, 'objcopy', 'codeblocks', 'V2', 'V2', 0.49028864040965736, 41.334681272506714]
['UV', 77, 'CV', 51, 'ranlib', 'printf', 'V0', 'V2', 0.8711126468555632, 1.1584954261779785]
['BV', 24, 'CV', 36, 'git', 'chroot', 'V0', 'V2', 0.9663186440677967, 4.474512815475464]
['CV', 296, 'UV', 46, 'sum', 'diff', 'V1', 'V1', 0.6818907697221335, 0.11397886276245117]
['BV', 25, 'CV', 204, 'git', 'pinky', 'V3', 'V0', 0.9827393517943623, 11.315929651260376]
['UV', 3, 'BV', 4, 'diff3', 'geany', 'V2', 'V3', 0.9656988894454136, 37.88278150558472]
['BV', 46, 'CV', 336, 'cluster', 'tr', 'V3', 'V1', 0.660114907771394, 0.1311964988708496]
['BV', 31, 'CV', 19, 'codeblocks', 'pr', 'V0', 'V2', 0.9524005148851095, 12.285758018493652]
['UV', 85, 'CV', 5, 'elfedit', 'mkdir', 'V0', 'V2', 0.13598901098901095, 0.03707265853881836]
['UV', 5, 'CV', 260, 'diff', 'ln', 'V2', 'V0', 0.5927116827438371, 0.09790873527526855]
['CV', 327, 'BV', 13, 'link', 'cp', 'V1', 'V2', 0.6490384615384616, 0.06454873085021973]
['UV', 64, 'CV', 147, 'size', 'hostid', 'V1', 'V3', 0.8986558188892819, 1.1048791408538818]
['CV', 218, 'UV', 84, 'true', 'ar', 'V0', 'V0', 0.9424266881894, 1.148972749710083]
['CV', 24, 'BV', 44, 'factor', 'make', 'V2', 'V0', 0.7638344226579521, 0.20847439765930176]
['BV', 53, 'CV', 278, 'ssh', 'mkfifo', 'V2', 'V1', 0.9740590541944566, 4.563732147216797]
['CV', 34, 'BV', 81, 'echo', 'dot', 'V2', 'V1', 0.38733431516936667, 0.011749267578125]
['UV', 14, 'CV', 134, 'objcopy', 'od', 'V2', 'V3', 0.8443713345730225, 1.5187923908233643]
['UV', 68, 'CV', 91, 'diff', 'basename', 'V0', 'V3', 0.5222929936305732, 0.0771934986114502]
['CV', 329, 'BV', 24, 'cat', 'git', 'V1', 'V0', 0.9772033158813264, 4.760765552520752]
['CV', 32, 'BV', 0, 'paste', 'bash', 'V2', 'V2', 0.9550129684285842, 3.159848928451538]
['BV', 44, 'CV', 169, 'make', 'sort', 'V0', 'V3', 0.31153908399417385, 0.35500192642211914]
['BV', 0, 'CV', 285, 'bash', 'factor', 'V2', 'V1', 0.9616799784618146, 2.8438239097595215]
['CV', 204, 'BV', 43, 'pinky', 'lua', 'V0', 'V0', 0.817195462765083, 0.3888132572174072]
['CV', 341, 'BV', 83, 'uniq', 'git', 'V1', 'V2', 0.978217626784835, 9.0155508518219]
['CV', 20, 'UV', 53, 'tee', 'readelf', 'V2', 'V1', 0.6998867497168743, 0.10959625244140625]
['CV', 320, 'BV', 24, 'head', 'git', 'V1', 'V0', 0.9702725469416592, 4.9158103466033936]
['CV', 197, 'BV', 41, 'wc', 'libvlccore.so', 'V0', 'V1', 0.9519922149537763, 3.5740110874176025]
['CV', 47, 'BV', 34, 'od', 'svn', 'V2', 'V0', 0.680029287937031, 0.4906630516052246]
['CV', 119, 'UV', 78, 'paste', 'c++filt', 'V3', 'V0', 0.8752101625256865, 1.1135847568511963]
['UV', 78, 'CV', 222, 'c++filt', 'df', 'V0', 'V0', 0.8668402454900502, 1.0293598175048828]
['UV', 25, 'CV', 245, 'as', '[', 'V3', 'V0', 0.9435802182493616, 2.0368309020996094]
['UV', 20, 'CV', 41, 'size', 'nice', 'V2', 'V2', 0.907877049914867, 1.1043686866760254]
['CV', 189, 'BV', 63, 'uptime', 'ruby', 'V0', 'V0', 0.9806381784654854, 12.452744483947754]
['UV', 66, 'CV', 73, 'diff3', 'shred', 'V0', 'V2', 0.07232704402515722, 0.0560758113861084]
['CV', 155, 'UV', 76, 'cat', 'as', 'V3', 'V0', 0.9175332091122198, 2.1359500885009766]
