['CV', 56, 'UV', 7, 'yes', 'nm', 'V2', 'V2', 0.918700630158871, 1.265556812286377]
['BV', 70, 'CV', 101, 'ssh', 'dirname', 'V0', 'V3', 0.9603919403808998, 4.156846761703491]
['UV', 52, 'CV', 207, 'strip', 'sync', 'V1', 'V0', 0.951660777385159, 1.470853328704834]
['UV', 13, 'CV', 160, 'strings', 'shred', 'V2', 'V3', 0.8028673835125448, 1.2754087448120117]
['CV', 27, 'UV', 42, 'expr', 'diff', 'V2', 'V3', 0.24986241056686853, 0.15035796165466309]
['BV', 76, 'CV', 56, 'diff', 'yes', 'V2', 'V2', 0.6590993673241533, 0.09270048141479492]
['CV', 324, 'BV', 12, 'mv', 'sort', 'V1', 'V2', 0.12210307851954338, 0.11854290962219238]
['BV', 73, 'CV', 206, 'geany', 'paste', 'V0', 'V0', 0.982355197545071, 18.825436115264893]
['BV', 27, 'CV', 313, 'libSDL2-2.0.so', 'logname', 'V1', 'V1', 0.9593250642529891, 4.44168496131897]
['CV', 241, 'BV', 59, 'uname', 'make', 'V0', 'V1', 0.8517118252467969, 0.2318286895751953]
['BV', 52, 'CV', 286, 'libSDL2-2.0.so', 'expand', 'V2', 'V1', 0.9561944589649765, 5.009824752807617]
['CV', 305, 'BV', 5, 'true', 'libvlccore.so', 'V1', 'V0', 0.9631888235946335, 3.5577054023742676]
['CV', 271, 'UV', 60, 'ptx', 'gprof', 'V1', 'V1', 0.7990066739096694, 1.5891666412353516]
['UV', 43, 'CV', 39, 'sdiff', 'whoami', 'V3', 'V2', 0.364061456245825, 0.03668093681335449]
['CV', 326, 'UV', 43, 'env', 'sdiff', 'V1', 'V3', 0.47521865889212833, 0.03466081619262695]
['CV', 135, 'UV', 49, 'df', 'xargs', 'V3', 'V1', 0.303921568627451, 0.06932759284973145]
['CV', 128, 'BV', 7, 'nice', 'libSDL2-2.0.so', 'V3', 'V0', 0.9163047225094795, 4.251285791397095]
['CV', 316, 'UV', 74, 'nohup', 'strip', 'V1', 'V0', 0.9321293329449462, 1.5803349018096924]
['CV', 52, 'UV', 53, 'logname', 'readelf', 'V2', 'V1', 0.7263581488933601, 0.10877633094787598]
['UV', 77, 'CV', 208, 'ranlib', 'echo', 'V0', 'V0', 0.9379082043482151, 1.0955195426940918]
['UV', 17, 'CV', 200, 'addr2line', 'date', 'V2', 'V0', 0.8854351687388987, 1.205967664718628]
['UV', 5, 'BV', 22, 'diff', 'cmp', 'V2', 'V3', 0.4944686557157224, 0.11720085144042969]
['BV', 20, 'CV', 10, 'sort', 'ptx', 'V1', 'V2', 0.22353785432364548, 0.08839249610900879]
['UV', 62, 'CV', 17, 'ar', 'mkfifo', 'V1', 'V2', 0.9161181434599156, 1.2095439434051514]
['BV', 58, 'CV', 316, 'ruby', 'nohup', 'V3', 'V1', 0.6702508960573477, 0.008860349655151367]
['BV', 69, 'CV', 25, 'gvmap', 'expand', 'V0', 'V2', 0.6665589660743134, 0.11596274375915527]
['UV', 59, 'CV', 200, 'ld', 'date', 'V1', 'V0', 0.9214133414559854, 1.9892382621765137]
['CV', 207, 'BV', 73, 'sync', 'geany', 'V0', 'V0', 0.984549356223176, 20.948660850524902]
['CV', 26, 'BV', 11, 'date', 'bash', 'V2', 'V1', 0.9313260849363442, 3.410597801208496]
['CV', 82, 'BV', 71, 'sort', 'ruby', 'V2', 'V1', 0.8913171884229178, 0.04024839401245117]
['BV', 53, 'CV', 2, 'ssh', 'unlink', 'V2', 'V2', 0.9682539682539683, 4.697250127792358]
['BV', 62, 'CV', 254, 'diff', 'uniq', 'V0', 'V0', 0.39051918735891644, 0.05148744583129883]
['BV', 78, 'CV', 148, 'make', 'ginstall', 'V2', 'V3', 0.32419687592101387, 0.4644126892089844]
['CV', 188, 'BV', 10, 'dirname', 'gvmap', 'V0', 'V2', 0.7813072693952352, 0.14140033721923828]
['CV', 319, 'UV', 39, 'readlink', 'find', 'V1', 'V3', 0.8400299009530929, 0.38866662979125977]
['BV', 27, 'UV', 11, 'libSDL2-2.0.so', 'ranlib', 'V1', 'V2', 0.2692040561189054, 10.25692081451416]
['CV', 187, 'BV', 70, 'join', 'ssh', 'V0', 'V0', 0.957960027567195, 4.911266326904297]
['CV', 175, 'BV', 45, 'stat', 'svn', 'V0', 'V3', 0.8523546881629189, 0.8675172328948975]
['UV', 17, 'BV', 78, 'addr2line', 'make', 'V2', 'V2', 0.41540295344679157, 2.082622528076172]
['UV', 82, 'CV', 82, 'gprof', 'sort', 'V0', 'V2', 0.7520922153797568, 1.4033377170562744]
['UV', 60, 'BV', 14, 'gprof', 'openssl', 'V1', 'V3', 0.3811792733770101, 22.205824613571167]
['CV', 285, 'BV', 8, 'factor', 'cluster', 'V1', 'V2', 0.7311454717576522, 0.1417853832244873]
['CV', 190, 'BV', 67, 'dd', 'cluster', 'V0', 'V0', 0.5290824261275272, 0.1473677158355713]
['CV', 165, 'UV', 84, 'rm', 'ar', 'V3', 'V0', 0.7894910773298083, 1.5276811122894287]
['BV', 4, 'CV', 304, 'geany', 'chmod', 'V3', 'V1', 0.9707023133397977, 31.863425493240356]
['CV', 35, 'UV', 41, 'sum', 'cmp', 'V2', 'V3', 0.13850616388687453, 0.03670859336853027]
['BV', 56, 'CV', 250, 'ssh', 'comm', 'V3', 'V0', 0.9399577724993402, 1.6312072277069092]
['BV', 72, 'UV', 80, 'perl', 'objcopy', 'V1', 'V0', 0.3793716518118231, 7.681321382522583]
['UV', 54, 'CV', 12, 'as', 'stty', 'V1', 'V2', 0.9136376686764284, 2.1247756481170654]
