['CO', 59, 'UO', 58, 'tsort', 'objdump', 'O3', 'O3', 0.9162001500548277, 2.264263153076172]
['CO', 310, 'BO', 79, 'mknod', 'bash', 'O2', 'O3', 0.9582146248812915, 3.593144178390503]
['CO', 128, 'BO', 36, 'tee', 'cluster', 'O1', 'O2', 0.5912061794414736, 0.17199349403381348]
['CO', 346, 'UO', 45, 'tail', 'strip', 'O0', 'O3', 0.7725657427149965, 2.0507309436798096]
['CO', 273, 'UO', 74, 'false', 'ld', 'O2', 'O0', 0.9641745858212093, 5.770650148391724]
['CO', 65, 'UO', 7, 'false', 'ranlib', 'O3', 'O1', 0.9095336359884441, 1.580265760421753]
['UO', 39, 'CO', 386, 'size', 'unexpand', 'O2', 'O0', 0.8600355239786857, 1.2814702987670898]
['CO', 103, 'BO', 51, 'ln', 'lua', 'O3', 'O1', 0.6724730689892275, 0.8163740634918213]
['UO', 6, 'CO', 269, 'as', 'cksum', 'O1', 'O2', 0.945052490507036, 2.467353343963623]
['CO', 327, 'BO', 73, 'join', 'cluster', 'O0', 'O1', 0.47529538131041893, 0.20981264114379883]
['UO', 50, 'BO', 80, 'strings', 'ssh', 'O3', 'O3', 0.2024408606411221, 5.463577747344971]
['UO', 46, 'CO', 81, 'readelf', 'cat', 'O3', 'O3', 0.7906976744186046, 0.28999829292297363]
['CO', 289, 'UO', 65, 'cat', 'sdiff', 'O2', 'O3', 0.3121761658031088, 0.04507589340209961]
['BO', 19, 'CO', 10, 'libvlccore.so.9.0.0', 'users', 'O1', 'O3', 0.9463948962805441, 6.428443908691406]
['CO', 106, 'BO', 14, 'stat', 'cmp', 'O1', 'O0', 0.17780809458844926, 0.09568405151367188]
['BO', 9, 'CO', 71, 'git', 'readlink', 'O0', 'O3', 0.9688214264783449, 8.667283296585083]
['UO', 64, 'CO', 380, 'diff', 'yes', 'O3', 'O0', 0.561700656757691, 0.12057805061340332]
['CO', 343, 'UO', 60, 'date', 'xargs', 'O0', 'O3', 0.1095890410958904, 0.14026713371276855]
['UO', 61, 'CO', 411, 'find', 'sort', 'O3', 'O0', 0.3110376734963649, 0.775869607925415]
['CO', 343, 'BO', 72, 'date', 'make', 'O0', 'O2', 0.5675408213755566, 0.4359276294708252]
['BO', 49, 'CO', 317, 'svn', 'basename', 'O0', 'O0', 0.807182808360318, 0.7012736797332764]
['UO', 68, 'CO', 106, 'readelf', 'stat', 'O0', 'O1', 0.733677153171738, 0.8460309505462646]
['CO', 183, 'UO', 25, 'link', 'sdiff', 'O1', 'O2', 0.2918032786885245, 0.04692697525024414]
['CO', 198, 'UO', 33, 'rm', 'objcopy', 'O1', 'O2', 0.8151512983761356, 2.0727922916412354]
['BO', 70, 'CO', 336, 'diff', 'tee', 'O3', 'O0', 0.48667324777887466, 0.13451123237609863]
['BO', 31, 'CO', 66, 'bash', 'runcon', 'O2', 'O3', 0.9540135157408933, 3.5328986644744873]
['UO', 82, 'CO', 396, 'cmp', 'vdir', 'O0', 'O0', 0.5103801563763818, 0.2853832244873047]
['UO', 15, 'CO', 150, 'elfedit', 'whoami', 'O1', 'O1', 0.18816388467374812, 0.03779768943786621]
['CO', 199, 'BO', 14, 'sha224sum', 'cmp', 'O1', 'O0', 0.12660550458715591, 0.06090736389160156]
['UO', 58, 'BO', 2, 'objdump', 'perl', 'O3', 'O1', 0.38549582861071374, 12.500889301300049]
['CO', 229, 'BO', 39, 'mktemp', 'codeblocks', 'O2', 'O3', 0.9623511333077218, 17.849668264389038]
['UO', 16, 'CO', 259, 'size', 'realpath', 'O1', 'O2', 0.8763861428694232, 1.4211711883544922]
['BO', 62, 'UO', 57, 'bash', 'size', 'O1', 'O3', 0.3982131652075178, 7.272074937820435]
['BO', 1, 'CO', 122, 'ssh', 'uptime', 'O2', 'O1', 0.8977151799687011, 1.9955809116363525]
['BO', 63, 'CO', 57, 'cluster', 'od', 'O0', 'O3', 0.5833655705996131, 0.27181029319763184]
['CO', 334, 'UO', 36, 'pwd', 'addr2line', 'O0', 'O2', 0.8616139099420419, 1.4939079284667969]
['BO', 30, 'CO', 283, 'libvlccore.so.9.0.0', 'mv', 'O2', 'O2', 0.82908995462897, 7.415987491607666]
['BO', 29, 'CO', 72, 'libvlc.so.12.0.0', 'head', 'O2', 'O3', 0.7041825095057034, 0.5218205451965332]
['CO', 402, 'UO', 9, 'tr', 'strings', 'O0', 'O1', 0.8321654706627268, 1.7162201404571533]
['CO', 203, 'UO', 41, 'sort', 'locate', 'O1', 'O2', 0.12376933895921238, 0.29700374603271484]
['BO', 60, 'CO', 370, 'openssl', 'df', 'O0', 'O0', 0.8694985603709382, 13.948158502578735]
['CO', 307, 'UO', 30, 'sort', 'ranlib', 'O2', 'O2', 0.7116064565718678, 2.1393325328826904]
['UO', 41, 'CO', 364, 'locate', 'sha256sum', 'O2', 'O0', 0.4270235818992989, 0.17448782920837402]
['CO', 76, 'BO', 1, 'md5sum', 'ssh', 'O3', 'O2', 0.9051149930878472, 2.175187587738037]
['UO', 80, 'CO', 89, 'objdump', 'pathchk', 'O0', 'O3', 0.9466719492868463, 5.133547782897949]
['CO', 183, 'BO', 51, 'link', 'lua', 'O1', 'O1', 0.8600560795309712, 0.6075551509857178]
['UO', 79, 'CO', 74, 'size', 'unexpand', 'O0', 'O3', 0.916353824495542, 2.8079617023468018]
['CO', 337, 'BO', 22, 'chgrp', 'perl', 'O0', 'O0', 0.9139948336119131, 7.46945595741272]
['CO', 214, 'BO', 2, 'mkdir', 'perl', 'O2', 'O1', 0.9602359509137831, 3.9510233402252197]
['UO', 76, 'CO', 289, 'addr2line', 'cat', 'O0', 'O2', 0.9363528009535161, 2.856093406677246]
['CO', 11, 'BO', 68, 'groups', 'git', 'O3', 'O3', 0.9738728504837636, 9.295581340789795]
['CO', 173, 'BO', 58, 'who', 'svn', 'O1', 'O1', 0.7481923923294561, 0.7998292446136475]
['UO', 45, 'CO', 256, 'strip', 'ls', 'O3', 'O2', 0.7306518723994452, 1.734731912612915]
['BO', 59, 'CO', 345, 'libgeany.so.0.0.0', 'chown', 'O3', 'O0', 0.9554276163060637, 37.505735635757446]
['CO', 77, 'UO', 79, 'env', 'size', 'O3', 'O0', 0.9234618781277598, 3.1195075511932373]
['BO', 60, 'CO', 177, 'openssl', 'hostid', 'O0', 'O1', 0.9571736151888823, 12.080085039138794]
['BO', 58, 'CO', 24, 'svn', 'tee', 'O1', 'O3', 0.7644634648914249, 0.6269428730010986]
['CO', 107, 'UO', 59, 'unlink', 'locate', 'O1', 'O3', 0.5900339750849377, 0.12916302680969238]
['CO', 93, 'UO', 66, 'nl', 'nm', 'O3', 'O0', 0.9159245981265178, 3.3011114597320557]
['UO', 74, 'CO', 370, 'ld', 'df', 'O0', 'O0', 0.8609617146727222, 6.467148065567017]
