['UV', 1, 'CV', 181, 'xargs', 'dir', 'V2', 'V0', 0.10440835266821347, 0.10211825370788574]
['BV', 41, 'UV', 57, 'libvlccore.so', 'strings', 'V1', 'V1', 0.27175237631001714, 7.493479490280151]
['BV', 11, 'CV', 278, 'bash', 'mkfifo', 'V1', 'V1', 0.96343882853094, 2.673563003540039]
['UV', 67, 'CV', 62, 'cmp', 'unexpand', 'V0', 'V2', 0.1987431264728987, 0.02794337272644043]
['UV', 38, 'CV', 83, 'xargs', 'tac', 'V3', 'V2', 0.18599397590361444, 0.10684013366699219]
['CV', 292, 'UV', 3, 'sha1sum', 'diff3', 'V1', 'V2', 0.34415145368492217, 0.037332773208618164]
['CV', 111, 'BV', 13, 'factor', 'cp', 'V3', 'V2', 0.25942188071716066, 0.09592366218566895]
['BV', 70, 'CV', 136, 'ssh', 'tsort', 'V0', 'V3', 0.9500978137762982, 4.292147874832153]
['CV', 122, 'BV', 49, 'sum', 'make', 'V3', 'V3', 0.7184676544994579, 0.3184504508972168]
['CV', 91, 'BV', 51, 'basename', 'cp', 'V3', 'V0', 0.3087719298245615, 0.0452117919921875]
['BV', 50, 'CV', 331, 'sort', 'vdir', 'V0', 'V1', 0.19488536155202818, 0.08417606353759766]
['UV', 40, 'CV', 202, 'diff3', 'chown', 'V3', 'V0', 0.15685195376995043, 0.04866433143615723]
['UV', 54, 'CV', 226, 'as', 'logname', 'V1', 'V0', 0.9585096379877762, 1.9063737392425537]
['CV', 118, 'UV', 52, 'sha1sum', 'strip', 'V3', 'V1', 0.8973548608725523, 1.781688928604126]
['CV', 274, 'UV', 45, 'join', 'cmp', 'V1', 'V1', 0.11854545454545451, 0.03297901153564453]
['BV', 24, 'CV', 161, 'git', 'pathchk', 'V0', 'V3', 0.963549706177052, 4.442873477935791]
['BV', 33, 'CV', 61, 'openssl', 'ginstall', 'V0', 'V2', 0.9240837096293579, 8.029523134231567]
['CV', 34, 'BV', 78, 'echo', 'make', 'V2', 'V2', 0.8161943319838056, 0.24672913551330566]
['UV', 0, 'CV', 312, 'locate', 'printf', 'V2', 'V1', 0.4413830361966504, 0.05897951126098633]
['BV', 12, 'UV', 57, 'sort', 'strings', 'V2', 'V1', 0.7437443964463282, 1.6382861137390137]
['BV', 60, 'UV', 19, 'codeblocks', 'elfedit', 'V1', 'V2', 0.9638876982426061, 12.525563716888428]
['UV', 8, 'CV', 64, 'strip', 'md5sum', 'V2', 'V2', 0.9129144722201618, 1.4528939723968506]
['BV', 65, 'CV', 102, 'ssh', 'uptime', 'V1', 'V3', 0.94364329520968, 4.542402505874634]
