['CO', 163, 'BO', 32, 'tsort', 'ruby', 'O1', 'O2', 0.9767900898448135, 23.229785203933716]
['CO', 196, 'BO', 4, 'sha512sum', 'libgeany.so.0.0.0', 'O1', 'O2', 0.9768953298056602, 45.22463250160217]
['UO', 24, 'CO', 72, 'diff', 'head', 'O2', 'O3', 0.46680013346680016, 0.12314033508300781]
['UO', 83, 'CO', 374, 'diff', 'printf', 'O0', 'O0', 0.525, 0.2231278419494629]
['CO', 12, 'BO', 17, 'ptx', 'codeblocks', 'O3', 'O2', 0.9401077752117013, 18.620861053466797]
['UO', 23, 'CO', 270, 'cmp', 'printf', 'O2', 'O2', 0.09231853417899927, 0.0407712459564209]
['UO', 22, 'CO', 88, 'diff3', 'shred', 'O2', 'O3', 0.13381294964028778, 0.06977081298828125]
['CO', 24, 'UO', 80, 'tee', 'objdump', 'O3', 'O0', 0.9408279349028282, 5.938040018081665]
['BO', 35, 'CO', 408, 'make', 'fold', 'O3', 'O0', 0.7310985607578794, 0.31430649757385254]
['UO', 19, 'CO', 350, 'cmp', 'sha1sum', 'O1', 'O0', 0.1163924436319318, 0.06007552146911621]
['UO', 60, 'CO', 278, 'xargs', 'b2sum', 'O3', 'O2', 0.2694898941289702, 0.08949804306030273]
['CO', 314, 'BO', 74, 'stat', 'dot', 'O0', 'O1', 0.7526113249037933, 0.07747817039489746]
['CO', 294, 'BO', 16, 'timeout', 'make', 'O2', 'O0', 0.7554719562243503, 0.37601637840270996]
['UO', 27, 'CO', 77, 'strip', 'env', 'O2', 'O3', 0.9025268051285896, 1.5160777568817139]
['CO', 395, 'BO', 30, 'csplit', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.904326772883474, 8.458462715148926]
['BO', 30, 'CO', 397, 'libvlccore.so.9.0.0', '[', 'O2', 'O0', 0.9284245491932933, 6.374841213226318]
['CO', 78, 'BO', 35, 'chcon', 'make', 'O3', 'O3', 0.5975138585587099, 0.3749246597290039]
['CO', 160, 'BO', 73, 'cut', 'cluster', 'O1', 'O1', 0.5851125216387767, 0.18277812004089355]
['UO', 19, 'CO', 112, 'cmp', 'dir', 'O1', 'O1', 0.4616467276565799, 0.14923548698425293]
['CO', 291, 'UO', 26, 'csplit', 'nm', 'O2', 'O2', 0.8477166174683105, 1.501899003982544]
['BO', 73, 'CO', 95, 'cluster', 'sha224sum', 'O1', 'O3', 0.5723270440251572, 0.15514445304870605]
['UO', 79, 'CO', 141, 'size', 'truncate', 'O0', 'O1', 0.9275473479261314, 2.8915953636169434]
['UO', 34, 'CO', 318, 'ld', 'mkdir', 'O2', 'O0', 0.7977879566528879, 3.0428850650787354]
['CO', 351, 'BO', 50, 'paste', 'perl', 'O0', 'O2', 0.9558302826621857, 4.024127721786499]
['BO', 73, 'CO', 247, 'cluster', 'paste', 'O1', 'O2', 0.6757251908396946, 0.14934802055358887]
['CO', 353, 'BO', 7, 'echo', 'sort', 'O0', 'O0', 0.62534604737004, 0.23516154289245605]
['UO', 15, 'CO', 48, 'elfedit', 'ls', 'O1', 'O3', 0.4763057765479073, 0.1341538429260254]
['BO', 12, 'CO', 279, 'libgeany.so.0.0.0', 'readlink', 'O0', 'O2', 0.9016230926231898, 39.330697774887085]
['UO', 18, 'CO', 300, 'diff3', 'sha512sum', 'O1', 'O2', 0.23684210526315785, 0.055452585220336914]
['UO', 62, 'BO', 3, 'diff3', 'openssl', 'O3', 'O1', 0.9120795430505606, 12.747709274291992]
['BO', 6, 'CO', 17, 'codeblocks', 'stdbuf', 'O0', 'O3', 0.971265433243113, 39.48592948913574]
['BO', 44, 'UO', 64, 'cmp', 'diff', 'O2', 'O3', 0.4995021573182874, 0.13164353370666504]
['CO', 172, 'UO', 20, 'yes', 'diff', 'O1', 'O1', 0.6048073524213503, 0.14652490615844727]
['UO', 46, 'CO', 371, 'readelf', 'tsort', 'O3', 'O0', 0.7663043478260869, 0.33034539222717285]
['UO', 48, 'CO', 46, 'ranlib', 'whoami', 'O3', 'O3', 0.8977680525164113, 1.1402242183685303]
['BO', 31, 'UO', 84, 'bash', 'sdiff', 'O2', 'O0', 0.904494156391823, 4.145843505859375]
['BO', 41, 'CO', 245, 'libSDL2-2.0.so.0.16.0', 'truncate', 'O2', 'O2', 0.9481547442366677, 7.102362871170044]
