['UO', 54, 'CO', 392, 'addr2line', 'uname', 'O3', 'O0', 0.8832548258982175, 1.0884122848510742]
['CO', 64, 'BO', 28, 'tty', 'ruby', 'O3', 'O0', 0.982442284325638, 19.24247169494629]
['UO', 32, 'CO', 167, 'strings', 'logname', 'O2', 'O1', 0.8992779453432045, 1.2157783508300781]
['CO', 396, 'BO', 52, 'vdir', 'svn', 'O0', 'O3', 0.3712666745366544, 1.2119646072387695]
['BO', 0, 'UO', 83, 'codeblocks', 'diff', 'O1', 'O0', 0.8670859434966697, 16.92188310623169]
['CO', 259, 'UO', 76, 'realpath', 'addr2line', 'O2', 'O0', 0.9152372531682876, 3.287780523300171]
['CO', 379, 'UO', 39, 'nohup', 'size', 'O0', 'O2', 0.8713366690493209, 1.4461021423339844]
['CO', 349, 'BO', 28, 'truncate', 'ruby', 'O0', 'O0', 0.9778161651059187, 20.29305362701416]
['BO', 46, 'UO', 72, 'ruby', 'strings', 'O3', 'O0', 0.5997091482727598, 35.173850297927856]
['BO', 34, 'CO', 292, 'cp', 'vdir', 'O2', 'O2', 0.04752119188286663, 0.22867536544799805]
['UO', 34, 'CO', 367, 'ld', 'cp', 'O2', 'O0', 0.6726781352320566, 3.5548486709594727]
['BO', 28, 'UO', 64, 'ruby', 'diff', 'O0', 'O3', 0.9330874838938997, 20.347164392471313]
['CO', 180, 'UO', 0, 'md5sum', 'locate', 'O1', 'O1', 0.5280079549221081, 0.17406392097473145]
['UO', 10, 'CO', 187, 'objcopy', 'csplit', 'O1', 'O1', 0.8621130360692985, 1.8266682624816895]
['CO', 159, 'UO', 50, 'cp', 'strings', 'O1', 'O3', 0.6706946157007809, 1.7837395668029785]
['BO', 32, 'CO', 348, 'ruby', 'pinky', 'O2', 'O0', 0.9703862005800641, 21.035596132278442]
['UO', 48, 'CO', 253, 'ranlib', 'split', 'O3', 'O2', 0.8476222941878302, 1.214618444442749]
['CO', 308, 'BO', 25, 'tac', 'dot', 'O2', 'O3', 0.5097365406643757, 0.020788192749023438]
['CO', 369, 'UO', 32, 'od', 'strings', 'O0', 'O2', 0.8014737754659731, 1.6851353645324707]
['BO', 7, 'CO', 391, 'sort', 'link', 'O0', 'O0', 0.620361852192579, 0.20218801498413086]
['BO', 17, 'CO', 178, 'codeblocks', 'unexpand', 'O2', 'O1', 0.9644044897110787, 14.44426941871643]
['UO', 45, 'CO', 9, 'strip', 'du', 'O3', 'O3', 0.7416381537602122, 1.670217752456665]
['UO', 76, 'CO', 3, 'addr2line', 'unlink', 'O0', 'O3', 0.929682860197173, 2.832125186920166]
['CO', 162, 'BO', 24, 'df', 'cluster', 'O1', 'O3', 0.30733609553984886, 0.2391643524169922]
['BO', 5, 'UO', 68, 'libgeany.so.0.0.0', 'readelf', 'O1', 'O0', 0.7574098760529824, 49.829511404037476]
['CO', 107, 'UO', 42, 'unlink', 'xargs', 'O1', 'O2', 0.41526800216567405, 0.07985520362854004]
['UO', 27, 'BO', 41, 'strip', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.2910399357568645, 24.594135999679565]
['BO', 6, 'CO', 356, 'codeblocks', 'seq', 'O0', 'O0', 0.9692575513454451, 39.00571608543396]
['UO', 71, 'CO', 297, 'c++filt', 'pathchk', 'O0', 'O2', 0.9410455393130001, 2.7350852489471436]
['UO', 18, 'CO', 172, 'diff3', 'yes', 'O1', 'O1', 0.2977386934673367, 0.05080223083496094]
['CO', 354, 'UO', 17, 'sum', 'objdump', 'O0', 'O1', 0.9046249170170392, 3.2411904335021973]
['CO', 220, 'BO', 59, 'ptx', 'libgeany.so.0.0.0', 'O2', 'O3', 0.9676695944683237, 41.79341197013855]
['BO', 44, 'CO', 212, 'cmp', 'test', 'O2', 'O2', 0.11270638908829866, 0.0378875732421875]
['UO', 28, 'CO', 321, 'readelf', 'du', 'O2', 'O0', 0.4412171507607192, 0.5896651744842529]
['BO', 3, 'CO', 71, 'openssl', 'readlink', 'O1', 'O3', 0.9317773788150808, 10.16751742362976]
['UO', 77, 'CO', 84, 'ar', 'vdir', 'O0', 'O3', 0.7788556824701403, 3.627807378768921]
['UO', 80, 'BO', 6, 'objdump', 'codeblocks', 'O0', 'O0', 0.3721172521126217, 190.82038593292236]
['CO', 222, 'UO', 73, 'stty', 'objcopy', 'O2', 'O0', 0.9244813690861151, 4.1241774559021]
['CO', 322, 'UO', 80, 'users', 'objdump', 'O0', 'O0', 0.9445148013297451, 5.957629203796387]
['BO', 27, 'CO', 369, 'perl', 'od', 'O3', 'O0', 0.933715410443441, 3.4641904830932617]
['BO', 64, 'CO', 99, 'dot', 'sort', 'O0', 'O3', 0.8098471986417657, 0.08103394508361816]
['CO', 8, 'BO', 81, 'dir', 'sort', 'O3', 'O3', 0.060506566604127565, 0.22192621231079102]
['CO', 111, 'BO', 65, 'fmt', 'gvmap', 'O1', 'O0', 0.7151702786377709, 0.29259538650512695]
['CO', 57, 'UO', 36, 'od', 'addr2line', 'O3', 'O2', 0.811399323327839, 1.4615402221679688]
['CO', 33, 'UO', 67, 'chown', 'strip', 'O3', 'O0', 0.8798717076489455, 4.269360065460205]
['BO', 80, 'CO', 316, 'ssh', 'test', 'O3', 'O0', 0.8907815631262525, 1.8145904541015625]
['CO', 360, 'UO', 39, 'ls', 'size', 'O0', 'O2', 0.577940179311384, 2.5407931804656982]
['CO', 321, 'BO', 57, 'du', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.83341462499531, 10.522987127304077]
['CO', 348, 'BO', 1, 'pinky', 'ssh', 'O0', 'O2', 0.891086020834633, 2.5971336364746094]
['CO', 39, 'BO', 17, 'paste', 'codeblocks', 'O3', 'O2', 0.9652725429544332, 16.115123748779297]
['CO', 306, 'UO', 59, 'sleep', 'locate', 'O2', 'O3', 0.6212880833011956, 0.12833142280578613]
['BO', 26, 'CO', 106, 'gvmap', 'stat', 'O3', 'O1', 0.37807822308063743, 0.2237548828125]
['CO', 370, 'UO', 11, 'df', 'ld', 'O0', 'O1', 0.8089241719134957, 4.154999017715454]
['UO', 22, 'CO', 158, 'diff3', 'true', 'O2', 'O1', 0.29014472777394906, 0.04265737533569336]
['CO', 208, 'UO', 11, 'sha384sum', 'ld', 'O2', 'O1', 0.9255201352060143, 3.0712950229644775]
['UO', 87, 'CO', 368, 'find', 'cut', 'O0', 'O0', 0.7735309412376495, 0.849055290222168]
['BO', 67, 'CO', 388, 'libSDL2-2.0.so.0.16.0', 'md5sum', 'O1', 'O0', 0.9168739238568969, 7.1444091796875]
['CO', 354, 'UO', 46, 'sum', 'readelf', 'O0', 'O3', 0.7431466030989273, 0.3883049488067627]
['UO', 19, 'CO', 277, 'cmp', 'who', 'O1', 'O2', 0.06423258958755917, 0.04489445686340332]
['UO', 47, 'CO', 297, 'as', 'pathchk', 'O3', 'O2', 0.9419396883701641, 1.8560333251953125]
['CO', 16, 'UO', 75, 'dirname', 'gprof', 'O3', 'O0', 0.9351045788581119, 3.2495169639587402]
['UO', 68, 'CO', 304, 'readelf', 'fold', 'O0', 'O2', 0.878618531351291, 0.6630840301513672]
['CO', 306, 'UO', 74, 'sleep', 'ld', 'O2', 'O0', 0.9586565474443373, 5.79994797706604]
['UO', 78, 'CO', 241, 'elfedit', 'chown', 'O0', 'O2', 0.19611848825331968, 0.06772804260253906]
['UO', 60, 'CO', 42, 'xargs', 'sum', 'O3', 'O3', 0.2872796569795141, 0.08247923851013184]
['CO', 3, 'UO', 34, 'unlink', 'ld', 'O3', 'O2', 0.9290338048429633, 2.6076598167419434]
['BO', 21, 'CO', 184, 'cp', 'uname', 'O1', 'O1', 0.5659574468085107, 0.11520719528198242]
['BO', 78, 'UO', 72, 'ssh', 'strings', 'O0', 'O0', 0.09186069539140518, 10.238681077957153]
['UO', 0, 'CO', 144, 'locate', 'sync', 'O1', 'O1', 0.5946039432722241, 0.1502668857574463]
['CO', 161, 'UO', 84, 'od', 'sdiff', 'O1', 'O0', 0.1128298453139217, 0.08979249000549316]
['CO', 60, 'UO', 4, 'base64', 'strip', 'O3', 'O1', 0.8978218394963456, 1.8768246173858643]
['UO', 42, 'CO', 332, 'xargs', 'mkfifo', 'O2', 'O0', 0.15633608815426991, 0.18089604377746582]
['CO', 129, 'BO', 79, 'chgrp', 'bash', 'O1', 'O3', 0.9085965521231054, 4.446073770523071]
['UO', 71, 'CO', 362, 'c++filt', 'dircolors', 'O0', 'O0', 0.9073121711887451, 2.849296808242798]
['CO', 178, 'UO', 81, 'unexpand', 'diff3', 'O1', 'O0', 0.29484536082474233, 0.07762622833251953]
['CO', 351, 'BO', 56, 'paste', 'libvlc.so.12.0.0', 'O0', 'O3', 0.7286245353159851, 0.6342067718505859]
['BO', 26, 'CO', 363, 'gvmap', 'realpath', 'O3', 'O0', 0.4961992136304063, 0.19654083251953125]
['CO', 335, 'BO', 82, 'pr', 'cp', 'O0', 'O3', 0.2085530169888694, 0.17298460006713867]
['BO', 1, 'CO', 223, 'ssh', 'join', 'O2', 'O2', 0.9049893175820033, 1.8881657123565674]
['UO', 49, 'CO', 282, 'c++filt', 'unexpand', 'O3', 'O2', 0.8893169219205111, 1.0277395248413086]
['BO', 73, 'CO', 238, 'cluster', 'expand', 'O1', 'O2', 0.653012048192771, 0.1466970443725586]
['UO', 15, 'CO', 218, 'elfedit', 'users', 'O1', 'O2', 0.19691119691119696, 0.036086082458496094]
['UO', 40, 'CO', 138, 'objdump', 'tail', 'O2', 'O1', 0.867154517309316, 2.6045918464660645]
['CO', 85, 'UO', 87, '[', 'find', 'O3', 'O0', 0.7945079490211536, 0.8718464374542236]
['BO', 38, 'CO', 48, 'acyclic', 'ls', 'O2', 'O3', 0.7855946398659966, 0.08871817588806152]
['UO', 62, 'CO', 304, 'diff3', 'fold', 'O3', 'O2', 0.3173198482932996, 0.04235124588012695]
['UO', 34, 'CO', 271, 'ld', 'logname', 'O2', 'O2', 0.9446525679758309, 2.3691213130950928]
['CO', 17, 'UO', 5, 'stdbuf', 'readelf', 'O3', 'O1', 0.7747105966162066, 0.41515374183654785]
['CO', 411, 'UO', 60, 'sort', 'xargs', 'O0', 'O3', 0.3511874684183931, 0.28487277030944824]
['CO', 30, 'BO', 2, 'expand', 'perl', 'O3', 'O1', 0.9630274261603375, 3.6754066944122314]
['UO', 11, 'CO', 349, 'ld', 'truncate', 'O1', 'O0', 0.9151402735914677, 2.730544090270996]
['CO', 386, 'UO', 44, 'unexpand', 'nm', 'O0', 'O3', 0.8588446036721898, 1.298429250717163]
['CO', 167, 'BO', 59, 'logname', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9827069438995685, 38.2567880153656]
['CO', 379, 'BO', 23, 'nohup', 'git', 'O0', 'O2', 0.9718260257087515, 9.867707967758179]
['CO', 257, 'UO', 9, 'nice', 'strings', 'O2', 'O1', 0.9139253902460535, 1.4591753482818604]
['CO', 232, 'BO', 26, 'tee', 'gvmap', 'O2', 'O3', 0.6523754345307068, 0.15793681144714355]
['UO', 77, 'CO', 194, 'ar', 'tr', 'O0', 'O1', 0.9147191011235956, 3.0566844940185547]
['UO', 19, 'CO', 186, 'cmp', 'shuf', 'O1', 'O1', 0.18111964873765096, 0.06643104553222656]
['CO', 17, 'BO', 33, 'stdbuf', 'sort', 'O3', 'O2', 0.437874251497006, 0.11788249015808105]
['BO', 36, 'UO', 87, 'cluster', 'find', 'O2', 'O0', 0.44117956819378623, 1.4407899379730225]
['UO', 84, 'CO', 228, 'sdiff', 'mkfifo', 'O0', 'O2', 0.42378959952181705, 0.05833292007446289]
['BO', 51, 'CO', 270, 'lua', 'printf', 'O1', 'O2', 0.8329565435820145, 0.5492715835571289]
['UO', 16, 'CO', 372, 'size', 'base64', 'O1', 'O0', 0.8578602434249724, 1.4651217460632324]
['BO', 10, 'UO', 41, 'openssl', 'locate', 'O3', 'O2', 0.820330399131798, 11.941627740859985]
['CO', 385, 'BO', 11, 'hostid', 'ssh', 'O0', 'O1', 0.9219135607163197, 2.3004510402679443]
['CO', 226, 'BO', 68, 'uptime', 'git', 'O2', 'O3', 0.9715560076685317, 9.538214683532715]
['BO', 62, 'CO', 122, 'bash', 'uptime', 'O1', 'O1', 0.9320977393617021, 3.639800548553467]
['CO', 56, 'BO', 53, 'cut', 'bash', 'O3', 'O0', 0.946030393410027, 5.413550138473511]
['CO', 269, 'BO', 13, 'cksum', 'ruby', 'O2', 'O1', 0.9849536683078993, 18.472817420959473]
['UO', 17, 'CO', 221, 'objdump', 'printenv', 'O1', 'O2', 0.9503738953093134, 2.583648681640625]
['UO', 84, 'CO', 47, 'sdiff', 'numfmt', 'O0', 'O3', 0.20213281628696067, 0.07207298278808594]
['CO', 335, 'BO', 41, 'pr', 'libSDL2-2.0.so.0.16.0', 'O0', 'O2', 0.8715840501877287, 9.547792434692383]
['CO', 85, 'UO', 24, '[', 'diff', 'O3', 'O2', 0.4738255033557047, 0.1292424201965332]
['CO', 43, 'BO', 7, 'chroot', 'sort', 'O3', 'O0', 0.5513307984790875, 0.22150158882141113]
['UO', 84, 'CO', 362, 'sdiff', 'dircolors', 'O0', 'O0', 0.21338063862138879, 0.08437776565551758]
['UO', 3, 'CO', 230, 'nm', 'pwd', 'O1', 'O2', 0.9006168608636053, 1.4244623184204102]
['UO', 22, 'CO', 251, 'diff3', 'chroot', 'O2', 'O2', 0.17128463476070532, 0.047895193099975586]
['BO', 65, 'UO', 68, 'gvmap', 'readelf', 'O0', 'O0', 0.3387495021903624, 1.5742478370666504]
['UO', 87, 'CO', 57, 'find', 'od', 'O0', 'O3', 0.7294221772664053, 0.8189418315887451]
['BO', 9, 'CO', 383, 'git', 'readlink', 'O0', 'O0', 0.964561403508772, 9.203323125839233]
['BO', 55, 'CO', 147, 'make', 'chroot', 'O1', 'O1', 0.7188148707303265, 0.3047041893005371]
['CO', 214, 'BO', 80, 'mkdir', 'ssh', 'O2', 'O3', 0.9047378714276701, 2.1295597553253174]
['BO', 4, 'CO', 350, 'libgeany.so.0.0.0', 'sha1sum', 'O2', 'O0', 0.9722257450856056, 38.19350481033325]
['BO', 54, 'CO', 124, 'lua', 'mkfifo', 'O3', 'O1', 0.8421988240120334, 0.41109180450439453]
['BO', 73, 'UO', 81, 'cluster', 'diff3', 'O1', 'O0', 0.3741870935467734, 0.2279951572418213]
['BO', 9, 'CO', 236, 'git', 'factor', 'O0', 'O2', 0.963834057561527, 8.783981323242188]
['CO', 287, 'UO', 47, 'link', 'as', 'O2', 'O3', 0.9458593054318789, 2.109386920928955]
['CO', 347, 'BO', 43, 'base32', 'diff', 'O0', 'O1', 0.46451612903225814, 0.1951460838317871]
['BO', 52, 'CO', 233, 'svn', 'chgrp', 'O3', 'O2', 0.6748303334316907, 0.6766438484191895]
['BO', 10, 'CO', 307, 'openssl', 'sort', 'O3', 'O2', 0.8444245336808667, 11.836732625961304]
