['BO', 7, 'CO', 160, 'sort', 'cut', 'O0', 'O1', 0.5702823179791976, 0.20541691780090332]
['CO', 299, 'BO', 37, 'comm', 'gvmap', 'O2', 'O2', 0.6472969066204105, 0.1676180362701416]
['UO', 52, 'CO', 7, 'ld', 'fmt', 'O3', 'O3', 0.913542600896861, 2.1376254558563232]
['CO', 16, 'UO', 43, 'dirname', 'find', 'O3', 'O2', 0.7995395785372764, 0.49154090881347656]
['CO', 137, 'UO', 17, 'chown', 'objdump', 'O1', 'O1', 0.8675345809601301, 3.6408610343933105]
['CO', 113, 'BO', 63, 'du', 'cluster', 'O1', 'O0', 0.38864481243663396, 0.4629852771759033]
['BO', 29, 'CO', 73, 'libvlc.so.12.0.0', 'hostid', 'O2', 'O3', 0.7751691205730203, 0.5226466655731201]
['CO', 241, 'BO', 48, 'chown', 'libvlccore.so.9.0.0', 'O2', 'O0', 0.9339854006174443, 18.51305103302002]
['UO', 85, 'CO', 222, 'locate', 'stty', 'O0', 'O2', 0.6008425487098473, 0.2483227252960205]
['BO', 77, 'CO', 99, 'libSDL2-2.0.so.0.16.0', 'sort', 'O3', 'O3', 0.8210602883915964, 7.729566812515259]
['BO', 51, 'CO', 260, 'lua', 'sha256sum', 'O1', 'O2', 0.8389616935483871, 0.5573487281799316]
['BO', 42, 'CO', 9, 'cmp', 'du', 'O1', 'O3', 0.4151376146788991, 0.10468578338623047]
['UO', 36, 'BO', 74, 'addr2line', 'dot', 'O2', 'O1', 0.957801950487622, 1.1256394386291504]
['BO', 54, 'CO', 208, 'lua', 'sha384sum', 'O3', 'O2', 0.8267118644067797, 0.417651891708374]
['BO', 6, 'CO', 142, 'codeblocks', 'sha1sum', 'O0', 'O1', 0.9728746892278006, 38.2358603477478]
['BO', 12, 'CO', 232, 'libgeany.so.0.0.0', 'tee', 'O0', 'O2', 0.9045106780617906, 38.272162675857544]
['UO', 57, 'CO', 85, 'size', '[', 'O3', 'O3', 0.8566757493188011, 1.0704841613769531]
['UO', 71, 'CO', 83, 'c++filt', 'csplit', 'O0', 'O3', 0.8818383296395661, 2.8791632652282715]
['UO', 83, 'CO', 21, 'diff', 'mktemp', 'O0', 'O3', 0.5128132920304139, 0.20874857902526855]
