['UV', 45, 'CV', 263, 'cmp', 'unlink', 'V1', 'V1', 0.3579136690647482, 0.025274038314819336]
['UV', 46, 'BV', 9, 'diff', 'dot', 'V1', 'V2', 0.8425472358292512, 0.08986520767211914]
['CV', 258, 'BV', 64, 'rmdir', 'openssl', 'V0', 'V2', 0.9592424155201197, 6.742644309997559]
['CV', 212, 'UV', 48, 'split', 'locate', 'V0', 'V1', 0.5643731532292107, 0.09026217460632324]
['UV', 86, 'CV', 59, 'size', 'head', 'V0', 'V2', 0.8955759266640095, 1.1538598537445068]
['UV', 32, 'CV', 54, 'addr2line', 'false', 'V3', 'V2', 0.9203458425312729, 1.182074785232544]
['BV', 1, 'CV', 210, 'libSDL2-2.0.so', 'chroot', 'V3', 'V0', 0.9663642195949043, 6.867252349853516]
['CV', 97, 'UV', 29, 'ptx', 'objcopy', 'V3', 'V3', 0.8315288003464704, 1.8777594566345215]
['CV', 155, 'UV', 12, 'cat', 'c++filt', 'V3', 'V2', 0.877262139401541, 1.3381664752960205]
['CV', 258, 'UV', 21, 'rmdir', 'objdump', 'V0', 'V2', 0.9526167849016196, 1.9931070804595947]
['UV', 75, 'CV', 275, 'readelf', 'dirname', 'V0', 'V1', 0.7606943583384997, 0.09364724159240723]
['BV', 23, 'CV', 212, 'diff', 'split', 'V3', 'V0', 0.6281081081081081, 0.10104537010192871]
['CV', 189, 'UV', 53, 'uptime', 'readelf', 'V0', 'V1', 0.7226528854435831, 0.11781692504882812]
['UV', 73, 'CV', 254, 'nm', 'uniq', 'V0', 'V0', 0.9009628610729024, 1.1087756156921387]
['BV', 50, 'CV', 297, 'sort', 'chroot', 'V0', 'V1', 0.418013856812933, 0.03097391128540039]
['BV', 6, 'UV', 21, 'libvlc.so', 'objdump', 'V0', 'V2', 0.6005485463521668, 4.181401014328003]
['UV', 86, 'CV', 36, 'size', 'chroot', 'V0', 'V2', 0.9007273599232676, 1.0914053916931152]
['UV', 12, 'CV', 93, 'c++filt', 'fmt', 'V2', 'V3', 0.8708928571428571, 1.2040793895721436]
['UV', 69, 'CV', 285, 'sdiff', 'factor', 'V0', 'V1', 0.4117647058823529, 0.03674483299255371]
['CV', 92, 'BV', 67, 'mkdir', 'cluster', 'V3', 'V0', 0.46875, 0.1562345027923584]
['BV', 8, 'CV', 231, 'cluster', 'who', 'V2', 'V0', 0.660411622276029, 0.145463228225708]
['BV', 60, 'UV', 24, 'codeblocks', 'readelf', 'V1', 'V3', 0.7297157013094255, 16.898818969726562]
['CV', 163, 'UV', 81, 'comm', 'ld', 'V3', 'V0', 0.9026452315378211, 2.171785593032837]
['UV', 1, 'CV', 261, 'xargs', 'touch', 'V2', 'V1', 0.34564643799472294, 0.06224513053894043]
['CV', 220, 'BV', 62, 'cut', 'diff', 'V0', 'V0', 0.4284057971014492, 0.05300402641296387]
['CV', 4, 'BV', 83, 'basename', 'git', 'V2', 'V2', 0.9807923642745864, 9.278492212295532]
['CV', 328, 'UV', 37, 'uname', 'locate', 'V1', 'V3', 0.7053571428571429, 0.11211729049682617]
['BV', 6, 'CV', 138, 'libvlc.so', 'printf', 'V0', 'V3', 0.6454443194600675, 0.3112492561340332]
['UV', 65, 'CV', 9, 'objdump', 'users', 'V1', 'V2', 0.9290598836837732, 1.9449613094329834]
['BV', 42, 'UV', 25, 'libvlc.so', 'as', 'V1', 'V3', 0.607952362658471, 5.239100456237793]
['UV', 85, 'CV', 319, 'elfedit', 'readlink', 'V0', 'V1', 0.2339656729900632, 0.026917695999145508]
['CV', 249, 'UV', 40, 'tr', 'diff3', 'V0', 'V3', 0.3044569993722537, 0.04191088676452637]
['UV', 35, 'CV', 297, 'size', 'chroot', 'V3', 'V1', 0.9303225806451613, 1.2065532207489014]
['CV', 54, 'UV', 8, 'false', 'strip', 'V2', 'V2', 0.9350191340886921, 1.6263585090637207]
['UV', 53, 'CV', 106, 'readelf', 'pr', 'V1', 'V3', 0.44972269110200147, 0.14996004104614258]
['BV', 26, 'UV', 19, 'geany', 'elfedit', 'V2', 'V2', 0.9747579723985544, 27.98441743850708]
['BV', 13, 'CV', 260, 'cp', 'ln', 'V2', 'V0', 0.5010940919037199, 0.07672953605651855]
['CV', 339, 'UV', 79, 'rm', 'strings', 'V1', 'V0', 0.855324603973995, 1.2966654300689697]
['BV', 4, 'CV', 125, 'geany', 'split', 'V3', 'V3', 0.9622420303098222, 34.10391330718994]
['CV', 71, 'BV', 8, '[', 'cluster', 'V2', 'V2', 0.6366885050625373, 0.15616202354431152]
['CV', 250, 'BV', 10, 'comm', 'gvmap', 'V0', 'V2', 0.7305637982195846, 0.15288019180297852]
['CV', 206, 'UV', 13, 'paste', 'strings', 'V0', 'V2', 0.9286040354240848, 1.281130313873291]
['UV', 76, 'CV', 330, 'as', 'csplit', 'V0', 'V1', 0.8365091244027402, 2.164766550064087]
['UV', 69, 'CV', 102, 'sdiff', 'uptime', 'V0', 'V3', 0.15738758029978583, 0.05657815933227539]
['BV', 29, 'CV', 312, 'perl', 'printf', 'V3', 'V1', 0.9632080842584686, 3.4508578777313232]
['CV', 246, 'BV', 20, 'id', 'sort', 'V0', 'V1', 0.4249037227214377, 0.04498100280761719]
['BV', 4, 'CV', 254, 'geany', 'uniq', 'V3', 'V0', 0.9811997354036834, 32.526201009750366]
['UV', 50, 'BV', 78, 'find', 'make', 'V1', 'V2', 0.1318432948267203, 0.6418056488037109]
['BV', 22, 'CV', 22, 'cmp', 'kill', 'V3', 'V2', 0.1820987654320988, 0.03258037567138672]
['BV', 56, 'CV', 270, 'ssh', 'users', 'V3', 'V1', 0.9408541817941778, 1.673753261566162]
['UV', 72, 'CV', 119, 'find', 'paste', 'V0', 'V3', 0.6047002109068996, 0.15230321884155273]
['BV', 56, 'UV', 54, 'ssh', 'as', 'V3', 'V1', 0.09310036985078429, 8.52978515625]
['UV', 50, 'CV', 145, 'find', 'readlink', 'V1', 'V3', 0.6295603367633302, 0.21093463897705078]
['CV', 193, 'UV', 61, 'pr', 'addr2line', 'V0', 'V1', 0.8641706573791903, 1.3842003345489502]
['CV', 201, 'UV', 17, 'expr', 'addr2line', 'V0', 'V2', 0.7879400370557521, 1.5118153095245361]
['CV', 259, 'UV', 71, 'mknod', 'xargs', 'V0', 'V0', 0.19727891156462585, 0.024146080017089844]
['CV', 201, 'BV', 53, 'expr', 'ssh', 'V0', 'V2', 0.9180044937966069, 6.228050947189331]
['CV', 113, 'BV', 45, 'date', 'svn', 'V3', 'V3', 0.7043681747269891, 1.0465102195739746]
['CV', 111, 'UV', 56, 'factor', 'c++filt', 'V3', 'V1', 0.8242555028053518, 1.4274952411651611]
['BV', 34, 'CV', 252, 'svn', 'rm', 'V0', 'V0', 0.7156752712308267, 0.46135663986206055]
['BV', 46, 'CV', 56, 'cluster', 'yes', 'V3', 'V2', 0.716875, 0.1342301368713379]
['CV', 223, 'BV', 2, 'tsort', 'cmp', 'V0', 'V1', 0.2829226847918437, 0.028807640075683594]
['BV', 0, 'CV', 316, 'bash', 'nohup', 'V2', 'V1', 0.9582530795072788, 3.137590169906616]
['BV', 18, 'CV', 1, 'sort', 'stat', 'V3', 'V2', 0.5562043795620438, 0.10135698318481445]
['BV', 54, 'CV', 164, 'lua', 'nl', 'V3', 'V3', 0.8090610636900853, 0.49422550201416016]
['UV', 49, 'CV', 310, 'xargs', 'tsort', 'V1', 'V1', 0.2858312858312858, 0.02704596519470215]
['CV', 172, 'UV', 74, 'mknod', 'strip', 'V3', 'V0', 0.9024809981356662, 1.6981585025787354]
['CV', 317, 'UV', 37, 'yes', 'locate', 'V1', 'V3', 0.7102157102157102, 0.10953068733215332]
['UV', 42, 'CV', 55, 'diff', 'nohup', 'V3', 'V2', 0.5992920353982301, 0.10102653503417969]
['CV', 3, 'BV', 70, 'test', 'ssh', 'V2', 'V0', 0.959715803269642, 4.769358158111572]
['BV', 51, 'CV', 166, 'cp', 'fold', 'V0', 'V3', 0.256309590577678, 0.04950261116027832]
['UV', 59, 'CV', 28, 'ld', 'chown', 'V1', 'V2', 0.8769340633182575, 2.1276421546936035]
['UV', 8, 'CV', 169, 'strip', 'sort', 'V2', 'V3', 0.7180886463463331, 1.9844410419464111]
['CV', 75, 'UV', 64, 'tr', 'size', 'V2', 'V1', 0.8813529617946022, 1.3332571983337402]
['CV', 182, 'BV', 5, 'du', 'libvlccore.so', 'V0', 'V0', 0.8870297346264521, 4.645414352416992]
['BV', 51, 'CV', 234, 'cp', 'hostid', 'V0', 'V0', 0.5209334248455731, 0.035810232162475586]
['BV', 30, 'CV', 159, 'bash', 'id', 'V0', 'V3', 0.9253116105604083, 2.681168794631958]
['CV', 33, 'BV', 65, 'sync', 'ssh', 'V2', 'V1', 0.9694984715643791, 4.967505693435669]
['UV', 6, 'CV', 337, 'sdiff', 'comm', 'V2', 'V1', 0.3724696356275303, 0.0391695499420166]
['UV', 53, 'BV', 21, 'readelf', 'cp', 'V1', 'V1', 0.457807953443259, 0.15580391883850098]
['BV', 81, 'UV', 79, 'dot', 'strings', 'V1', 'V0', 0.9565469293163383, 1.0562539100646973]
['CV', 290, 'BV', 50, 'tail', 'sort', 'V1', 'V0', 0.10361160449970397, 0.04628252983093262]
['CV', 244, 'BV', 79, 'vdir', 'bash', 'V0', 'V3', 0.8909680638722555, 4.762150526046753]
