['CV', 120, 'BV', 55, 'sync', 'codeblocks', 'V3', 'V3', 0.9672156740301303, 15.165601968765259]
['CV', 219, 'UV', 53, 'cp', 'readelf', 'V0', 'V1', 0.46056475170399214, 0.15119552612304688]
['UV', 22, 'CV', 324, 'nm', 'mv', 'V3', 'V1', 0.7844271226217416, 1.3404016494750977]
['CV', 308, 'UV', 45, 'od', 'cmp', 'V1', 'V1', 0.10389610389610393, 0.033776283264160156]
['CV', 174, 'UV', 32, 'touch', 'addr2line', 'V0', 'V3', 0.8904382470119522, 1.249316930770874]
['CV', 202, 'UV', 75, 'chown', 'readelf', 'V0', 'V0', 0.5699281370923162, 0.12009143829345703]
['CV', 172, 'UV', 43, 'mknod', 'sdiff', 'V3', 'V3', 0.24970414201183433, 0.04270744323730469]
['BV', 12, 'CV', 286, 'sort', 'expand', 'V2', 'V1', 0.5851485148514851, 0.05468869209289551]
['CV', 37, 'BV', 1, 'seq', 'libSDL2-2.0.so', 'V2', 'V3', 0.9440920623414281, 6.996172904968262]
['UV', 23, 'CV', 236, 'strip', 'unexpand', 'V3', 'V0', 0.9373902420401619, 1.365509033203125]
['UV', 52, 'BV', 62, 'strip', 'diff', 'V1', 'V0', 0.8361702127659575, 1.7194862365722656]
['BV', 66, 'CV', 73, 'lua', 'shred', 'V1', 'V2', 0.7308190585864401, 0.42156004905700684]
['UV', 79, 'BV', 30, 'strings', 'bash', 'V0', 'V0', 0.3280892833131639, 7.69047212600708]
['BV', 13, 'CV', 330, 'cp', 'csplit', 'V2', 'V1', 0.12216905901116426, 0.10933041572570801]
['UV', 75, 'CV', 29, 'readelf', 'tail', 'V0', 'V2', 0.47932379713914175, 0.12314748764038086]
['CV', 152, 'UV', 12, 'env', 'c++filt', 'V3', 'V2', 0.8831565701959374, 1.2249476909637451]
['BV', 37, 'CV', 119, 'geany', 'paste', 'V1', 'V3', 0.9739006427162086, 23.777467250823975]
['UV', 43, 'CV', 143, 'sdiff', 'yes', 'V3', 'V3', 0.29618033813400124, 0.03972506523132324]
