['CV', 58, 'BV', 20, 'readlink', 'sort', 'V2', 'V1', 0.27427597955706984, 0.04669523239135742]
['BV', 81, 'UV', 63, 'dot', 'elfedit', 'V1', 'V1', 0.4972067039106145, 0.01863694190979004]
['UV', 68, 'CV', 117, 'diff', 'pinky', 'V0', 'V3', 0.4102469590858828, 0.09126520156860352]
['UV', 77, 'BV', 43, 'ranlib', 'lua', 'V0', 'V0', 0.3266491410405331, 2.2170913219451904]
['CV', 27, 'UV', 32, 'expr', 'addr2line', 'V2', 'V3', 0.7672253258845437, 1.421416997909546]
['BV', 1, 'CV', 333, 'libSDL2-2.0.so', 'id', 'V3', 'V1', 0.9581089714337866, 6.4342241287231445]
['BV', 53, 'CV', 79, 'ssh', 'fold', 'V2', 'V2', 0.9641844799413078, 4.534405708312988]
['UV', 29, 'BV', 56, 'objcopy', 'ssh', 'V3', 'V3', 0.1053746166204177, 5.827096223831177]
['UV', 47, 'CV', 161, 'sdiff', 'pathchk', 'V1', 'V3', 0.26872770511296074, 0.040117740631103516]
['CV', 63, 'UV', 22, 'mv', 'nm', 'V2', 'V3', 0.7336372517095409, 1.7708163261413574]
['BV', 9, 'CV', 142, 'dot', 'nohup', 'V2', 'V3', 0.515881708652793, 0.01800847053527832]
['UV', 76, 'BV', 69, 'as', 'gvmap', 'V0', 'V0', 0.72219822932412, 2.445190191268921]
['UV', 41, 'CV', 267, 'cmp', 'fmt', 'V3', 'V1', 0.2589508742714405, 0.02880716323852539]
['BV', 36, 'CV', 211, 'libvlc.so', 'seq', 'V2', 'V0', 0.83687106918239, 0.3810312747955322]
['CV', 259, 'UV', 77, 'mknod', 'ranlib', 'V0', 'V0', 0.9258468925046679, 1.1899282932281494]
['CV', 215, 'BV', 63, 'nice', 'ruby', 'V0', 'V0', 0.9844167319316425, 12.832110404968262]
['CV', 337, 'UV', 26, 'comm', 'ranlib', 'V1', 'V3', 0.9190871369294605, 1.3093740940093994]
['CV', 286, 'BV', 14, 'expand', 'openssl', 'V1', 'V3', 0.9560104986876641, 7.605368137359619]
['BV', 35, 'CV', 188, 'libvlccore.so', 'dirname', 'V2', 'V0', 0.9651625424551189, 4.108178615570068]
['UV', 48, 'CV', 20, 'locate', 'tee', 'V1', 'V2', 0.5555555555555556, 0.0748751163482666]
['BV', 2, 'CV', 160, 'cmp', 'shred', 'V1', 'V3', 0.2207656004195071, 0.05707693099975586]
