['CV', 225, 'BV', 5, 'printf', 'libvlccore.so', 'V0', 'V0', 0.9444322424774874, 3.9679808616638184]
['CV', 228, 'BV', 29, 'false', 'perl', 'V0', 'V3', 0.9769958434857389, 3.2431976795196533]
['CV', 163, 'BV', 12, 'comm', 'sort', 'V3', 'V2', 0.36044049131723843, 0.07773160934448242]
['CV', 152, 'UV', 61, 'env', 'addr2line', 'V3', 'V1', 0.885512989872303, 1.319695234298706]
['UV', 86, 'CV', 60, 'size', 'hostid', 'V0', 'V2', 0.9231702385766276, 1.0398406982421875]
['UV', 35, 'CV', 285, 'size', 'factor', 'V3', 'V1', 0.9216441875401413, 1.1652438640594482]
['CV', 187, 'BV', 5, 'join', 'libvlccore.so', 'V0', 'V0', 0.9333915702118366, 3.9516003131866455]
['BV', 28, 'CV', 141, 'openssl', 'false', 'V1', 'V3', 0.9756184374443851, 8.40719223022461]
['CV', 340, 'BV', 80, 'fold', 'cluster', 'V1', 'V1', 0.7338811630847029, 0.14408612251281738]
['UV', 16, 'CV', 61, 'gprof', 'ginstall', 'V2', 'V2', 0.7484180834032172, 1.6186261177062988]
['UV', 45, 'BV', 18, 'cmp', 'sort', 'V1', 'V3', 0.478502080443828, 0.11942267417907715]
['UV', 48, 'CV', 243, 'locate', 'csplit', 'V1', 'V0', 0.14364303178484106, 0.11935567855834961]
['CV', 52, 'UV', 48, 'logname', 'locate', 'V2', 'V1', 0.5917667238421955, 0.07846689224243164]
['CV', 206, 'UV', 38, 'paste', 'xargs', 'V0', 'V3', 0.546572934973638, 0.06605029106140137]
['CV', 49, 'UV', 11, 'tsort', 'ranlib', 'V2', 'V2', 0.9057449868855233, 1.4163365364074707]
['UV', 53, 'CV', 268, 'readelf', 'dir', 'V1', 'V1', 0.39038417299286865, 0.18718504905700684]
['UV', 10, 'BV', 63, 'as', 'ruby', 'V2', 'V0', 0.4948090610974265, 50.962058544158936]
