['BO', 6, 'CO', 390, 'codeblocks', 'chcon', 'O0', 'O0', 0.9413664143026543, 42.40320634841919]
['BO', 12, 'UO', 45, 'libgeany.so.0.0.0', 'strip', 'O0', 'O3', 0.8300700826265986, 288.5823743343353]
['BO', 12, 'CO', 398, 'libgeany.so.0.0.0', 'timeout', 'O0', 'O0', 0.9861340278651286, 264.0640058517456]
['BO', 12, 'CO', 175, 'libgeany.so.0.0.0', 'readlink', 'O0', 'O1', 0.988561776776851, 247.45303416252136]
['CO', 196, 'BO', 12, 'sha512sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9892249205208202, 262.5533981323242]
['BO', 5, 'CO', 265, 'libgeany.so.0.0.0', 'od', 'O1', 'O2', 0.9710465244778429, 39.5196008682251]
['BO', 12, 'CO', 339, 'libgeany.so.0.0.0', 'wc', 'O0', 'O0', 0.9855757495062468, 242.13410639762878]
['BO', 6, 'CO', 321, 'codeblocks', 'du', 'O0', 'O0', 0.9198268085874075, 39.068662881851196]
['BO', 5, 'UO', 28, 'libgeany.so.0.0.0', 'readelf', 'O1', 'O2', 0.8320055166747363, 43.39484453201294]
['CO', 382, 'BO', 12, 'b2sum', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9842840985533388, 262.8240501880646]
['BO', 5, 'CO', 110, 'libgeany.so.0.0.0', 'mkdir', 'O1', 'O1', 0.9732895007191288, 35.582372188568115]
['BO', 5, 'CO', 385, 'libgeany.so.0.0.0', 'hostid', 'O1', 'O0', 0.980426058404581, 34.47543025016785]
['BO', 5, 'CO', 200, 'libgeany.so.0.0.0', 'fold', 'O1', 'O1', 0.979641022388533, 34.6935670375824]
['BO', 12, 'CO', 88, 'libgeany.so.0.0.0', 'shred', 'O0', 'O3', 0.9829208835044693, 200.04240655899048]
['CO', 237, 'BO', 12, 'nproc', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9922071560572663, 210.09023213386536]
['CO', 276, 'BO', 6, 'yes', 'codeblocks', 'O2', 'O0', 0.9826728522720921, 32.075502157211304]
['BO', 6, 'CO', 4, 'codeblocks', 'test', 'O0', 'O3', 0.9724564882949343, 28.512873888015747]
['CO', 185, 'BO', 6, 'cat', 'codeblocks', 'O1', 'O0', 0.9767800419816841, 34.18549871444702]
['BO', 12, 'CO', 38, 'libgeany.so.0.0.0', 'sha1sum', 'O0', 'O3', 0.9889301353724409, 182.08858394622803]
['CO', 314, 'BO', 12, 'stat', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9765256833176249, 228.95592951774597]
['BO', 6, 'CO', 209, 'codeblocks', 'touch', 'O0', 'O2', 0.9626706012541497, 27.397255420684814]
['UO', 25, 'BO', 6, 'sdiff', 'codeblocks', 'O2', 'O0', 0.9639746050494611, 33.14886975288391]
['BO', 6, 'CO', 129, 'codeblocks', 'chgrp', 'O0', 'O1', 0.9564282168661409, 29.14693021774292]
['BO', 6, 'CO', 384, 'codeblocks', 'head', 'O0', 'O0', 0.9645909871323869, 26.852105855941772]
['UO', 71, 'BO', 5, 'c++filt', 'libgeany.so.0.0.0', 'O0', 'O1', 0.589556893544979, 131.2919430732727]
