['UO', 73, 'BO', 6, 'objcopy', 'codeblocks', 'O0', 'O0', 0.46742935906271543, 190.0335943698883]
['BO', 5, 'UO', 39, 'libgeany.so.0.0.0', 'size', 'O1', 'O2', 0.7128316277538479, 55.659661293029785]
['CO', 93, 'BO', 12, 'nl', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9892249205208202, 270.54935932159424]
['BO', 12, 'CO', 187, 'libgeany.so.0.0.0', 'csplit', 'O0', 'O1', 0.9856345008691793, 245.8903727531433]
['CO', 208, 'BO', 5, 'sha384sum', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9797351938476175, 47.51259136199951]
['CO', 65, 'BO', 5, 'false', 'libgeany.so.0.0.0', 'O3', 'O1', 0.982595991996697, 44.39170551300049]
['BO', 12, 'CO', 366, 'libgeany.so.0.0.0', 'true', 'O0', 'O0', 0.9912760938265011, 241.27871537208557]
['BO', 6, 'CO', 96, 'codeblocks', 'fold', 'O0', 'O3', 0.9749457157173876, 37.107598066329956]
['CO', 14, 'BO', 5, 'stty', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9718870427696001, 45.94382119178772]
['CO', 209, 'BO', 5, 'touch', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9680948327500867, 49.06706213951111]
['BO', 5, 'CO', 189, 'libgeany.so.0.0.0', '[', 'O1', 'O1', 0.9744129042460663, 40.297200441360474]
['CO', 48, 'BO', 12, 'ls', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9687266219764423, 318.7913863658905]
['BO', 5, 'CO', 340, 'libgeany.so.0.0.0', 'factor', 'O1', 'O0', 0.9552423459400203, 43.81795907020569]
['BO', 6, 'UO', 0, 'codeblocks', 'locate', 'O0', 'O1', 0.9169909208819714, 42.54945254325867]
['CO', 375, 'BO', 6, 'logname', 'codeblocks', 'O0', 'O0', 0.9769269352951011, 42.67678117752075]
['BO', 6, 'CO', 97, 'codeblocks', 'uniq', 'O0', 'O3', 0.9670973585463687, 38.03347373008728]
['UO', 26, 'BO', 5, 'nm', 'libgeany.so.0.0.0', 'O2', 'O1', 0.7088699412867642, 148.12867379188538]
['CO', 305, 'BO', 12, 'uniq', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9892986304618486, 266.05679965019226]
['BO', 5, 'CO', 180, 'libgeany.so.0.0.0', 'md5sum', 'O1', 'O1', 0.9774149099605632, 39.079707860946655]
['UO', 17, 'BO', 6, 'objdump', 'codeblocks', 'O1', 'O0', 0.5114878873079436, 160.25664234161377]
['CO', 223, 'BO', 6, 'join', 'codeblocks', 'O2', 'O0', 0.9719813208805871, 42.31891393661499]
['BO', 12, 'CO', 336, 'libgeany.so.0.0.0', 'tee', 'O0', 'O0', 0.9884439308413707, 216.693274974823]
['CO', 19, 'BO', 12, 'dd', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9803315455155777, 260.13218331336975]
['CO', 228, 'BO', 12, 'mkfifo', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9928135532821571, 221.64371728897095]
['CO', 245, 'BO', 6, 'truncate', 'codeblocks', 'O2', 'O0', 0.9804957939402963, 36.243494272232056]
