['BO', 6, 'CO', 241, 'codeblocks', 'chown', 'O0', 'O2', 0.9579040329702679, 39.00549602508545]
['CO', 144, 'BO', 5, 'sync', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9813689238728517, 46.06085276603699]
['CO', 184, 'BO', 5, 'uname', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9821868004508867, 44.76810336112976]
['CO', 42, 'BO', 5, 'sum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9752250470660824, 47.13857913017273]
['BO', 5, 'CO', 179, 'libgeany.so.0.0.0', 'mv', 'O1', 'O1', 0.9266689299712971, 45.4274423122406]
['CO', 21, 'BO', 6, 'mktemp', 'codeblocks', 'O3', 'O0', 0.9679334257975035, 46.17892813682556]
['BO', 12, 'CO', 251, 'libgeany.so.0.0.0', 'chroot', 'O0', 'O2', 0.9902278439717364, 243.79377460479736]
['BO', 5, 'CO', 23, 'libgeany.so.0.0.0', 'pr', 'O1', 'O3', 0.9639154987180092, 41.866154193878174]
['CO', 187, 'BO', 5, 'csplit', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9693676356925407, 51.283336877822876]
['CO', 28, 'BO', 5, 'factor', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9679087068911165, 48.150206565856934]
['BO', 6, 'UO', 18, 'codeblocks', 'diff3', 'O0', 'O1', 0.961910731734297, 38.88717699050903]
['CO', 342, 'BO', 5, 'expand', 'libgeany.so.0.0.0', 'O0', 'O1', 0.975568847115415, 46.972874879837036]
['CO', 280, 'BO', 12, 'head', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9898737555319985, 279.09943890571594]
['CO', 272, 'BO', 5, 'tty', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9854019241472529, 45.15847897529602]
['BO', 5, 'UO', 50, 'libgeany.so.0.0.0', 'strings', 'O1', 'O3', 0.7206719307674287, 54.72646236419678]
['CO', 382, 'BO', 6, 'b2sum', 'codeblocks', 'O0', 'O0', 0.9608262239501759, 50.474971294403076]
['CO', 24, 'BO', 6, 'tee', 'codeblocks', 'O3', 'O0', 0.9722371518060678, 43.794434547424316]
['BO', 5, 'UO', 65, 'libgeany.so.0.0.0', 'sdiff', 'O1', 'O3', 0.9681568825272716, 41.25134205818176]
['CO', 209, 'BO', 12, 'touch', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9850324641710914, 292.21841311454773]
['CO', 223, 'BO', 12, 'join', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9887975105579018, 278.58339405059814]
['CO', 266, 'BO', 5, 'df', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9573574138525696, 55.430625200271606]
['CO', 170, 'BO', 12, 'runcon', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9921036617042436, 262.5983591079712]
['CO', 1, 'BO', 6, 'touch', 'codeblocks', 'O3', 'O0', 0.9582282906722117, 48.0106406211853]
['BO', 12, 'CO', 137, 'libgeany.so.0.0.0', 'chown', 'O0', 'O1', 0.9819692103222948, 261.6566319465637]
['CO', 31, 'BO', 12, 'date', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9831113278219819, 279.1617097854614]
