['BO', 5, 'UO', 74, 'libgeany.so.0.0.0', 'ld', 'O1', 'O0', 0.4560164136998438, 84.04750418663025]
['BO', 12, 'CO', 238, 'libgeany.so.0.0.0', 'expand', 'O0', 'O2', 0.9914385975324762, 245.36068177223206]
['BO', 5, 'CO', 375, 'libgeany.so.0.0.0', 'logname', 'O1', 'O0', 0.9803004108046378, 41.20887899398804]
['BO', 12, 'CO', 113, 'libgeany.so.0.0.0', 'du', 'O0', 'O1', 0.9730099228224918, 248.25965690612793]
['CO', 219, 'BO', 5, 'groups', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9825015481842577, 44.01793193817139]
['CO', 277, 'BO', 6, 'who', 'codeblocks', 'O2', 'O0', 0.9735173027706687, 42.88840436935425]
['BO', 12, 'UO', 43, 'libgeany.so.0.0.0', 'find', 'O0', 'O2', 0.9271575954683495, 265.7330415248871]
['CO', 111, 'BO', 6, 'fmt', 'codeblocks', 'O1', 'O0', 0.9742495640235984, 44.772311210632324]
['BO', 12, 'CO', 146, 'libgeany.so.0.0.0', 'sum', 'O0', 'O1', 0.9891659565007966, 238.77430057525635]
['UO', 13, 'BO', 5, 'addr2line', 'libgeany.so.0.0.0', 'O1', 'O1', 0.7027915285903258, 150.93110132217407]
['BO', 6, 'UO', 29, 'codeblocks', 'as', 'O0', 'O2', 0.5222587562544675, 54.70560359954834]
['CO', 241, 'BO', 6, 'chown', 'codeblocks', 'O2', 'O0', 0.9579040329702679, 47.859413862228394]
['BO', 5, 'CO', 22, 'libgeany.so.0.0.0', 'pwd', 'O1', 'O3', 0.9775088697415104, 37.27882719039917]
['CO', 35, 'BO', 12, 'base32', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9895345389860658, 240.837828874588]
['BO', 5, 'UO', 77, 'libgeany.so.0.0.0', 'ar', 'O1', 'O0', 0.5713944152918822, 62.421387910842896]
['CO', 384, 'BO', 5, 'head', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9697404748757592, 43.38009214401245]
['CO', 199, 'BO', 12, 'sha224sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9892249205208202, 236.45930075645447]
['CO', 414, 'BO', 6, 'mknod', 'codeblocks', 'O0', 'O0', 0.939561841577662, 48.95512342453003]
['CO', 320, 'BO', 5, 'dir', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9141153203428029, 61.70621919631958]
['CO', 281, 'BO', 5, 'hostid', 'libgeany.so.0.0.0', 'O2', 'O1', 0.985559796437659, 36.125237703323364]
['CO', 121, 'BO', 5, 'stdbuf', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9766322588816414, 39.468268632888794]
['CO', 253, 'BO', 5, 'split', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9717624763108023, 39.58218216896057]
['CO', 206, 'BO', 6, 'mknod', 'codeblocks', 'O1', 'O0', 0.9769269352951011, 34.93922519683838]
['CO', 309, 'BO', 12, 'rmdir', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9915863511919336, 206.65018129348755]
['BO', 6, 'CO', 48, 'codeblocks', 'ls', 'O0', 'O3', 0.9229851825081316, 31.44539451599121]
['CO', 231, 'BO', 6, 'pr', 'codeblocks', 'O2', 'O0', 0.9620192484973634, 36.466837644577026]
