['CO', 142, 'BO', 6, 'sha1sum', 'codeblocks', 'O1', 'O0', 0.9733709156992916, 44.144994258880615]
['BO', 12, 'CO', 192, 'libgeany.so.0.0.0', 'shred', 'O0', 'O1', 0.9841520926038171, 245.45282769203186]
['BO', 5, 'CO', 115, 'libgeany.so.0.0.0', 'groups', 'O1', 'O1', 0.979641022388533, 38.49985861778259]
['UO', 10, 'BO', 5, 'objcopy', 'libgeany.so.0.0.0', 'O1', 'O1', 0.6530004368604297, 166.9363923072815]
['BO', 6, 'UO', 20, 'codeblocks', 'diff', 'O0', 'O1', 0.9181657594001226, 39.67729902267456]
['CO', 158, 'BO', 5, 'true', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9834148821249286, 42.10629081726074]
['CO', 51, 'BO', 5, 'realpath', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9728217931296022, 44.64977550506592]
['BO', 5, 'CO', 28, 'libgeany.so.0.0.0', 'factor', 'O1', 'O3', 0.9679087068911165, 38.26190805435181]
['BO', 5, 'CO', 6, 'libgeany.so.0.0.0', 'mkdir', 'O1', 'O3', 0.9718247575728861, 38.51780652999878]
['CO', 358, 'BO', 6, 'whoami', 'codeblocks', 'O0', 'O0', 0.9766331704961272, 42.3622510433197]
['BO', 5, 'CO', 333, 'libgeany.so.0.0.0', 'mktemp', 'O1', 'O0', 0.9701134552569707, 40.89564776420593]
['CO', 99, 'BO', 12, 'sort', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9687266219764423, 307.9628002643585]
['BO', 6, 'UO', 72, 'codeblocks', 'strings', 'O0', 'O0', 0.5324271397304458, 59.168909311294556]
['BO', 5, 'UO', 22, 'libgeany.so.0.0.0', 'diff3', 'O1', 'O2', 0.9706731907505327, 37.96667265892029]
['UO', 40, 'BO', 12, 'objdump', 'libgeany.so.0.0.0', 'O2', 'O0', 0.7801680404782588, 829.2800688743591]
['CO', 348, 'BO', 5, 'pinky', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9724166258550688, 42.691478967666626]
['CO', 33, 'BO', 12, 'chown', 'libgeany.so.0.0.0', 'O3', 'O0', 0.981749723145072, 238.3788776397705]
['BO', 5, 'CO', 107, 'libgeany.so.0.0.0', 'unlink', 'O1', 'O1', 0.9825645097260818, 33.31966733932495]
['CO', 178, 'BO', 6, 'unexpand', 'codeblocks', 'O1', 'O0', 0.9745792589018982, 36.698299407958984]
['UO', 53, 'BO', 12, 'gprof', 'libgeany.so.0.0.0', 'O3', 'O0', 0.8484537573249417, 510.66750979423523]
['BO', 5, 'CO', 101, 'libgeany.so.0.0.0', 'rmdir', 'O1', 'O3', 0.9777281439591947, 28.351659059524536]
['BO', 5, 'CO', 119, 'libgeany.so.0.0.0', 'join', 'O1', 'O1', 0.973040029077577, 29.05125117301941]
['BO', 12, 'UO', 64, 'libgeany.so.0.0.0', 'diff', 'O0', 'O3', 0.9668945505704425, 177.3942539691925]
['UO', 6, 'BO', 12, 'as', 'libgeany.so.0.0.0', 'O1', 'O0', 0.7705203455780518, 622.1544976234436]
['CO', 8, 'BO', 5, 'dir', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9339508658880387, 38.2430374622345]
