['CO', 98, 'BO', 6, 'sleep', 'codeblocks', 'O3', 'O0', 0.9772575250836121, 42.87631630897522]
['CO', 136, 'BO', 5, 'expr', 'libgeany.so.0.0.0', 'O1', 'O1', 0.971855899679391, 50.0768301486969]
['BO', 12, 'CO', 25, 'libgeany.so.0.0.0', 'chgrp', 'O0', 'O3', 0.9822326591196083, 247.5475618839264]
['CO', 120, 'BO', 5, 'dirname', 'libgeany.so.0.0.0', 'O1', 'O1', 0.982595991996697, 45.184226989746094]
['CO', 356, 'BO', 12, 'seq', 'libgeany.so.0.0.0', 'O0', 'O0', 0.987899075027216, 281.9709861278534]
['CO', 213, 'BO', 12, 'basename', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9928283480701129, 261.08444261550903]
['BO', 5, 'CO', 229, 'libgeany.so.0.0.0', 'mktemp', 'O1', 'O2', 0.9767261442979054, 41.362608909606934]
['BO', 6, 'UO', 73, 'codeblocks', 'objcopy', 'O0', 'O0', 0.46742935906271543, 67.96733856201172]
['CO', 151, 'BO', 6, 'numfmt', 'codeblocks', 'O1', 'O0', 0.9686251294953382, 46.81893563270569]
['CO', 38, 'BO', 12, 'sha1sum', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9889301353724409, 271.3574888706207]
['CO', 138, 'BO', 12, 'tail', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9825401045821147, 303.00733971595764]
['CO', 334, 'BO', 5, 'pwd', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9754438150691433, 47.53425884246826]
['BO', 12, 'CO', 156, 'libgeany.so.0.0.0', 'sha256sum', 'O0', 'O1', 0.9892249205208202, 239.2665524482727]
['CO', 286, 'BO', 6, 'chcon', 'codeblocks', 'O2', 'O0', 0.959418155035905, 46.96483635902405]
['CO', 261, 'BO', 12, 'chmod', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9852673618815176, 276.3921549320221]
['CO', 391, 'BO', 6, 'link', 'codeblocks', 'O0', 'O0', 0.9770003901387779, 43.364450454711914]
['BO', 12, 'CO', 177, 'libgeany.so.0.0.0', 'hostid', 'O0', 'O1', 0.9918819242956048, 239.57706546783447]
['BO', 5, 'CO', 273, 'libgeany.so.0.0.0', 'false', 'O1', 'O2', 0.9864443454464457, 40.06149125099182]
['BO', 5, 'CO', 130, 'libgeany.so.0.0.0', 'kill', 'O1', 'O1', 0.9797979797979798, 40.52423930168152]
['BO', 12, 'UO', 71, 'libgeany.so.0.0.0', 'c++filt', 'O0', 'O0', 0.7855228238674533, 303.24286437034607]
['CO', 342, 'BO', 6, 'expand', 'codeblocks', 'O0', 'O0', 0.9713968136346796, 43.553807497024536]
['BO', 6, 'CO', 37, 'codeblocks', 'truncate', 'O0', 'O3', 0.9758257672812344, 36.878424882888794]
['BO', 6, 'UO', 52, 'codeblocks', 'ld', 'O0', 'O3', 0.5386149200248522, 55.422982692718506]
['CO', 30, 'BO', 5, 'expand', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9777908026676383, 42.84063959121704]
['CO', 206, 'BO', 5, 'mknod', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9803004108046378, 42.77266788482666]
['BO', 5, 'CO', 94, 'libgeany.so.0.0.0', 'rm', 'O1', 'O3', 0.96, 38.25410842895508]
