['BO', 6, 'CO', 144, 'codeblocks', 'sync', 'O0', 'O1', 0.9781764104470676, 37.598342180252075]
['BO', 5, 'CO', 254, 'libgeany.so.0.0.0', 'whoami', 'O1', 'O2', 0.985180945112256, 38.895108461380005]
['BO', 12, 'CO', 219, 'libgeany.so.0.0.0', 'groups', 'O0', 'O2', 0.991822802656476, 238.5408685207367]
['CO', 221, 'BO', 6, 'printenv', 'codeblocks', 'O2', 'O0', 0.983670730343362, 42.03300452232361]
['CO', 11, 'BO', 5, 'groups', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9788566084985656, 45.6292519569397]
['UO', 8, 'BO', 6, 'c++filt', 'codeblocks', 'O1', 'O0', 0.6639251985740197, 142.41493582725525]
['BO', 6, 'CO', 237, 'codeblocks', 'nproc', 'O0', 'O2', 0.980458935849478, 38.23325777053833]
['BO', 5, 'CO', 83, 'libgeany.so.0.0.0', 'csplit', 'O1', 'O3', 0.9680638093286464, 40.45132923126221]
['CO', 91, 'BO', 12, 'comm', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9887385718731014, 259.2319812774658]
['BO', 5, 'CO', 406, 'libgeany.so.0.0.0', 'rm', 'O1', 'O0', 0.9521546062918256, 40.30231499671936]
['BO', 5, 'CO', 190, 'libgeany.so.0.0.0', 'timeout', 'O1', 'O1', 0.9745065789473685, 37.45950508117676]
['BO', 6, 'UO', 28, 'codeblocks', 'readelf', 'O0', 'O2', 0.8055277490286568, 41.88295912742615]
['BO', 6, 'CO', 8, 'codeblocks', 'dir', 'O0', 'O3', 0.9229851825081316, 38.34306287765503]
['BO', 12, 'CO', 279, 'libgeany.so.0.0.0', 'readlink', 'O0', 'O2', 0.9899327615220953, 218.65665698051453]
['BO', 12, 'CO', 232, 'libgeany.so.0.0.0', 'tee', 'O0', 'O2', 0.9910840781812112, 211.68192386627197]
['BO', 12, 'CO', 91, 'libgeany.so.0.0.0', 'comm', 'O0', 'O3', 0.9887385718731014, 203.8525631427765]
['BO', 6, 'CO', 85, 'codeblocks', '[', 'O0', 'O3', 0.9707396570243342, 30.817362785339355]
['CO', 368, 'BO', 5, 'cut', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9724789484493735, 40.06482124328613]
['CO', 167, 'BO', 5, 'logname', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9825015481842577, 37.14761972427368]
['CO', 100, 'BO', 12, 'tac', 'libgeany.so.0.0.0', 'O3', 'O0', 0.98810520156721, 219.5968017578125]
['BO', 5, 'CO', 305, 'libgeany.so.0.0.0', 'uniq', 'O1', 'O2', 0.9771330841831887, 31.952191591262817]
['CO', 122, 'BO', 6, 'uptime', 'codeblocks', 'O1', 'O0', 0.9697547431744563, 35.99720549583435]
['UO', 43, 'BO', 12, 'find', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9271575954683495, 373.9659912586212]
['BO', 12, 'UO', 85, 'libgeany.so.0.0.0', 'locate', 'O0', 'O0', 0.955716814933007, 178.49611902236938]
['CO', 299, 'BO', 6, 'comm', 'codeblocks', 'O2', 'O0', 0.9772575250836121, 29.57003903388977]
['BO', 12, 'CO', 383, 'libgeany.so.0.0.0', 'readlink', 'O0', 'O0', 0.9865455917941431, 168.87518501281738]
