['CO', 252, 'BO', 6, 'seq', 'codeblocks', 'O2', 'O0', 0.9760092100865303, 43.61261987686157]
['CO', 271, 'BO', 12, 'logname', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9931982891766663, 257.58711528778076]
['CO', 267, 'BO', 12, 'tsort', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9912317792366752, 270.69570565223694]
['BO', 12, 'CO', 6, 'libgeany.so.0.0.0', 'mkdir', 'O0', 'O3', 0.9867955531212529, 244.95950388908386]
['BO', 6, 'CO', 126, 'codeblocks', 'pwd', 'O0', 'O1', 0.9752023164303215, 39.43788504600525]
['BO', 5, 'CO', 403, 'libgeany.so.0.0.0', 'comm', 'O1', 'O0', 0.9748188921577932, 41.23561501502991]
['CO', 173, 'BO', 12, 'who', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9881199265272264, 277.53357768058777]
['CO', 257, 'BO', 6, 'nice', 'codeblocks', 'O2', 'O0', 0.9818235995232419, 41.726768016815186]
['UO', 66, 'BO', 12, 'nm', 'libgeany.so.0.0.0', 'O0', 'O0', 0.7803834700658571, 960.778636932373]
['CO', 370, 'BO', 12, 'df', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9743304966938562, 319.87458181381226]
['BO', 6, 'CO', 19, 'codeblocks', 'dd', 'O0', 'O3', 0.9511560110742378, 35.656067848205566]
['CO', 363, 'BO', 12, 'realpath', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9857373241207888, 265.12375116348267]
['CO', 309, 'BO', 5, 'rmdir', 'libgeany.so.0.0.0', 'O2', 'O1', 0.981997999777753, 40.23280954360962]
['BO', 6, 'CO', 137, 'codeblocks', 'chown', 'O0', 'O1', 0.9551342115416414, 37.28801727294922]
['BO', 5, 'CO', 349, 'libgeany.so.0.0.0', 'truncate', 'O1', 'O0', 0.9768200386332689, 35.34527349472046]
['BO', 5, 'CO', 116, 'libgeany.so.0.0.0', 'ptx', 'O1', 'O1', 0.9649663985898425, 39.3632128238678]
['BO', 5, 'CO', 39, 'libgeany.so.0.0.0', 'paste', 'O1', 'O3', 0.9788252448727296, 35.64120388031006]
['CO', 324, 'BO', 5, 'ptx', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9576643251379829, 47.676244020462036]
['BO', 12, 'CO', 108, 'libgeany.so.0.0.0', 'test', 'O0', 'O1', 0.9887533062167989, 203.06230545043945]
['BO', 6, 'CO', 205, 'codeblocks', 'rmdir', 'O0', 'O1', 0.9755690045668882, 31.88192129135132]
['BO', 12, 'CO', 249, 'libgeany.so.0.0.0', 'echo', 'O0', 'O2', 0.9933611067792456, 189.72180652618408]
['CO', 76, 'BO', 5, 'md5sum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9760691336140039, 37.00256586074829]
['CO', 120, 'BO', 6, 'dirname', 'codeblocks', 'O1', 'O0', 0.9796115782424287, 33.455578565597534]
['CO', 3, 'BO', 5, 'unlink', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9812117172871243, 34.591264963150024]
['BO', 12, 'CO', 246, 'libgeany.so.0.0.0', 'sha1sum', 'O0', 'O2', 0.9908330366678534, 182.18894028663635]
