['BO', 6, 'CO', 187, 'codeblocks', 'csplit', 'O0', 'O1', 0.9641558537440705, 40.268938064575195]
['BO', 12, 'CO', 178, 'libgeany.so.0.0.0', 'unexpand', 'O0', 'O1', 0.9898442538491761, 244.9620542526245]
['CO', 50, 'BO', 5, 'dircolors', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9767261442979054, 44.371198892593384]
['BO', 6, 'CO', 60, 'codeblocks', 'base64', 'O0', 'O3', 0.9738101420781244, 37.396753549575806]
['BO', 5, 'CO', 232, 'libgeany.so.0.0.0', 'tee', 'O1', 'O2', 0.9809288082885113, 40.27072334289551]
['BO', 12, 'CO', 195, 'libgeany.so.0.0.0', 'comm', 'O0', 'O1', 0.9894460667328758, 237.49179029464722]
['CO', 286, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O2', 'O0', 0.983712199592066, 288.37840270996094]
['BO', 12, 'CO', 363, 'libgeany.so.0.0.0', 'realpath', 'O0', 'O0', 0.9857373241207888, 257.0050768852234]
['UO', 46, 'BO', 12, 'readelf', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9165809915467215, 387.5421953201294]
['BO', 6, 'CO', 106, 'codeblocks', 'stat', 'O0', 'O1', 0.9526229839079616, 39.24613690376282]
['BO', 6, 'CO', 301, 'codeblocks', 'nl', 'O0', 'O2', 0.977882274222627, 34.56045937538147]
['CO', 167, 'BO', 12, 'logname', 'libgeany.so.0.0.0', 'O1', 'O0', 0.991822802656476, 237.2159321308136]
['BO', 5, 'CO', 159, 'libgeany.so.0.0.0', 'cp', 'O1', 'O1', 0.9371916214119472, 40.312885761260986]
['BO', 5, 'CO', 128, 'libgeany.so.0.0.0', 'tee', 'O1', 'O1', 0.9780728159954372, 36.18864178657532]
['UO', 83, 'BO', 12, 'diff', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9607883241537495, 321.16641998291016]
